,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnA,1,0.05063291139240506,0.0,0.012658227848101266,0.0,0.012658227848101266,0.012658227848101266,0.0,0.0,0.02531645569620253,0.0,0.0,0.012658227848101266,0.0,0.012658227848101266,0.012658227848101266,0.06329113924050633,0.0,0.012658227848101266,0.0,0.02531645569620253,0.0,0.0,0.8227848101265823,0.012658227848101266,0.012658227848101266,0.810126582278481,0.0,0.0,0.0379746835443038,0.0,0.012658227848101266,0.0,0.0,0.012658227848101266
nad2,0.05063291139240506,1,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.012658227848101266,0.012658227848101266,0.0,0.012658227848101266,0.012658227848101266,0.0,0.02531645569620253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.7215189873417721,0.8354430379746836,0.0379746835443038,0.02531645569620253,0.0379746835443038,0.0,0.10126582278481013,0.02531645569620253,0.0,0.06329113924050633
nad5,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8734177215189873,0.9493670886075949,0.0,0.0,0.012658227848101266,0.0,0.0,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.0,0.0,0.0,0.0,0.08860759493670886,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266
trnK,0.012658227848101266,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.012658227848101266,0.0,0.0,0.8734177215189873,0.0,0.0,0.0379746835443038,0.02531645569620253,0.0,0.0,0.012658227848101266,0.02531645569620253,0.012658227848101266,0.02531645569620253,0.8734177215189873,0.012658227848101266,0.05063291139240506,0.0,0.0,0.0,0.0,0.012658227848101266
trnP,0.0,0.012658227848101266,0.0,0.0,1,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0379746835443038,0.0,0.8227848101265823,0.012658227848101266,0.0,0.0,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.05063291139240506,0.7974683544303798,0.0,0.0,0.02531645569620253,0.0,0.0759493670886076,0.0,0.0,0.012658227848101266,0.0759493670886076,0.0,0.0,0.02531645569620253,0.0
trnV,0.012658227848101266,0.0,0.0,0.0,0.0,1,0.0,0.0,0.012658227848101266,0.8987341772151899,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.012658227848101266,0.8734177215189873,0.0,0.0,0.0,0.012658227848101266,0.02531645569620253,0.0379746835443038,0.0,0.0,0.0379746835443038,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.02531645569620253
atp6,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,1,0.012658227848101266,0.012658227848101266,0.0,0.9240506329113924,0.0,0.05063291139240506,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.012658227848101266,0.0379746835443038,0.012658227848101266,0.0,0.02531645569620253,0.0,0.0,0.8481012658227848,0.0,0.012658227848101266,0.0,0.0,0.012658227848101266
nad4L,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,1,0.0,0.0,0.0,0.0,0.0,0.9493670886075949,0.0,0.0,0.0,0.0,0.9873417721518988,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.012658227848101266
trnQ,0.0,0.012658227848101266,0.0,0.0,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.0,1,0.0,0.02531645569620253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8987341772151899,0.0,0.012658227848101266,0.05063291139240506,0.0,0.0,0.0379746835443038,0.0,0.012658227848101266,0.0,0.0379746835443038,0.0,0.0,0.8607594936708861,0.0,0.012658227848101266
rrnL,0.02531645569620253,0.012658227848101266,0.0,0.0,0.0,0.8987341772151899,0.0,0.0,0.0,1,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.05063291139240506,0.10126582278481013,0.0,0.0,0.0,0.0,0.0,0.8481012658227848,0.0,0.0,0.012658227848101266,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.012658227848101266,0.012658227848101266
trnW,0.0,0.0,0.0,0.0,0.0,0.0,0.9240506329113924,0.0,0.02531645569620253,0.0,1,0.012658227848101266,0.012658227848101266,0.0,0.0,0.02531645569620253,0.0,0.012658227848101266,0.0,0.0,0.08860759493670886,0.012658227848101266,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.8481012658227848,0.012658227848101266,0.0,0.0,0.0
trnF,0.0,0.012658227848101266,0.8734177215189873,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.012658227848101266,0.012658227848101266,1,0.02531645569620253,0.0759493670886076,0.0,0.0,0.012658227848101266,0.0,0.0,0.012658227848101266,0.0,0.7974683544303798,0.0,0.0,0.0,0.0,0.0,0.06329113924050633,0.0,0.0,0.0,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.0
trnH,0.012658227848101266,0.012658227848101266,0.9493670886075949,0.012658227848101266,0.0,0.0,0.05063291139240506,0.0,0.0,0.0,0.012658227848101266,0.02531645569620253,1,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.012658227848101266,0.8227848101265823,0.0,0.012658227848101266,0.0,0.0,0.02531645569620253
trnT,0.0,0.0,0.0,0.012658227848101266,0.8227848101265823,0.0,0.0,0.9493670886075949,0.0,0.0,0.0,0.0759493670886076,0.0,1,0.012658227848101266,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.0,0.0379746835443038,0.0,0.0,0.012658227848101266,0.012658227848101266,0.0,0.0,0.02531645569620253,0.0
trnN,0.012658227848101266,0.02531645569620253,0.0,0.0,0.012658227848101266,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,1,0.0379746835443038,0.012658227848101266,0.0,0.0,0.0,0.0,0.012658227848101266,0.012658227848101266,0.0759493670886076,0.810126582278481,0.8227848101265823,0.0,0.02531645569620253,0.05063291139240506,0.012658227848101266,0.0,0.012658227848101266,0.0,0.0,0.0379746835443038
trnM,0.012658227848101266,0.0,0.012658227848101266,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.0,0.0379746835443038,1,0.0,0.8227848101265823,0.02531645569620253,0.0,0.0,0.0,0.05063291139240506,0.012658227848101266,0.0,0.0,0.02531645569620253,0.0,0.02531645569620253,0.0,0.0,0.7341772151898734,0.012658227848101266,0.12658227848101267,0.10126582278481013
trnI,0.06329113924050633,0.0,0.0,0.8734177215189873,0.0,0.012658227848101266,0.0,0.0,0.0,0.05063291139240506,0.0,0.012658227848101266,0.0,0.012658227848101266,0.012658227848101266,0.0,1,0.0,0.0,0.0,0.810126582278481,0.0,0.012658227848101266,0.02531645569620253,0.0,0.0,0.0379746835443038,0.0379746835443038,0.02531645569620253,0.0,0.0,0.0,0.012658227848101266,0.0,0.0
rrnS,0.0,0.0,0.0,0.0,0.012658227848101266,0.8734177215189873,0.0,0.0,0.0,0.10126582278481013,0.012658227848101266,0.0,0.0,0.0,0.0,0.8227848101265823,0.0,1,0.10126582278481013,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.0,0.0,0.012658227848101266,0.012658227848101266,0.0
nad4,0.012658227848101266,0.0,0.012658227848101266,0.0,0.012658227848101266,0.0,0.0,0.9873417721518988,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.02531645569620253,0.0,0.10126582278481013,1,0.0,0.0,0.012658227848101266,0.0,0.06329113924050633,0.0,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.0,0.0,0.0,0.6582278481012658,0.0,0.02531645569620253,0.0
cox3,0.0,0.0,0.012658227848101266,0.0379746835443038,0.012658227848101266,0.0,0.0,0.0,0.8987341772151899,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.012658227848101266,0.012658227848101266,0.0,0.0,0.0,0.05063291139240506,0.0,0.24050632911392406,0.0,0.02531645569620253,0.0,0.06329113924050633,0.05063291139240506,0.569620253164557
nad1,0.02531645569620253,0.0,0.012658227848101266,0.02531645569620253,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.08860759493670886,0.0,0.0,0.0,0.0,0.0,0.810126582278481,0.0,0.0,0.0,1,0.0,0.0,0.8734177215189873,0.012658227848101266,0.012658227848101266,0.05063291139240506,0.0,0.0,0.012658227848101266,0.0,0.02531645569620253,0.0,0.0,0.0
