,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnA,1,0.001444043,0.001083032,0.001083032,0.001083032,0.004693141,0.000361011,0.001083032,0.005776173,0.003610108,0.001083032,0.00433213,0.005054152,0.001444043,0.071841155,0.005415162,0.010830325,0.001444043,0.000361011,0.003610108,0.001083032,0.013357401,0.000361011,0.006859206,0.000722022,0.000722022,0.036101083,0.883032491,0.001805054,0.906859206,0.000361011,0.001805054,0.005054152,0.001083032,0.005054152
nad2,0.001444043,1,0.001083032,0.001083032,0.000722022,0.000722022,0,0.000722022,0.215523466,0.001083032,0.936101083,0.001444043,0.000722022,0.000361011,0.000722022,0.737184116,0.02166065,0.001083032,0.001083032,0.000361011,0.001083032,0.004693141,0.002166065,0.002527076,0.000361011,0.001805054,0.005054152,0.000361011,0.009747292,0.001444043,0.001083032,0.035740072,0.000722022,0.004693141,0.001805054
nad5,0.001083032,0.001083032,1,0.000361011,0.000361011,0.006859206,0.001805054,0.002166065,0.001805054,0,0.005415162,0.959927798,0.9433213,0.003249097,0.000722022,0.001083032,0.002888087,0.001083032,0.036462094,0.000361011,0.000722022,0.006137184,0,0.004693141,0.000722022,0,0.002888087,0.003249097,0.001444043,0.002166065,0.001805054,0.000722022,0.000361011,0.001083032,0.001805054
trnK,0.001083032,0.001083032,0.000361011,1,0.001083032,0.001805054,0.000722022,0.000722022,0.009386282,0.000722022,0.001444043,0.001805054,0.002166065,0,0.009747292,0.003249097,0.001444043,0.006137184,0.001083032,0.00433213,0.001444043,0.000361011,0.072202166,0.001805054,0.898916968,0.000722022,0.002166065,0.001805054,0.013357401,0.002527076,0.002166065,0.000722022,0.001083032,0.942960289,0.006498195
trnP,0.001083032,0.000722022,0.000361011,0.001083032,1,0.000722022,0.000361011,0.055234657,0.001805054,0.011913357,0.002166065,0.004693141,0.001805054,0.914079422,0.000722022,0.006498195,0.003610108,0.002888087,0.001805054,0.001444043,0.027075812,0.002166065,0.001083032,0.003610108,0.000361011,0,0.014440433,0.000361011,0.006859206,0,0.006859206,0.00433213,0.91299639,0.002166065,0.001805054
trnV,0.004693141,0.000722022,0.006859206,0.001805054,0.000722022,1,0.001083032,0.000722022,0.023465704,0.939711191,0.000722022,0.001444043,0,0.000722022,0.002166065,0.016967509,0.011913357,0.931046931,0,0.002166065,0.003249097,0.000722022,0.000722022,0.012274368,0.000361011,0.000361011,0.005054152,0.004693141,0.001805054,0.00433213,0.000722022,0,0.008303249,0.001444043,0.004693141
atp6,0.000361011,0,0.001805054,0.000722022,0.000361011,0.001083032,1,0,0.000722022,0.000361011,0.001083032,0.000361011,0,0,0.001083032,0.000722022,0.002166065,0.000361011,0.000361011,0.976173285,0,0.000722022,0.993862816,0.001083032,0.000361011,0.000361011,0.003610108,0.000361011,0.001083032,0.000722022,0,0.000722022,0,0.002166065,0.003610108
nad4L,0.001083032,0.000722022,0.002166065,0.000722022,0.055234657,0.000722022,0,1,0,0.000361011,0.001083032,0.000722022,0.002888087,0.901805054,0.000361011,0.001444043,0,0,0.982310469,0,0.001083032,0.000722022,0.001083032,0.003249097,0,0.000361011,0.002527076,0.000361011,0.000361011,0.004693141,0.013357401,0.001805054,0.014440433,0.000361011,0.000361011
trnQ,0.005776173,0.215523466,0.001805054,0.009386282,0.001805054,0.023465704,0.000722022,0,1,0.007581227,0.008303249,0.011552347,0.000722022,0.002527076,0.001444043,0.675451264,0.85198556,0.048736462,0.001083032,0.000722022,0.002888087,0.009025271,0.000361011,0.009386282,0.001083032,0.002166065,0.019133574,0.000722022,0.021299639,0.000722022,0.000722022,0.042238267,0.000722022,0.003249097,0.001083032
rrnL,0.003610108,0.001083032,0,0.000722022,0.011913357,0.939711191,0.000361011,0.000361011,0.007581227,1,0.007581227,0.001805054,0.001444043,0.001083032,0.000722022,0.000361011,0.00433213,0.02599278,0,0.000361011,0.018772563,0.004693141,0,0.926353791,0.000361011,0.001083032,0.007942238,0,0.002888087,0.005054152,0.000361011,0.001805054,0.002888087,0.000361011,0.001083032
