,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnA,1,0.010272121102901424,0.001261488556496666,0.00018021265092809516,0.0003604253018561903,0.0,0.0014417012074247613,0.0,0.0027031897639214274,0.001081275905568571,0.9814380969544062,0.0,0.001081275905568571,0.0003604253018561903,0.9828797981618309,0.001081275905568571,0.0005406379527842854,0.0007208506037123806,0.001261488556496666,0.00018021265092809516,0.001261488556496666,0.0,0.0005406379527842854,0.0003604253018561903,0.0007208506037123806,0.001261488556496666,0.0007208506037123806,0.0003604253018561903,0.0009010632546404757,0.0003604253018561903,0.0007208506037123806,0.013155523517750947,0.0009010632546404757,0.0014417012074247613,0.001081275905568571
nad2,0.010272121102901424,1,0.0,0.0003604253018561903,0.0003604253018561903,0.0,0.0005406379527842854,0.0,0.005045954225986664,0.0,0.9828797981618309,0.0,0.0005406379527842854,0.0003604253018561903,0.0027031897639214274,0.990628942151739,0.0007208506037123806,0.0,0.0,0.00018021265092809516,0.0005406379527842854,0.0007208506037123806,0.0,0.001081275905568571,0.0,0.0,0.0003604253018561903,0.0,0.00018021265092809516,0.0009010632546404757,0.00018021265092809516,0.0003604253018561903,0.0,0.00018021265092809516,0.0005406379527842854
nad5,0.001261488556496666,0.0,1,0.0003604253018561903,0.00018021265092809516,0.0,0.0,0.0,0.00018021265092809516,0.0,0.0003604253018561903,0.00018021265092809516,0.001261488556496666,0.004144890971346188,0.00018021265092809516,0.0003604253018561903,0.0005406379527842854,0.0,0.0005406379527842854,0.0,0.0,0.0019823391602090466,0.00018021265092809516,0.9740493782663543,0.00018021265092809516,0.0005406379527842854,0.019643178951162372,0.0007208506037123806,0.00018021265092809516,0.00018021265092809516,0.14885564966660658,0.0,0.8406920165795639,0.0003604253018561903,0.002162551811137142
trnK,0.00018021265092809516,0.0003604253018561903,0.0003604253018561903,1,0.0,0.00018021265092809516,0.001081275905568571,0.00018021265092809516,0.00018021265092809516,0.0005406379527842854,0.0005406379527842854,0.0,0.0003604253018561903,0.0,0.00018021265092809516,0.0005406379527842854,0.00018021265092809516,0.0005406379527842854,0.0,0.001261488556496666,0.0005406379527842854,0.00018021265092809516,0.9931519192647323,0.0003604253018561903,0.9936925572175167,0.00018021265092809516,0.001081275905568571,0.00018021265092809516,0.0,0.001081275905568571,0.00018021265092809516,0.0007208506037123806,0.0003604253018561903,0.0009010632546404757,0.0
trnP,0.0003604253018561903,0.0003604253018561903,0.00018021265092809516,0.0,1,0.0005406379527842854,0.0007208506037123806,0.0005406379527842854,0.0007208506037123806,0.00018021265092809516,0.0014417012074247613,0.8387096774193549,0.0005406379527842854,0.9709857632005767,0.0,0.0009010632546404757,0.007929356640836186,0.0027031897639214274,0.0014417012074247613,0.0,0.001081275905568571,0.01189403496125428,0.0003604253018561903,0.010452333753829519,0.0003604253018561903,0.00018021265092809516,0.0007208506037123806,0.00018021265092809516,0.0005406379527842854,0.0,0.003964678320418093,0.0,0.13912416651648946,0.00018021265092809516,0.00018021265092809516
trnV,0.0,0.0,0.0,0.00018021265092809516,0.0005406379527842854,1,0.00018021265092809516,0.0,0.0,0.9935123445665885,0.0005406379527842854,0.002342764462065237,0.0003604253018561903,0.0,0.0007208506037123806,0.0003604253018561903,0.0009010632546404757,0.9922508560100919,0.001081275905568571,0.00018021265092809516,0.0,0.0005406379527842854,0.0,0.0014417012074247613,0.0005406379527842854,0.00018021265092809516,0.0003604253018561903,0.0005406379527842854,0.001081275905568571,0.00018021265092809516,0.0003604253018561903,0.00018021265092809516,0.0003604253018561903,0.0,0.00018021265092809516
atp6,0.0014417012074247613,0.0005406379527842854,0.0,0.001081275905568571,0.0007208506037123806,0.00018021265092809516,1,0.0003604253018561903,0.0,0.0,0.0005406379527842854,0.0003604253018561903,0.0,0.0003604253018561903,0.0005406379527842854,0.0005406379527842854,0.0003604253018561903,0.0,0.0,0.9940529825193729,0.0007208506037123806,0.0,0.9954946837267976,0.0003604253018561903,0.00018021265092809516,0.0,0.0005406379527842854,0.0,0.00018021265092809516,0.0005406379527842854,0.0,0.0,0.0,0.0,0.0005406379527842854
nad4L,0.0,0.0,0.0,0.00018021265092809516,0.0005406379527842854,0.0,0.0003604253018561903,1,0.00018021265092809516,0.0,0.0,0.0,0.001081275905568571,0.0003604253018561903,0.0003604253018561903,0.0007208506037123806,0.0,0.0,0.9954946837267976,0.001081275905568571,0.0003604253018561903,0.00018021265092809516,0.0,0.0007208506037123806,0.0,0.0003604253018561903,0.0,0.001261488556496666,0.0,0.994413407821229,0.0,0.0005406379527842854,0.0009010632546404757,0.00018021265092809516,0.0009010632546404757
trnQ,0.0027031897639214274,0.005045954225986664,0.00018021265092809516,0.00018021265092809516,0.0007208506037123806,0.0,0.0,0.00018021265092809516,1,0.0007208506037123806,0.001081275905568571,0.0009010632546404757,0.0,0.0019823391602090466,0.0,0.9787349071904847,0.9652189583708777,0.0003604253018561903,0.0,0.001261488556496666,0.012074247612182376,0.0003604253018561903,0.00018021265092809516,0.01928275364930618,0.00018021265092809516,0.00018021265092809516,0.0005406379527842854,0.00018021265092809516,0.0005406379527842854,0.0014417012074247613,0.0027031897639214274,0.0003604253018561903,0.0028834024148495225,0.0005406379527842854,0.0007208506037123806
rrnL,0.001081275905568571,0.0,0.0,0.0005406379527842854,0.00018021265092809516,0.9935123445665885,0.0,0.0,0.0007208506037123806,1,0.00018021265092809516,0.00018021265092809516,0.0,0.0,0.0,0.0007208506037123806,0.002162551811137142,0.002162551811137142,0.00018021265092809516,0.00018021265092809516,0.019462966300234277,0.00018021265092809516,0.0003604253018561903,0.9740493782663543,0.0,0.0,0.0005406379527842854,0.0,0.00018021265092809516,0.0,0.00018021265092809516,0.00018021265092809516,0.0003604253018561903,0.0003604253018561903,0.00018021265092809516
