,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nad2,0.0,1,0.3755868544600939,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.24882629107981222,0.10328638497652583,0.0,0.0,0.0,0.0,0.16901408450704225,0.0,0.20657276995305165,0.0,0.023474178403755867,0.0,0.0,0.0,0.004694835680751174,0.07511737089201878,0.0,0.004694835680751174,0.03286384976525822,0.0,0.004694835680751174,0.3474178403755869,0.0,0.352112676056338,0.0,0.0
nad5,0.0,0.3755868544600939,1,0.0,0.0,0.0,0.056338028169014086,0.0,0.0,0.19248826291079812,0.023474178403755867,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.14084507042253522,0.24882629107981222,0.0,0.23943661971830985,0.004694835680751174,0.014084507042253521,0.004694835680751174,0.009389671361502348,0.004694835680751174,0.004694835680751174,0.0,0.0,0.004694835680751174,0.009389671361502348,0.0,0.009389671361502348,0.0,0.0
trnK,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trnP,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trnV,0.0,0.004694835680751174,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174
atp6,0.0,0.0,0.056338028169014086,0.0,0.0,0.0,1,0.0,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.07042253521126761,0.3427230046948357,0.38497652582159625,0.014084507042253521,0.0,0.5868544600938967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38028169014084506,0.0,0.0
nad4L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.03286384976525822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018779342723004695,0.004694835680751174,0.14084507042253522,0.0,0.1784037558685446,0.0,0.38967136150234744,0.08450704225352113,0.0,0.784037558685446,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,0.0
trnQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rrnL,0.0,0.24882629107981222,0.19248826291079812,0.0,0.0,0.0,0.0,0.03286384976525822,0.0,1,0.018779342723004695,0.004694835680751174,0.0,0.0,0.004694835680751174,0.5727699530516432,0.0,0.009389671361502348,0.0,0.107981220657277,0.03755868544600939,0.0,0.0,0.004694835680751174,0.028169014084507043,0.11737089201877934,0.0,0.0,0.0,0.0,0.03286384976525822,0.0,0.0,0.0,0.0
trnW,0.0,0.10328638497652583,0.023474178403755867,0.0,0.0,0.004694835680751174,0.04225352112676056,0.0,0.0,0.018779342723004695,1,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.004694835680751174,0.0,0.004694835680751174,0.0,0.0,0.41784037558685444,0.0,0.13145539906103287,0.014084507042253521,0.0,0.215962441314554,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.004694835680751174
trnF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.004694835680751174,0.004694835680751174,0.0,0.0,0.0,0.004694835680751174,0.0,0.004694835680751174
trnH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trnT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
