,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnA,1,0.0,0.0,0.0,0.025,0.0125,0.0,0.0,0.1125,0.0,0.65,0.0,0.0,0.0,0.0,0.1625,0.0,0.0,0.0,0.0,0.0,0.1625,0.0,0.7375,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0625,0.0375,0.0,0.0125
nad2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.05,0.0,0.0125,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.2875,0.0
nad5,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.9875,0.0,0.0
trnK,0.0,0.0,0.0,1,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trnP,0.025,0.0,0.0,0.0,1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.475,0.0125,0.1,0.0,0.2875,0.0,0.0,0.0,0.0125,0.0,0.125,0.0,0.15,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.05
trnV,0.0125,0.0,0.0,0.0,0.0,1,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2875,0.0,0.0,0.975,0.0,0.05,0.0
atp6,0.0,0.0,0.0,0.0375,0.0,0.0,1,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9875,0.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nad4L,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.975,0.0,0.0125,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0
trnQ,0.1125,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0125,0.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0
rrnL,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0375,0.0,0.125,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.3
trnW,0.65,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.2875,0.0,0.0,0.1875,0.0,0.0,0.65,0.0,0.0,0.0
trnF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,1,0.0,0.1,0.0,0.0125,0.0,0.9625,0.0,0.0,0.0,0.15,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.6625,0.0,0.0,0.0,0.0125
trnH,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0
trnT,0.0,0.05,0.0125,0.0,0.475,0.0,0.0,0.0,0.0125,0.125,0.1,0.1,0.0,1,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.725,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0125,0.0625,0.0
trnN,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.9875,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trnM,0.1625,0.0125,0.0,0.0,0.1,0.65,0.0,0.0,0.0,0.1,0.0125,0.0125,0.0,0.0,0.0,1,0.0375,0.0,0.0,0.0,0.025,0.0125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.025,0.0875,0.65,0.0375
trnI,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,1,0.0,0.0,0.0,0.975,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rrnS,0.0,0.0,0.0,0.0,0.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.9625,0.0,0.0125,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nad4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox3,0.0,0.0,0.0,0.0,0.0,0.0,0.9875,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nad1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.025,0.975,0.0,0.0,0.0,1,0.0,0.0,0.925,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trnE,0.1625,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.725,0.0,0.0125,0.0,0.6625,0.0,0.0,0.0,1,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0875,0.025,0.0,0.125
atp8,0.0,0.0,0.0,0.9375,0.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
