,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnA,1,0.010183299389002037,0.014256619144602852,0.384928716904277,0.15478615071283094,0.006109979633401222,0.006109979633401222,0.016293279022403257,0.002036659877800407,0.008146639511201629,0.024439918533604887,0.0835030549898167,0.11405295315682282,0.016293279022403257,0.04480651731160896,0.004073319755600814,0.002036659877800407,0.008146639511201629,0.008146639511201629,0.05702647657841141,0.04480651731160896,0.004073319755600814,0.006109979633401222,0.13034623217922606,0.008146639511201629,0.05295315682281059,0.15885947046843177,0.04480651731160896,0.002036659877800407,0.4073319755600815,0.006109979633401222,0.059063136456211814,0.059063136456211814,0.020366598778004074,0.028513238289205704
nad2,0.010183299389002037,1,0.002036659877800407,0.1690427698574338,0.03054989816700611,0.028513238289205704,0.010183299389002037,0.04073319755600815,0.016293279022403257,0.006109979633401222,0.034623217922606926,0.004073319755600814,0.002036659877800407,0.012219959266802444,0.004073319755600814,0.1384928716904277,0.19144602851323828,0.008146639511201629,0.008146639511201629,0.03665987780040733,0.03665987780040733,0.06924643584521385,0.0,0.0,0.012219959266802444,0.45621181262729127,0.5071283095723014,0.016293279022403257,0.006109979633401222,0.05091649694501019,0.008146639511201629,0.010183299389002037,0.008146639511201629,0.034623217922606926,0.012219959266802444
nad5,0.014256619144602852,0.002036659877800407,1,0.028513238289205704,0.014256619144602852,0.006109979633401222,0.03054989816700611,0.026476578411405296,0.109979633401222,0.020366598778004074,0.002036659877800407,0.5071283095723014,0.46435845213849286,0.014256619144602852,0.06109979633401222,0.02240325865580448,0.018329938900203666,0.008146639511201629,0.032586558044806514,0.008146639511201629,0.1710794297352342,0.0,0.016293279022403257,0.008146639511201629,0.018329938900203666,0.008146639511201629,0.010183299389002037,0.04073319755600815,0.010183299389002037,0.034623217922606926,0.006109979633401222,0.012219959266802444,0.23625254582484725,0.03054989816700611,0.002036659877800407
trnK,0.384928716904277,0.1690427698574338,0.028513238289205704,1,0.006109979633401222,0.04480651731160896,0.008146639511201629,0.032586558044806514,0.016293279022403257,0.002036659877800407,0.032586558044806514,0.03054989816700611,0.004073319755600814,0.12423625254582485,0.006109979633401222,0.03665987780040733,0.04480651731160896,0.15885947046843177,0.018329938900203666,0.4154786150712831,0.006109979633401222,0.004073319755600814,0.0,0.05295315682281059,0.016293279022403257,0.16089613034623218,0.03665987780040733,0.032586558044806514,0.024439918533604887,0.018329938900203666,0.004073319755600814,0.024439918533604887,0.026476578411405296,0.026476578411405296,0.0
trnP,0.15478615071283094,0.03054989816700611,0.014256619144602852,0.006109979633401222,1,0.008146639511201629,0.008146639511201629,0.014256619144602852,0.03665987780040733,0.028513238289205704,0.006109979633401222,0.012219959266802444,0.012219959266802444,0.016293279022403257,0.11812627291242363,0.02240325865580448,0.018329938900203666,0.024439918533604887,0.014256619144602852,0.004073319755600814,0.439918533604888,0.034623217922606926,0.002036659877800407,0.08757637474541752,0.04073319755600815,0.014256619144602852,0.02240325865580448,0.016293279022403257,0.006109979633401222,0.002036659877800407,0.15682281059063136,0.014256619144602852,0.5784114052953157,0.006109979633401222,0.018329938900203666
trnV,0.006109979633401222,0.028513238289205704,0.006109979633401222,0.04480651731160896,0.008146639511201629,1,0.010183299389002037,0.004073319755600814,0.004073319755600814,0.6211812627291242,0.05091649694501019,0.04276985743380855,0.006109979633401222,0.018329938900203666,0.008146639511201629,0.02240325865580448,0.12423625254582485,0.4175152749490835,0.04073319755600815,0.004073319755600814,0.024439918533604887,0.008146639511201629,0.0,0.14867617107942974,0.034623217922606926,0.164969450101833,0.016293279022403257,0.004073319755600814,0.010183299389002037,0.03054989816700611,0.002036659877800407,0.004073319755600814,0.008146639511201629,0.008146639511201629,0.059063136456211814
atp6,0.006109979633401222,0.010183299389002037,0.03054989816700611,0.008146639511201629,0.008146639511201629,0.010183299389002037,1,0.004073319755600814,0.012219959266802444,0.05295315682281059,0.016293279022403257,0.16089613034623218,0.02240325865580448,0.026476578411405296,0.1629327902240326,0.24439918533604887,0.016293279022403257,0.006109979633401222,0.004073319755600814,0.16089613034623218,0.004073319755600814,0.028513238289205704,0.45213849287169044,0.006109979633401222,0.010183299389002037,0.018329938900203666,0.048879837067209775,0.05091649694501019,0.059063136456211814,0.1710794297352342,0.004073319755600814,0.03054989816700611,0.002036659877800407,0.13034623217922606,0.034623217922606926
nad4L,0.016293279022403257,0.04073319755600815,0.026476578411405296,0.032586558044806514,0.014256619144602852,0.004073319755600814,0.004073319755600814,1,0.016293279022403257,0.002036659877800407,0.08961303462321792,0.008146639511201629,0.0,0.41140529531568226,0.014256619144602852,0.008146639511201629,0.028513238289205704,0.002036659877800407,0.5967413441955194,0.008146639511201629,0.14663951120162932,0.002036659877800407,0.12627291242362526,0.010183299389002037,0.020366598778004074,0.002036659877800407,0.05702647657841141,0.012219959266802444,0.06924643584521385,0.0,0.17311608961303462,0.006109979633401222,0.010183299389002037,0.020366598778004074,0.006109979633401222
trnQ,0.002036659877800407,0.016293279022403257,0.109979633401222,0.016293279022403257,0.03665987780040733,0.004073319755600814,0.012219959266802444,0.016293279022403257,1,0.02240325865580448,0.3890020366598778,0.016293279022403257,0.1120162932790224,0.020366598778004074,0.028513238289205704,0.010183299389002037,0.03665987780040733,0.02240325865580448,0.012219959266802444,0.026476578411405296,0.024439918533604887,0.034623217922606926,0.010183299389002037,0.164969450101833,0.014256619144602852,0.004073319755600814,0.024439918533604887,0.05091649694501019,0.03665987780040733,0.034623217922606926,0.002036659877800407,0.2525458248472505,0.04276985743380855,0.018329938900203666,0.4073319755600815
rrnL,0.008146639511201629,0.006109979633401222,0.020366598778004074,0.002036659877800407,0.028513238289205704,0.6211812627291242,0.05295315682281059,0.002036659877800407,0.02240325865580448,1,0.010183299389002037,0.020366598778004074,0.002036659877800407,0.0,0.018329938900203666,0.032586558044806514,0.03054989816700611,0.02240325865580448,0.016293279022403257,0.018329938900203666,0.006109979633401222,0.004073319755600814,0.018329938900203666,0.7230142566191446,0.002036659877800407,0.032586558044806514,0.020366598778004074,0.006109979633401222,0.164969450101833,0.012219959266802444,0.054989816700611,0.008146639511201629,0.03665987780040733,0.032586558044806514,0.006109979633401222
