,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnA,1,0.0,0.6742857142857143,0.022857142857142857,0.6571428571428571,0.0,0.005714285714285714,0.0,0.05142857142857143,0.0,0.005714285714285714,0.011428571428571429,0.0,0.005714285714285714,0.017142857142857144,0.005714285714285714,0.005714285714285714,0.04,0.005714285714285714,0.10285714285714286,0.005714285714285714,0.017142857142857144,0.0,0.1657142857142857,0.011428571428571429,0.011428571428571429,0.04,0.005714285714285714,0.022857142857142857,0.05142857142857143,0.005714285714285714,0.11428571428571428,0.0,0.005714285714285714,0.011428571428571429
nad2,0.0,1,0.0,0.06857142857142857,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.10285714285714286,0.0,0.06857142857142857,0.7314285714285714,0.0,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.0,0.08,0.017142857142857144,0.0,0.8,0.005714285714285714,0.011428571428571429,0.017142857142857144,0.005714285714285714,0.0,0.005714285714285714,0.011428571428571429,0.011428571428571429
nad5,0.6742857142857143,0.0,1,0.017142857142857144,0.005714285714285714,0.10857142857142857,0.045714285714285714,0.0,0.05142857142857143,0.005714285714285714,0.005714285714285714,0.06857142857142857,0.06857142857142857,0.0,0.0,0.011428571428571429,0.0,0.0,0.005714285714285714,0.005714285714285714,0.0,0.09714285714285714,0.0,0.04,0.0,0.0,0.017142857142857144,0.6971428571428572,0.0,0.005714285714285714,0.0,0.005714285714285714,0.03428571428571429,0.0,0.011428571428571429
trnK,0.022857142857142857,0.06857142857142857,0.017142857142857144,1,0.0,0.017142857142857144,0.6457142857142857,0.12571428571428572,0.0,0.005714285714285714,0.005714285714285714,0.0,0.011428571428571429,0.0,0.011428571428571429,0.09714285714285714,0.0,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.08,0.0,0.0,0.6628571428571428,0.0,0.0,0.02857142857142857,0.04,0.0,0.0,0.017142857142857144,0.05714285714285714,0.005714285714285714,0.011428571428571429,0.045714285714285714
trnP,0.6571428571428571,0.005714285714285714,0.005714285714285714,0.0,1,0.6457142857142857,0.0,0.0,0.02857142857142857,0.0,0.0,0.011428571428571429,0.0,0.10857142857142857,0.011428571428571429,0.005714285714285714,0.005714285714285714,0.02857142857142857,0.04,0.02857142857142857,0.0,0.005714285714285714,0.0,0.06285714285714286,0.011428571428571429,0.017142857142857144,0.09714285714285714,0.005714285714285714,0.02857142857142857,0.005714285714285714,0.0,0.005714285714285714,0.06857142857142857,0.09714285714285714,0.011428571428571429
trnV,0.0,0.005714285714285714,0.10857142857142857,0.017142857142857144,0.6457142857142857,1,0.022857142857142857,0.017142857142857144,0.0,0.06857142857142857,0.02857142857142857,0.005714285714285714,0.005714285714285714,0.017142857142857144,0.011428571428571429,0.011428571428571429,0.005714285714285714,0.07428571428571429,0.005714285714285714,0.0,0.005714285714285714,0.04,0.0,0.0,0.0,0.0,0.017142857142857144,0.005714285714285714,0.005714285714285714,0.03428571428571429,0.0,0.022857142857142857,0.7028571428571428,0.09714285714285714,0.005714285714285714
atp6,0.005714285714285714,0.005714285714285714,0.045714285714285714,0.6457142857142857,0.0,0.022857142857142857,1,0.0,0.0,0.06857142857142857,0.0,0.11428571428571428,0.022857142857142857,0.005714285714285714,0.011428571428571429,0.005714285714285714,0.09714285714285714,0.0,0.017142857142857144,0.07428571428571429,0.6971428571428572,0.005714285714285714,0.0,0.045714285714285714,0.0,0.011428571428571429,0.05142857142857143,0.0,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.0,0.0,0.011428571428571429,0.005714285714285714
nad4L,0.0,0.0,0.0,0.12571428571428572,0.0,0.017142857142857144,0.0,1,0.017142857142857144,0.0,0.6514285714285715,0.005714285714285714,0.0,0.06857142857142857,0.022857142857142857,0.005714285714285714,0.0,0.11428571428571428,0.07428571428571429,0.0,0.0,0.0,0.0,0.005714285714285714,0.04,0.005714285714285714,0.0,0.02857142857142857,0.04,0.0,0.0,0.0,0.7085714285714285,0.005714285714285714,0.02857142857142857
trnQ,0.05142857142857143,0.0,0.05142857142857143,0.0,0.02857142857142857,0.0,0.0,0.017142857142857144,1,0.0,0.06857142857142857,0.6514285714285715,0.005714285714285714,0.0,0.011428571428571429,0.0,0.08,0.011428571428571429,0.0,0.005714285714285714,0.011428571428571429,0.0,0.0,0.005714285714285714,0.0,0.0,0.005714285714285714,0.017142857142857144,0.0,0.7828571428571428,0.09714285714285714,0.03428571428571429,0.017142857142857144,0.02857142857142857,0.0
rrnL,0.0,0.0,0.005714285714285714,0.005714285714285714,0.0,0.06857142857142857,0.06857142857142857,0.0,0.0,1,0.005714285714285714,0.005714285714285714,0.8171428571428572,0.011428571428571429,0.0,0.06857142857142857,0.0,0.005714285714285714,0.0,0.005714285714285714,0.0,0.0,0.0,0.03428571428571429,0.005714285714285714,0.0,0.011428571428571429,0.8171428571428572,0.0,0.011428571428571429,0.0,0.02857142857142857,0.011428571428571429,0.0,0.0
