,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnA,1,0.1056338028169014,0.0,0.007042253521126761,0.0,0.8450704225352113,0.0,0.007042253521126761,0.007042253521126761,0.0,0.0,0.0,0.0,0.02112676056338028,0.0,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,0.0,0.007042253521126761,0.0,0.0,0.028169014084507043,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.014084507042253521,0.0,0.0,0.0,0.007042253521126761,0.0,0.8873239436619719,0.007042253521126761
nad2,0.1056338028169014,1,0.0,0.0,0.0,0.8380281690140845,0.9295774647887324,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.014084507042253521,0.014084507042253521,0.02112676056338028,0.007042253521126761,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.007042253521126761,0.0,0.0,0.035211267605633804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761
nad5,0.0,0.0,1,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.007042253521126761,0.0,0.0,0.007042253521126761,0.0,0.014084507042253521,0.0,0.11267605633802817,0.0,0.035211267605633804,0.0,0.0,0.06338028169014084,0.0,0.0,0.9084507042253521,0.0,0.007042253521126761,0.04225352112676056,0.0,0.7887323943661971
trnK,0.007042253521126761,0.0,0.0,1,0.035211267605633804,0.0,0.028169014084507043,0.0,0.08450704225352113,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.8732394366197183,0.0,0.0,0.007042253521126761,0.0,0.007042253521126761,0.0,0.007042253521126761,0.007042253521126761,0.0,0.0,0.9084507042253521,0.014084507042253521,0.0,0.0,0.007042253521126761,0.007042253521126761,0.0,0.0
trnP,0.0,0.0,0.0,0.035211267605633804,1,0.028169014084507043,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.007042253521126761,0.8873239436619719,0.02112676056338028,0.8873239436619719,0.0,0.0,0.0,0.014084507042253521,0.007042253521126761,0.0,0.0,0.028169014084507043,0.0,0.007042253521126761,0.056338028169014086,0.0,0.0,0.007042253521126761,0.0,0.007042253521126761,0.0,0.0
trnV,0.8450704225352113,0.8380281690140845,0.0,0.0,0.028169014084507043,1,0.028169014084507043,0.0,0.0,0.007042253521126761,0.04225352112676056,0.0,0.007042253521126761,0.0,0.0,0.007042253521126761,0.0,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.07042253521126761,0.007042253521126761,0.0,0.007042253521126761,0.014084507042253521,0.0,0.02112676056338028,0.02112676056338028,0.0,0.007042253521126761,0.0,0.0,0.0,0.02112676056338028,0.007042253521126761
atp6,0.0,0.9295774647887324,0.007042253521126761,0.028169014084507043,0.0,0.028169014084507043,1,0.0,0.0,0.0,0.0,0.11267605633802817,0.014084507042253521,0.0,0.0,0.8169014084507042,0.028169014084507043,0.0,0.0,0.0,0.02112676056338028,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0
nad4L,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.007042253521126761,0.007042253521126761,0.0,0.971830985915493,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.014084507042253521,0.9577464788732394,0.0,0.0,0.0,0.0
trnQ,0.007042253521126761,0.0,0.0,0.08450704225352113,0.0,0.0,0.0,0.0,1,0.0,0.014084507042253521,0.8309859154929577,0.007042253521126761,0.007042253521126761,0.0,0.07746478873239436,0.028169014084507043,0.0,0.8591549295774648,0.0,0.0,0.0,0.0,0.07746478873239436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0
rrnL,0.0,0.0,0.0,0.0,0.007042253521126761,0.007042253521126761,0.0,0.0,0.0,1,0.0,0.0,0.0,0.9295774647887324,0.0,0.0,0.007042253521126761,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,0.04929577464788732,0.0,0.007042253521126761,0.02112676056338028,0.0,0.0,0.0,0.0,0.8943661971830986,0.0,0.0,0.035211267605633804
