gene_1,gene_2,Arthropoda,Chordata,Cnidaria,Echinodermata,Mollusca,Nematoda
atp6,cox2,True,True,True,True,True,True
atp6,rrnS,True,True,True,True,True,True
atp6,nad4,True,True,True,True,True,True
atp6,atp6,True,True,True,True,True,True
atp6,cox3,True,True,True,True,True,True
atp6,rrnL,True,True,True,True,True,True
atp6,nad1,True,True,True,True,False,True
atp6,nad2,True,True,True,True,True,True
atp6,nad5,False,True,True,True,False,True
atp6,nad3,True,True,True,True,True,True
atp6,nad4L,False,True,True,True,True,True
atp8,atp8,True,True,True,True,True,True
atp8,cob,True,True,True,True,True,True
atp8,rrnS,True,True,True,True,True,True
atp8,nad4,True,True,True,True,True,True
atp8,nad4L,True,True,True,True,True,True
atp8,rrnL,True,True,True,True,True,True
atp8,cox2,True,True,True,True,True,True
atp8,atp6,True,True,True,True,True,True
atp8,nad3,True,True,True,True,True,True
atp8,nad5,True,True,True,True,True,True
atp8,nad2,True,True,True,True,True,True
atp8,cox3,True,True,True,True,True,True
atp8,nad1,True,True,True,True,True,True
cob,atp6,True,True,True,True,True,True
cob,cob,True,True,True,True,True,True
cob,nad3,True,True,True,True,False,True
cob,rrnL,False,True,True,True,True,False
cob,cox3,True,True,True,True,True,True
cob,cox2,True,True,True,True,True,True
cob,nad1,False,True,True,True,True,True
cob,nad4L,False,True,True,True,True,True
cob,rrnS,True,True,True,True,True,True
cob,nad5,False,True,True,True,False,True
cob,nad2,True,True,True,True,True,True
cob,nad4,True,True,True,True,True,True
cox1,nad4L,False,True,True,True,True,True
cox1,cox3,True,True,True,True,True,True
cox1,nad2,True,True,True,True,True,True
cox1,nad5,True,True,True,True,True,True
cox1,nad6,True,True,False,True,True,True
cox1,atp6,True,True,True,True,True,True
cox1,nad3,True,True,True,True,True,True
cox1,rrnS,False,True,True,True,True,True
cox1,nad1,False,True,True,False,True,True
cox1,rrnL,True,True,True,True,True,False
cox1,atp8,True,True,True,True,True,True
cox1,cox2,True,True,False,True,True,True
cox1,nad4,True,True,True,True,True,True
cox1,cob,False,True,True,True,True,False
cox1,cox1,True,True,True,True,True,True
cox2,cox2,True,True,True,True,True,True
cox2,nad2,True,True,True,True,True,True
cox2,nad4,False,True,True,True,True,True
cox3,cox3,True,True,True,True,True,True
cox3,nad2,False,True,True,True,False,True
cox3,nad4,True,True,False,True,False,True
cox3,nad1,False,True,True,True,False,True
cox3,cox2,True,True,True,True,True,True
nad1,nad2,False,True,True,True,True,False
nad1,nad4,True,True,True,True,True,True
nad1,cox2,True,True,True,True,True,True
nad1,nad1,True,True,True,True,True,True
nad2,nad2,True,True,True,True,True,True
nad3,cox3,True,True,True,True,True,True
nad3,nad3,True,True,True,True,True,True
nad3,nad2,True,True,True,True,True,True
nad3,cox2,True,True,True,True,True,False
nad3,nad1,False,True,True,True,True,True
nad3,nad4,False,True,True,True,False,True
nad4,nad2,False,True,True,True,True,True
nad4,nad4,True,True,True,True,True,True
nad4L,rrnS,True,True,True,True,True,True
nad4L,rrnL,False,True,True,True,True,True
nad4L,cox2,False,True,True,True,True,True
nad4L,nad1,True,True,True,True,True,True
nad4L,cox3,True,True,True,True,True,True
nad4L,nad4,True,True,False,True,True,True
nad4L,nad5,True,True,True,True,True,True
nad4L,nad3,True,True,True,True,True,True
nad4L,nad2,False,True,True,True,True,True
nad4L,nad4L,True,True,True,True,True,True
nad5,cox2,True,True,True,True,True,True
nad5,nad1,True,True,True,True,True,True
nad5,nad5,True,True,True,True,True,True
nad5,rrnS,True,True,True,True,True,True
nad5,nad3,False,True,True,True,True,True
nad5,nad4,True,True,True,True,True,True
nad5,nad2,True,True,True,True,True,True
nad5,cox3,False,True,True,True,True,True
nad6,nad6,True,True,True,True,True,True
nad6,atp8,False,True,True,True,True,True
nad6,nad4,True,False,True,True,False,True
nad6,atp6,True,True,True,True,True,True
nad6,cob,True,False,True,False,True,True
nad6,nad5,False,False,True,False,True,True
nad6,rrnS,True,False,True,True,True,True
nad6,rrnL,False,True,True,True,True,True
nad6,nad3,True,True,True,True,True,True
nad6,cox2,True,True,True,True,True,True
nad6,nad4L,False,True,True,True,True,True
nad6,cox3,True,True,True,True,True,True
nad6,nad2,True,False,True,True,True,True
nad6,nad1,False,True,True,True,True,False
rrnL,cox3,True,True,True,True,True,True
rrnL,nad5,True,True,True,True,True,True
rrnL,cox2,False,True,False,True,True,True
rrnL,nad2,False,True,True,True,True,True
rrnL,rrnS,True,True,True,True,True,True
rrnL,rrnL,True,True,True,True,True,True
rrnL,nad1,True,True,True,True,True,True
rrnL,nad4,True,True,True,True,True,True
rrnL,nad3,True,True,True,True,True,True
rrnS,nad2,False,True,True,True,True,True
rrnS,cox2,False,True,True,True,True,True
rrnS,nad1,True,True,True,True,True,True
rrnS,cox3,False,True,True,True,False,False
rrnS,nad3,True,True,True,True,True,True
rrnS,rrnS,True,True,True,True,True,True
rrnS,nad4,False,True,True,True,True,True
