,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.02531645569620253,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.0,0.0,0.02531645569620253,0.0,0.0379746835443038,0.02531645569620253,0.02531645569620253,0.9620253164556962,0.02531645569620253,0.8354430379746836
nad6,0.02531645569620253,1,0.0,0.9240506329113924,0.012658227848101266,0.0,0.02531645569620253,0.0,0.012658227848101266,0.012658227848101266,0.9240506329113924,0.02531645569620253,0.0,0.0,0.0379746835443038
atp8,0.012658227848101266,0.0,1,0.012658227848101266,0.012658227848101266,0.02531645569620253,0.0,0.0,0.02531645569620253,0.012658227848101266,0.8860759493670886,0.012658227848101266,0.9620253164556962,0.0,0.012658227848101266
cob,0.012658227848101266,0.9240506329113924,0.012658227848101266,1,0.8481012658227848,0.0379746835443038,0.0,0.0,0.0759493670886076,0.012658227848101266,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.0,0.012658227848101266
atp6,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.8481012658227848,1,0.012658227848101266,0.012658227848101266,0.9240506329113924,0.02531645569620253,0.0,0.0379746835443038,0.08860759493670886,0.012658227848101266,0.0,0.0
nad4L,0.0,0.0,0.02531645569620253,0.0379746835443038,0.012658227848101266,1,0.0,0.8354430379746836,0.012658227848101266,0.06329113924050633,0.0,0.012658227848101266,0.0,0.9873417721518988,0.012658227848101266
rrnL,0.0,0.02531645569620253,0.0,0.0,0.012658227848101266,0.0,1,0.012658227848101266,0.9873417721518988,0.10126582278481013,0.02531645569620253,0.8227848101265823,0.0,0.0,0.012658227848101266
nad5,0.02531645569620253,0.0,0.0,0.0,0.9240506329113924,0.8354430379746836,0.012658227848101266,1,0.0,0.0379746835443038,0.0379746835443038,0.012658227848101266,0.0,0.0379746835443038,0.0759493670886076
rrnS,0.0,0.012658227848101266,0.02531645569620253,0.0759493670886076,0.02531645569620253,0.012658227848101266,0.9873417721518988,0.0,1,0.02531645569620253,0.0,0.0,0.0,0.8227848101265823,0.012658227848101266
nad3,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.0,0.06329113924050633,0.10126582278481013,0.0379746835443038,0.02531645569620253,1,0.0,0.810126582278481,0.0,0.012658227848101266,0.8734177215189873
cox3,0.02531645569620253,0.9240506329113924,0.8860759493670886,0.02531645569620253,0.0379746835443038,0.0,0.02531645569620253,0.0379746835443038,0.0,0.0,1,0.0,0.012658227848101266,0.0,0.02531645569620253
nad1,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.02531645569620253,0.08860759493670886,0.012658227848101266,0.8227848101265823,0.012658227848101266,0.0,0.810126582278481,0.0,1,0.02531645569620253,0.0759493670886076,0.06329113924050633
cox2,0.9620253164556962,0.0,0.9620253164556962,0.012658227848101266,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.02531645569620253,1,0.012658227848101266,0.0
nad4,0.02531645569620253,0.0,0.0,0.0,0.0,0.9873417721518988,0.0,0.0379746835443038,0.8227848101265823,0.012658227848101266,0.0,0.0759493670886076,0.012658227848101266,1,0.02531645569620253
nad2,0.8354430379746836,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.0,0.012658227848101266,0.012658227848101266,0.0759493670886076,0.012658227848101266,0.8734177215189873,0.02531645569620253,0.06329113924050633,0.0,0.02531645569620253,1
