,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.0010830324909747292,0.0018050541516245488,0.0068592057761732855,0.0010830324909747292,0.0010830324909747292,0.004693140794223827,0.003971119133574007,0.019855595667870037,0.010108303249097473,0.005054151624548736,0.005776173285198556,0.9794223826714802,0.001444043321299639,0.9570397111913357
nad6,0.0010830324909747292,1,0.001444043321299639,0.9595667870036101,0.00036101083032490973,0.956317689530686,0.019494584837545126,0.012996389891696752,0.004332129963898917,0.012996389891696752,0.002527075812274368,0.01263537906137184,0.001444043321299639,0.008664259927797834,0.002888086642599278
atp8,0.0018050541516245488,0.001444043321299639,1,0.0018050541516245488,0.9949458483754513,0.002888086642599278,0.0010830324909747292,0.0007220216606498195,0.004332129963898917,0.001444043321299639,0.0007220216606498195,0.0010830324909747292,0.9765342960288809,0.0,0.005415162454873646
cob,0.0068592057761732855,0.9595667870036101,0.0018050541516245488,1,0.0010830324909747292,0.01696750902527076,0.007220216606498195,0.011552346570397111,0.011191335740072202,0.004693140794223827,0.0036101083032490976,0.9342960288808664,0.002888086642599278,0.003971119133574007,0.032490974729241874
atp6,0.0010830324909747292,0.00036101083032490973,0.9949458483754513,0.0010830324909747292,1,0.00036101083032490973,0.001444043321299639,0.009025270758122744,0.0010830324909747292,0.003249097472924188,0.9783393501805054,0.0007220216606498195,0.002527075812274368,0.0010830324909747292,0.0010830324909747292
nad4L,0.0010830324909747292,0.956317689530686,0.002888086642599278,0.01696750902527076,0.00036101083032490973,1,0.006137184115523465,0.002527075812274368,0.002527075812274368,0.003971119133574007,0.005415162454873646,0.010469314079422382,0.001444043321299639,0.9844765342960289,0.0018050541516245488
rrnL,0.004693140794223827,0.019494584837545126,0.0010830324909747292,0.007220216606498195,0.001444043321299639,0.006137184115523465,1,0.0010830324909747292,0.9570397111913357,0.006137184115523465,0.0021660649819494585,0.9469314079422383,0.0021660649819494585,0.001444043321299639,0.02527075812274368
nad5,0.003971119133574007,0.012996389891696752,0.0007220216606498195,0.011552346570397111,0.009025270758122744,0.002527075812274368,0.0010830324909747292,1,0.022021660649819495,0.9223826714801444,0.01516245487364621,0.003971119133574007,0.004332129963898917,0.9703971119133574,0.01768953068592058
rrnS,0.019855595667870037,0.004332129963898917,0.004332129963898917,0.011191335740072202,0.0010830324909747292,0.002527075812274368,0.9570397111913357,0.022021660649819495,1,0.01588447653429603,0.0021660649819494585,0.032129963898916966,0.004332129963898917,0.001444043321299639,0.8989169675090253
nad3,0.010108303249097473,0.012996389891696752,0.001444043321299639,0.004693140794223827,0.003249097472924188,0.003971119133574007,0.006137184115523465,0.9223826714801444,0.01588447653429603,1,0.9671480144404332,0.022021660649819495,0.008664259927797834,0.005776173285198556,0.012996389891696752
cox3,0.005054151624548736,0.002527075812274368,0.0007220216606498195,0.0036101083032490976,0.9783393501805054,0.005415162454873646,0.0021660649819494585,0.01516245487364621,0.0021660649819494585,0.9671480144404332,1,0.0021660649819494585,0.005415162454873646,0.003971119133574007,0.003971119133574007
nad1,0.005776173285198556,0.01263537906137184,0.0010830324909747292,0.9342960288808664,0.0007220216606498195,0.010469314079422382,0.9469314079422383,0.003971119133574007,0.032129963898916966,0.022021660649819495,0.0021660649819494585,1,0.003971119133574007,0.0021660649819494585,0.020216606498194945
cox2,0.9794223826714802,0.001444043321299639,0.9765342960288809,0.002888086642599278,0.002527075812274368,0.001444043321299639,0.0021660649819494585,0.004332129963898917,0.004332129963898917,0.008664259927797834,0.005415162454873646,0.003971119133574007,1,0.0021660649819494585,0.0036101083032490976
nad4,0.001444043321299639,0.008664259927797834,0.0,0.003971119133574007,0.0010830324909747292,0.9844765342960289,0.001444043321299639,0.9703971119133574,0.001444043321299639,0.005776173285198556,0.003971119133574007,0.0021660649819494585,0.0021660649819494585,1,0.01227436823104693
nad2,0.9570397111913357,0.002888086642599278,0.005415162454873646,0.032490974729241874,0.0010830324909747292,0.0018050541516245488,0.02527075812274368,0.01768953068592058,0.8989169675090253,0.012996389891696752,0.003971119133574007,0.020216606498194945,0.0036101083032490976,0.01227436823104693,1
