,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.25,0.75,0.125,0.5,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0
nad6,0.25,1,0.0,0.125,0.125,0.125,0.375,0.375,0.125,0.0,0.0,0.25,0.125,0.125,0.0
atp8,0.75,0.0,1,0.0,0.125,0.125,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0
cob,0.125,0.125,0.0,1,0.125,0.5,0.0,0.0,0.125,0.125,0.25,0.125,0.125,0.0,0.375
atp6,0.5,0.125,0.125,0.125,1,0.125,0.25,0.0,0.0,0.25,0.125,0.0,0.125,0.125,0.125
nad4L,0.0,0.125,0.125,0.5,0.125,1,0.0,0.0,0.125,0.25,0.0,0.125,0.0,0.5,0.125
rrnL,0.0,0.375,0.0,0.0,0.25,0.0,1,0.25,0.625,0.0,0.125,0.25,0.125,0.0,0.0
nad5,0.0,0.375,0.0,0.0,0.0,0.0,0.25,1,0.0,0.125,0.25,0.25,0.125,0.5,0.125
rrnS,0.0,0.125,0.0,0.125,0.0,0.125,0.625,0.0,1,0.0,0.25,0.125,0.25,0.25,0.125
nad3,0.125,0.0,0.5,0.125,0.25,0.25,0.0,0.125,0.0,1,0.0,0.125,0.125,0.0,0.375
cox3,0.0,0.0,0.25,0.25,0.125,0.0,0.125,0.25,0.25,0.0,1,0.375,0.125,0.125,0.125
nad1,0.125,0.25,0.0,0.125,0.0,0.125,0.25,0.25,0.125,0.125,0.375,1,0.125,0.0,0.125
cox2,0.0,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.25,0.125,0.125,0.125,1,0.25,0.5
nad4,0.125,0.125,0.0,0.0,0.125,0.5,0.0,0.5,0.25,0.0,0.125,0.0,0.25,1,0.0
nad2,0.0,0.0,0.0,0.375,0.125,0.125,0.0,0.125,0.125,0.375,0.125,0.125,0.5,0.0,1
