,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.001441701,0.001261489,0.000360425,0.000540638,0.000540638,0.000180213,0.000901063,0.000360425,0.000901063,0.001441701,0.000901063,0.994954046,0.001081276,0.995134258
nad6,0.001441701,1,0.000720851,0.992250856,0.001261489,0.000901063,0.001441701,0.844116057,0.147594161,0.000360425,0.000540638,0.000901063,0,0.005226167,0.001081276
atp8,0.001261489,0.000720851,1,0,0.995674896,0.000180213,0.000360425,0.000720851,0.000360425,0.000360425,0.000540638,0.000901063,0.99459362,0.001261489,0.000180213
cob,0.000360425,0.992250856,0,1,0.000901063,0.000901063,0.001261489,0.152099477,0.84429627,0.000540638,0.000540638,0.001261489,0.002342764,0.000720851,0.001441701
atp6,0.000540638,0.001261489,0.995674896,0.000901063,1,0.000901063,0.000720851,0.000360425,0,0.000360425,0.99459362,0.001081276,0.001081276,0.001621914,0.000540638
nad4L,0.000540638,0.000901063,0.000180213,0.000901063,0.000901063,1,0.000720851,0.000901063,0.000180213,0.99387277,0.002883402,0.001081276,0.000720851,0.995674896,0.000540638
rrnL,0.000180213,0.001441701,0.000360425,0.001261489,0.000720851,0.000720851,1,0.000180213,0.995855109,0.000540638,0.000720851,0.994954046,0.000360425,0.000540638,0.000360425
nad5,0.000901063,0.844116057,0.000720851,0.152099477,0.000360425,0.000901063,0.000180213,1,0.004865742,0.002162552,0.000360425,0.000720851,0.000901063,0.989007028,0.001621914
rrnS,0.000360425,0.147594161,0.000360425,0.84429627,0,0.000180213,0.995855109,0.004865742,1,0.000360425,0.000720851,0.001802127,0.000360425,0.001081276,0.001441701
nad3,0.000901063,0.000360425,0.000360425,0.000540638,0.000360425,0.99387277,0.000540638,0.002162552,0.000360425,1,0.995134258,0.000540638,0.001261489,0.002162552,0.000901063
cox3,0.001441701,0.000540638,0.000540638,0.000540638,0.99459362,0.002883402,0.000720851,0.000360425,0.000720851,0.995134258,1,0.000540638,0.000720851,0,0.000180213
nad1,0.000901063,0.000901063,0.000901063,0.001261489,0.001081276,0.001081276,0.994954046,0.000720851,0.001802127,0.000540638,0.000540638,1,0.000901063,0.000180213,0.994233195
cox2,0.994954046,0,0.99459362,0.002342764,0.001081276,0.000720851,0.000360425,0.000901063,0.000360425,0.001261489,0.000720851,0.000901063,1,0.000360425,0.001081276
nad4,0.001081276,0.005226167,0.001261489,0.000720851,0.001621914,0.995674896,0.000540638,0.989007028,0.001081276,0.002162552,0,0.000180213,0.000360425,1,0.000540638
nad2,0.995134258,0.001081276,0.000180213,0.001441701,0.000540638,0.000540638,0.000360425,0.001621914,0.001441701,0.000901063,0.000180213,0.994233195,0.001081276,0.000540638,1
