,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.028169014084507043,0.3615023474178404,0.046948356807511735,0.0,0.08450704225352113,0.460093896713615,0.004694835680751174,0.2535211267605634,0.004694835680751174,0.11737089201877934,0.0,0.30985915492957744,0.004694835680751174,0.0
nad6,0.028169014084507043,1,0.03286384976525822,0.39906103286384975,0.38028169014084506,0.0,0.0,0.009389671361502348,0.14084507042253522,0.38967136150234744,0.004694835680751174,0.009389671361502348,0.0,0.24413145539906103,0.352112676056338
atp8,0.3615023474178404,0.03286384976525822,1,0.004694835680751174,0.5868544600938967,0.1784037558685446,0.0,0.014084507042253521,0.0,0.215962441314554,0.0,0.0,0.38497652582159625,0.0,0.0
cob,0.046948356807511735,0.39906103286384975,0.004694835680751174,1,0.0,0.04225352112676056,0.14553990610328638,0.009389671361502348,0.018779342723004695,0.009389671361502348,0.09389671361502347,0.6384976525821596,0.014084507042253521,0.14084507042253522,0.352112676056338
atp6,0.0,0.38028169014084506,0.5868544600938967,0.0,1,0.0,0.014084507042253521,0.07981220657276995,0.07042253521126761,0.0,0.38967136150234744,0.014084507042253521,0.0,0.3427230046948357,0.0
nad4L,0.08450704225352113,0.0,0.1784037558685446,0.04225352112676056,0.0,1,0.03286384976525822,0.0,0.0,0.784037558685446,0.004694835680751174,0.14084507042253522,0.38967136150234744,0.018779342723004695,0.0
rrnL,0.460093896713615,0.0,0.0,0.14553990610328638,0.014084507042253521,0.03286384976525822,1,0.22065727699530516,0.023474178403755867,0.0,0.107981220657277,0.03755868544600939,0.046948356807511735,0.0,0.30985915492957744
nad5,0.004694835680751174,0.009389671361502348,0.014084507042253521,0.009389671361502348,0.07981220657276995,0.0,0.22065727699530516,1,0.14084507042253522,0.0,0.0,0.24882629107981222,0.009389671361502348,0.24882629107981222,0.38497652582159625
rrnS,0.2535211267605634,0.14084507042253522,0.0,0.018779342723004695,0.07042253521126761,0.0,0.023474178403755867,0.14084507042253522,1,0.009389671361502348,0.3474178403755869,0.24882629107981222,0.0892018779342723,0.38028169014084506,0.20657276995305165
nad3,0.004694835680751174,0.38967136150234744,0.215962441314554,0.009389671361502348,0.0,0.784037558685446,0.0,0.0,0.009389671361502348,1,0.0,0.20187793427230047,0.004694835680751174,0.0,0.056338028169014086
cox3,0.11737089201877934,0.004694835680751174,0.0,0.09389671361502347,0.38967136150234744,0.004694835680751174,0.107981220657277,0.0,0.3474178403755869,0.0,1,0.0,0.39436619718309857,0.2300469483568075,0.13615023474178403
nad1,0.0,0.009389671361502348,0.0,0.6384976525821596,0.014084507042253521,0.14084507042253522,0.03755868544600939,0.24882629107981222,0.24882629107981222,0.20187793427230047,0.0,1,0.0,0.14084507042253522,0.0
cox2,0.30985915492957744,0.0,0.38497652582159625,0.014084507042253521,0.0,0.38967136150234744,0.046948356807511735,0.009389671361502348,0.0892018779342723,0.004694835680751174,0.39436619718309857,0.0,1,0.17370892018779344,0.07511737089201878
nad4,0.004694835680751174,0.24413145539906103,0.0,0.14084507042253522,0.3427230046948357,0.018779342723004695,0.0,0.24882629107981222,0.38028169014084506,0.0,0.2300469483568075,0.14084507042253522,0.17370892018779344,1,0.0
nad2,0.0,0.352112676056338,0.0,0.352112676056338,0.0,0.0,0.30985915492957744,0.38497652582159625,0.20657276995305165,0.056338028169014086,0.13615023474178403,0.0,0.07511737089201878,0.0,1
