,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.0,0.0,0.1,0.0,0.975,0.5,0.0,0.0,0.0,0.0,0.4,0.025,0.0,0.0
nad6,0.0,1,0.0,0.7125,0.0,0.0,0.2125,1.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0
atp8,0.0,0.0,1,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9625,0.0,0.0
cob,0.1,0.7125,0.0,1,0.0,0.0,0.075,0.0,0.7875,0.0,0.0,0.0,0.0,0.0,0.325
atp6,0.0,0.0,0.9625,0.0,1,0.0125,0.0,0.0,0.0,0.0,0.9875,0.0,0.0375,0.0,0.0
nad4L,0.975,0.0,0.0,0.0,0.0125,1,0.0,0.0125,0.0,0.0,0.0125,0.0,0.975,0.0125,0.0
rrnL,0.5,0.2125,0.0,0.075,0.0,0.0,1,0.0,0.4625,0.0,0.0,0.0,0.0,0.0,0.675
nad5,0.0,1.0,0.0,0.0,0.0,0.0125,0.0,1,0.0,0.0,0.0,0.0,0.0,0.9875,0.0
rrnS,0.0,0.075,0.0,0.7875,0.0,0.0,0.4625,0.0,1,0.0,0.0,0.6,0.0,0.0,0.0
nad3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0
cox3,0.0,0.0,0.0,0.0,0.9875,0.0125,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0
nad1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1,0.0,0.0,1.0
cox2,0.025,0.0,0.9625,0.0,0.0375,0.975,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
nad4,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.9875,0.0,1.0,0.0,0.0,0.0,1,0.0
nad2,0.0,0.0,0.0,0.325,0.0,0.0,0.675,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
