,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.026476578411405296,0.026476578411405296,0.014256619144602852,0.028513238289205704,0.038696537678207736,0.20773930753564154,0.020366598778004074,0.034623217922606926,0.06517311608961303,0.17311608961303462,0.059063136456211814,0.6089613034623218,0.04276985743380855,0.6720977596741344
nad6,0.026476578411405296,1,0.02240325865580448,0.48879837067209775,0.016293279022403257,0.020366598778004074,0.21384928716904278,0.2729124236252546,0.06517311608961303,0.03665987780040733,0.05702647657841141,0.5784114052953157,0.026476578411405296,0.14663951120162932,0.028513238289205704
atp8,0.026476578411405296,0.02240325865580448,1,0.02240325865580448,0.7413441955193483,0.15682281059063136,0.028513238289205704,0.02240325865580448,0.03054989816700611,0.018329938900203666,0.010183299389002037,0.012219959266802444,0.5498981670061099,0.05091649694501019,0.018329938900203666
cob,0.014256619144602852,0.48879837067209775,0.02240325865580448,1,0.024439918533604887,0.5885947046843177,0.21384928716904278,0.164969450101833,0.018329938900203666,0.02240325865580448,0.07535641547861507,0.020366598778004074,0.31160896130346233,0.006109979633401222,0.024439918533604887
atp6,0.028513238289205704,0.016293279022403257,0.7413441955193483,0.024439918533604887,1,0.024439918533604887,0.06517311608961303,0.18126272912423624,0.4786150712830957,0.0814663951120163,0.19144602851323828,0.028513238289205704,0.020366598778004074,0.07535641547861507,0.05702647657841141
nad4L,0.038696537678207736,0.020366598778004074,0.15682281059063136,0.5885947046843177,0.024439918533604887,1,0.03665987780040733,0.04276985743380855,0.004073319755600814,0.059063136456211814,0.020366598778004074,0.2484725050916497,0.09164969450101833,0.604887983706721,0.048879837067209775
rrnL,0.20773930753564154,0.21384928716904278,0.028513238289205704,0.21384928716904278,0.06517311608961303,0.03665987780040733,1,0.02240325865580448,0.6211812627291242,0.03665987780040733,0.06924643584521385,0.46028513238289204,0.028513238289205704,0.028513238289205704,0.018329938900203666
nad5,0.020366598778004074,0.2729124236252546,0.02240325865580448,0.164969450101833,0.18126272912423624,0.04276985743380855,0.02240325865580448,1,0.020366598778004074,0.07128309572301425,0.27494908350305497,0.35234215885947046,0.05295315682281059,0.4786150712830957,0.018329938900203666
rrnS,0.034623217922606926,0.06517311608961303,0.03054989816700611,0.018329938900203666,0.4786150712830957,0.004073319755600814,0.6211812627291242,0.020366598778004074,1,0.2158859470468432,0.22606924643584522,0.03054989816700611,0.06720977596741344,0.02240325865580448,0.1670061099796334
nad3,0.06517311608961303,0.03665987780040733,0.018329938900203666,0.02240325865580448,0.0814663951120163,0.059063136456211814,0.03665987780040733,0.07128309572301425,0.2158859470468432,1,0.4419551934826884,0.06517311608961303,0.12423625254582485,0.22810590631364563,0.5010183299389002
cox3,0.17311608961303462,0.05702647657841141,0.010183299389002037,0.07535641547861507,0.19144602851323828,0.020366598778004074,0.06924643584521385,0.27494908350305497,0.22606924643584522,0.4419551934826884,1,0.014256619144602852,0.020366598778004074,0.1934826883910387,0.26476578411405294
nad1,0.059063136456211814,0.5784114052953157,0.012219959266802444,0.020366598778004074,0.028513238289205704,0.2484725050916497,0.46028513238289204,0.35234215885947046,0.03054989816700611,0.06517311608961303,0.014256619144602852,1,0.034623217922606926,0.04480651731160896,0.05091649694501019
cox2,0.6089613034623218,0.026476578411405296,0.5498981670061099,0.31160896130346233,0.020366598778004074,0.09164969450101833,0.028513238289205704,0.05295315682281059,0.06720977596741344,0.12423625254582485,0.020366598778004074,0.034623217922606926,1,0.014256619144602852,0.04480651731160896
nad4,0.04276985743380855,0.14663951120162932,0.05091649694501019,0.006109979633401222,0.07535641547861507,0.604887983706721,0.028513238289205704,0.4786150712830957,0.02240325865580448,0.22810590631364563,0.1934826883910387,0.04480651731160896,0.014256619144602852,1,0.06313645621181263
nad2,0.6720977596741344,0.028513238289205704,0.018329938900203666,0.024439918533604887,0.05702647657841141,0.048879837067209775,0.018329938900203666,0.018329938900203666,0.1670061099796334,0.5010183299389002,0.26476578411405294,0.05091649694501019,0.04480651731160896,0.06313645621181263,1
