,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.10857142857142857,0.0,0.017142857142857144,0.022857142857142857,0.045714285714285714,0.017142857142857144,0.045714285714285714,0.09714285714285714,0.09714285714285714,0.017142857142857144,0.08,0.7257142857142858,0.6971428571428572,0.011428571428571429
nad6,0.10857142857142857,1,0.0,0.2,0.02857142857142857,0.8057142857142857,0.045714285714285714,0.6857142857142857,0.0,0.0,0.06857142857142857,0.02857142857142857,0.005714285714285714,0.017142857142857144,0.017142857142857144
atp8,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06857142857142857,0.06857142857142857,0.0,0.0,0.0,0.0
cob,0.017142857142857144,0.2,0.0,1,0.011428571428571429,0.017142857142857144,0.011428571428571429,0.011428571428571429,0.12,0.06285714285714286,0.8057142857142857,0.022857142857142857,0.017142857142857144,0.05142857142857143,0.6514285714285715
atp6,0.022857142857142857,0.02857142857142857,0.0,0.011428571428571429,1,0.005714285714285714,0.06857142857142857,0.06857142857142857,0.022857142857142857,0.005714285714285714,0.08,0.8114285714285714,0.10857142857142857,0.08,0.6742857142857143
nad4L,0.045714285714285714,0.8057142857142857,0.0,0.017142857142857144,0.005714285714285714,1,0.017142857142857144,0.011428571428571429,0.7314285714285714,0.05714285714285714,0.10285714285714286,0.0,0.05142857142857143,0.10857142857142857,0.011428571428571429
rrnL,0.017142857142857144,0.045714285714285714,0.0,0.011428571428571429,0.06857142857142857,0.017142857142857144,1,0.02857142857142857,0.08,0.8228571428571428,0.017142857142857144,0.005714285714285714,0.84,0.0,0.04
nad5,0.045714285714285714,0.6857142857142857,0.0,0.011428571428571429,0.06857142857142857,0.011428571428571429,0.02857142857142857,1,0.005714285714285714,0.7942857142857143,0.011428571428571429,0.005714285714285714,0.03428571428571429,0.09142857142857143,0.19428571428571428
rrnS,0.09714285714285714,0.0,0.0,0.12,0.022857142857142857,0.7314285714285714,0.08,0.005714285714285714,1,0.017142857142857144,0.022857142857142857,0.7714285714285715,0.03428571428571429,0.03428571428571429,0.05142857142857143
nad3,0.09714285714285714,0.0,0.06857142857142857,0.06285714285714286,0.005714285714285714,0.05714285714285714,0.8228571428571428,0.7942857142857143,0.017142857142857144,1,0.0,0.017142857142857144,0.02857142857142857,0.011428571428571429,0.02857142857142857
cox3,0.017142857142857144,0.06857142857142857,0.06857142857142857,0.8057142857142857,0.08,0.10285714285714286,0.017142857142857144,0.011428571428571429,0.022857142857142857,0.0,1,0.022857142857142857,0.017142857142857144,0.72,0.045714285714285714
nad1,0.08,0.02857142857142857,0.0,0.022857142857142857,0.8114285714285714,0.0,0.005714285714285714,0.005714285714285714,0.7714285714285715,0.017142857142857144,0.022857142857142857,1,0.07428571428571429,0.04,0.11428571428571428
cox2,0.7257142857142858,0.005714285714285714,0.0,0.017142857142857144,0.10857142857142857,0.05142857142857143,0.84,0.03428571428571429,0.03428571428571429,0.02857142857142857,0.017142857142857144,0.07428571428571429,1,0.045714285714285714,0.017142857142857144
nad4,0.6971428571428572,0.017142857142857144,0.0,0.05142857142857143,0.08,0.10857142857142857,0.0,0.09142857142857143,0.03428571428571429,0.011428571428571429,0.72,0.04,0.045714285714285714,1,0.12
nad2,0.011428571428571429,0.017142857142857144,0.0,0.6514285714285715,0.6742857142857143,0.011428571428571429,0.04,0.19428571428571428,0.05142857142857143,0.02857142857142857,0.045714285714285714,0.11428571428571428,0.017142857142857144,0.12,1
