,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.028169014084507043,0.007042253521126761,0.007042253521126761,0.0,0.0,0.9577464788732394,0.0,0.014084507042253521,0.8943661971830986,0.0,0.028169014084507043,0.02112676056338028,0.028169014084507043,0.014084507042253521
nad6,0.028169014084507043,1,0.0,0.007042253521126761,0.028169014084507043,0.0,0.028169014084507043,0.9507042253521126,0.0,0.0,0.035211267605633804,0.007042253521126761,0.9154929577464789,0.0,0.0
atp8,0.007042253521126761,0.0,1,0.007042253521126761,0.0,0.0,0.0,0.007042253521126761,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0
cob,0.007042253521126761,0.007042253521126761,0.007042253521126761,1,0.014084507042253521,0.9577464788732394,0.035211267605633804,0.02112676056338028,0.007042253521126761,0.0,0.9084507042253521,0.014084507042253521,0.0,0.02112676056338028,0.0
atp6,0.0,0.028169014084507043,0.0,0.014084507042253521,1,0.0,0.0,0.007042253521126761,0.0,0.007042253521126761,0.028169014084507043,0.04929577464788732,0.0,0.9084507042253521,0.9577464788732394
nad4L,0.0,0.0,0.0,0.9577464788732394,0.0,1,0.0,0.0,0.014084507042253521,0.0,0.0,0.014084507042253521,0.007042253521126761,0.9859154929577465,0.007042253521126761
rrnL,0.9577464788732394,0.028169014084507043,0.0,0.035211267605633804,0.0,0.0,1,0.0,0.9507042253521126,0.007042253521126761,0.0,0.014084507042253521,0.007042253521126761,0.0,0.0
nad5,0.0,0.9507042253521126,0.007042253521126761,0.02112676056338028,0.007042253521126761,0.0,0.0,1,0.007042253521126761,0.02112676056338028,0.9507042253521126,0.0,0.0,0.0,0.035211267605633804
rrnS,0.014084507042253521,0.0,0.0,0.007042253521126761,0.0,0.014084507042253521,0.9507042253521126,0.007042253521126761,1,0.007042253521126761,0.0,0.0,0.9507042253521126,0.014084507042253521,0.028169014084507043
nad3,0.8943661971830986,0.0,0.007042253521126761,0.0,0.007042253521126761,0.0,0.007042253521126761,0.02112676056338028,0.007042253521126761,1,0.035211267605633804,0.9295774647887324,0.028169014084507043,0.028169014084507043,0.04225352112676056
cox3,0.0,0.035211267605633804,0.0,0.9084507042253521,0.028169014084507043,0.0,0.0,0.9507042253521126,0.0,0.035211267605633804,1,0.007042253521126761,0.02112676056338028,0.0,0.014084507042253521
nad1,0.028169014084507043,0.007042253521126761,0.0,0.014084507042253521,0.04929577464788732,0.014084507042253521,0.014084507042253521,0.0,0.0,0.9295774647887324,0.007042253521126761,1,0.035211267605633804,0.007042253521126761,0.8943661971830986
cox2,0.02112676056338028,0.9154929577464789,0.0,0.0,0.0,0.007042253521126761,0.007042253521126761,0.0,0.9507042253521126,0.028169014084507043,0.02112676056338028,0.035211267605633804,1,0.007042253521126761,0.007042253521126761
nad4,0.028169014084507043,0.0,0.0,0.02112676056338028,0.9084507042253521,0.9859154929577465,0.0,0.0,0.014084507042253521,0.028169014084507043,0.0,0.007042253521126761,0.007042253521126761,1,0.0
nad2,0.014084507042253521,0.0,0.0,0.0,0.9577464788732394,0.007042253521126761,0.0,0.035211267605633804,0.028169014084507043,0.04225352112676056,0.014084507042253521,0.8943661971830986,0.007042253521126761,0.0,1
