,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5
nad6,0.25,1,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atp8,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cob,0.0,0.0,0.0,1,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0
atp6,0.0,0.5,0.0,0.0,1,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
nad4L,0.0,0.25,0.0,0.5,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
rrnL,0.5,0.5,0.0,0.25,0.25,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nad5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0,0.25,0.75,0.0
rrnS,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,1,0.0,0.0,0.0,0.5,0.0,0.25
nad3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.75,0.0,0.0,0.0,0.5
cox3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1,0.0,0.75,0.0,0.0
nad1,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.25
cox2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.0,1,0.0,0.0
nad4,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1,0.0
nad2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,1
