,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.0625,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.0625,0.0,0.0,0.8125,0.0,0.875
nad6,0.0625,1,0.0,0.0,0.0,0.0625,0.875,0.0,0.0,0.0,0.0625,0.75,0.0,0.125,0.0625
atp8,0.0,0.0,1,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0
cob,0.0,0.0,0.0,1,0.0,0.0,0.0,0.75,0.75,0.0,0.125,0.125,0.0,0.125,0.125
atp6,0.0,0.0,0.8125,0.0,1,0.0,0.125,0.0,0.0625,0.0625,0.8125,0.0625,0.0,0.0625,0.0
nad4L,0.125,0.0625,0.0,0.0,0.0,1,0.0,0.0625,0.0,0.8125,0.0,0.0625,0.0,0.75,0.0
rrnL,0.0,0.875,0.0,0.0,0.125,0.0,1,0.0625,0.875,0.0,0.0,0.0625,0.0,0.0,0.0
nad5,0.0,0.0,0.0,0.75,0.0,0.0625,0.0625,1,0.125,0.125,0.0625,0.0,0.0,0.75,0.0625
rrnS,0.0625,0.0,0.0,0.75,0.0625,0.0,0.875,0.125,1,0.0,0.0625,0.0625,0.0,0.0,0.0
nad3,0.0625,0.0,0.0,0.0,0.0625,0.8125,0.0,0.125,0.0,1,0.75,0.0,0.125,0.0625,0.0
cox3,0.0,0.0625,0.0,0.125,0.8125,0.0,0.0,0.0625,0.0625,0.75,1,0.0,0.125,0.0,0.0
nad1,0.0,0.75,0.0,0.125,0.0625,0.0625,0.0625,0.0,0.0625,0.0,0.0,1,0.0625,0.0,0.8125
cox2,0.8125,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0625,1,0.0625,0.0
nad4,0.0,0.125,0.0,0.125,0.0625,0.75,0.0,0.75,0.0,0.0625,0.0,0.0,0.0625,1,0.0625
nad2,0.875,0.0625,0.0,0.125,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.8125,0.0,0.0625,1
