sample,org,dataset,gpair,phylum,class,junc_tpm
DRR083619_0_AG,Aphis_gossypii,AGos_pair,13,Arthropoda,Insecta,9.096272809465045
DRR083620_1_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,8.53288033021554
DRR083621_2_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,8.710629239284723
DRR083622_3_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,8.274006760357647
DRR083623_4_AG,Aphis_gossypii,AGos_pair,13,Arthropoda,Insecta,8.831640107675863
DRR083624_5_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,8.58781257481551
DRR083625_6_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,8.51027375718758
DRR083626_7_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,7.349862058894702
DRR083627_8_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,8.302751927334649
DRR083628_9_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,8.022010539920158
DRR083629_10_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,8.408275546565422
DRR083631_12_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,7.901244387577921
DRR083632_13_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,7.988424241800545
DRR083633_14_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,7.804886715277711
DRR083634_15_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,8.179491174515283
DRR083635_16_AG,Aphis_gossypii,AGos_pair,13,Arthropoda,Insecta,8.42387948523435
DRR083636_17_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,Insecta,7.68991713374277
DRR124529_1_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,Insecta,12.527604421078205
DRR124530_2_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,Insecta,12.451534820588616
DRR124531_3_SG,Schistocerca_gregaria,SG_random,12,Arthropoda,Insecta,12.564850372154114
DRR124532_4_SG,Schistocerca_gregaria,SG_random,12,Arthropoda,Insecta,12.624261546486727
DRR124533_5_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,Insecta,12.399098011123337
DRR124534_6_SG,Schistocerca_gregaria,SG_random,12,Arthropoda,Insecta,12.587964881653058
DRR124535_7_SG,Schistocerca_gregaria,SG_random,12,Arthropoda,Insecta,12.541483523429449
DRR124536_8_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,Insecta,12.328311683303115
DRR124537_9_SG,Schistocerca_gregaria,SG_random,12,Arthropoda,Insecta,12.699917032763414
DRR124538_10_SG,Schistocerca_gregaria,SG_random,9,Arthropoda,Insecta,11.92144444057285
DRR124539_11_SG,Schistocerca_gregaria,SG_random,9,Arthropoda,Insecta,12.07224480916737
DRR124540_12_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,Insecta,12.466289384874484
DRR124541_13_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,Insecta,12.459473480755985
DRR124542_14_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,Insecta,12.337323437126965
DRR124543_15_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,Insecta,12.07337158118095
DRR124544_16_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,Insecta,12.332603710247644
SRR10119796_0_SP,Scylla_paramamosain,SP_crus_transc,11,Arthropoda,Malacostraca,12.473676015325628
SRR10119797_1_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,Malacostraca,11.824799520224417
SRR10119798_2_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,Malacostraca,11.677744097185943
SRR10119799_3_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,Malacostraca,11.54493128930496
SRR10119800_4_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,Malacostraca,11.630120061986304
SRR10119801_5_SP,Scylla_paramamosain,SP_crus_transc,9,Arthropoda,Malacostraca,11.332321130504836
SRR10119802_6_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,Malacostraca,11.208906599925369
SRR10119803_7_SP,Scylla_paramamosain,SP_crus_transc,10,Arthropoda,Malacostraca,11.343326125152135
SRR10119804_8_SP,Scylla_paramamosain,SP_crus_transc,12,Arthropoda,Malacostraca,11.325627494287025
SRR1015410_0_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,Insecta,9.985997534527048
SRR1015411_1_AG,Aphis_glycines,AG_gexpr,13,Arthropoda,Insecta,10.396551421957746
SRR1015412_2_AG,Aphis_glycines,AG_gexpr,12,Arthropoda,Insecta,10.472081818468125
SRR1015414_4_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,Insecta,11.609897906439283
SRR1015415_5_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,Insecta,11.381800330946637
SRR1015416_6_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,Insecta,11.554336156459152
SRR1015418_8_AG,Aphis_glycines,AG_gexpr,12,Arthropoda,Insecta,10.893709031208084
SRR1015419_9_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,Insecta,9.350963282924953
SRR1015420_10_AG,Aphis_glycines,AG_gexpr,12,Arthropoda,Insecta,10.111871953414537
SRR1015422_12_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,Insecta,11.098901668908066
SRR1015423_13_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,Insecta,9.591391751688338
SRR1015424_14_AG,Aphis_glycines,AG_gexpr,13,Arthropoda,Insecta,10.017616687389749
SRR1015425_15_AG,Aphis_glycines,AG_gexpr,12,Arthropoda,Insecta,10.039345380828946
SRR1015426_16_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,Insecta,11.522427319239753
SRR1015427_17_AG,Aphis_glycines,AG_gexpr,13,Arthropoda,Insecta,11.5695638067734
SRR1015429_19_AG,Aphis_glycines,AG_gexpr,14,Arthropoda,Insecta,11.391490550025404
