sample,org,dataset,gpair,phylum,left_tpm_raw,junc_tpm_raw
DRR083619_0_AG,Aphis_gossypii,AGos_pair,13,Arthropoda,486.98639861531103,488.10202742876186
DRR083620_1_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,575.4230023263719,240.33205826118314
DRR083621_2_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,517.7524792649283,222.6440559543892
DRR083622_3_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,531.1534388938674,184.08622721289032
DRR083623_4_AG,Aphis_gossypii,AGos_pair,13,Arthropoda,702.1788100949495,431.70871308066864
DRR083624_5_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,492.95922825952755,279.6896916133899
DRR083625_6_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,394.8607218860732,310.445305374462
DRR083626_7_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,215.24916567663223,65.38113850215221
DRR083627_8_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,290.40015073603774,162.26251617125916
DRR083628_9_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,374.1856600311953,156.38227416498938
DRR083629_10_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,412.1598707822276,207.77050865080747
DRR083631_12_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,274.55254485154467,105.81752550810154
DRR083632_13_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,252.69022686865532,124.77518082863415
DRR083633_14_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,227.4775023097299,101.93137926846616
DRR083634_15_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,263.38241466741374,109.08263507492757
DRR083635_16_AG,Aphis_gossypii,AGos_pair,13,Arthropoda,400.75412571348886,148.54472911365832
DRR083636_17_AG,Aphis_gossypii,AGos_pair,14,Arthropoda,277.46440497331713,83.32169919223665
DRR124529_1_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,56280.384920622775,3849.0202132386516
DRR124530_2_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,52551.322303243796,3934.4084319395333
DRR124531_3_SG,Schistocerca_gregaria,SG_random,12,Arthropoda,28733.207430789276,3942.675438523076
DRR124532_4_SG,Schistocerca_gregaria,SG_random,12,Arthropoda,30611.658347287568,4055.170940962398
DRR124533_5_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,47609.72867097018,3638.907161374128
DRR124534_6_SG,Schistocerca_gregaria,SG_random,12,Arthropoda,29406.852746443197,3582.0334073696295
DRR124535_7_SG,Schistocerca_gregaria,SG_random,12,Arthropoda,28142.331014081705,3381.2828658199487
DRR124536_8_SG,Schistocerca_gregaria,SG_random,10,Arthropoda,53989.07519244062,3215.2020016888187
DRR124537_9_SG,Schistocerca_gregaria,SG_random,12,Arthropoda,28054.759764812632,3825.636876215844
DRR124538_10_SG,Schistocerca_gregaria,SG_random,9,Arthropoda,70502.84628942166,3146.0175492866274
DRR124539_11_SG,Schistocerca_gregaria,SG_random,9,Arthropoda,66232.20205729955,3828.868173635455
