,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Reticulitermes_lucifugus,0.37981250510752596,31685.893428980795,135164.29187500456,15768.928980092827,67266.40433853287,COX1,ND2,True,True,95.7,False,NC_045240.1,gene,224.0,652111.3,1265,1563,299,301.93568772985077,115.83065848517731,1869.0033444816054,717.0,-0.875402336908598,-1.3303706850129782,0.0,0.0,popphyl,gene-RL_0gene-RL_1,1693,192,28876.976183786956,2848.984553919764
1,COX1_COX2,Reticulitermes_lucifugus,0.6144505531825503,135164.29187500456,59941.40021771923,67266.40433853287,29830.67796775516,COX2,COX1,True,True,97.9,False,NC_045240.1,gene,83.0,1124753.35,3034,3332,299,671.6344421482635,816.4688256402875,4157.4648829431435,5054.0,0.028395009550303628,0.3824695903046461,0.0,0.0,popphyl,gene-RL_2,736,178,6770.547692221279,667.9780346096446
2,COX2_ATP8,Reticulitermes_lucifugus,0.6409296737793376,59941.40021771923,28268.016265393624,29830.67796775516,14067.974504054851,ATP8,COX2,True,True,97.7,False,NC_045240.1,gene,139.0,889270.53,3801,4093,293,452.37258668505234,65.26581035984886,2800.2184300341296,404.0,-0.5076313653804199,-1.4539858582143654,0.0,0.0,popphyl,gene-RL_3gene-RL_4,380,192,6481.542203094532,639.4649323623806
3,ATP8_ATP6,Reticulitermes_lucifugus,0.7658248627371226,28268.016265393624,45555.693673616064,14067.974504054851,22671.42947344132,ATP6,ATP8,True,True,99.5,False,NC_045240.1,gene,1.0,1110394.77,4094,4392,299,1071.2516457112354,1077.0474199730504,6631.123745819398,6667.0,1.0053335679387847,1.0195024157801655,0.0,0.0,popphyl,gene-RL_5,8782,96,149791.85165151628,14778.371147385333
4,ATP6_COX3,Reticulitermes_lucifugus,0.5913700065939012,45555.693673616064,108512.63297690867,22671.42947344132,54002.83273346829,COX3,ATP6,True,True,97.8,False,NC_045240.1,gene,1.0,1598573.6,4771,5069,299,1055.5505922901198,1135.3666218044996,6533.933110367893,7028.0,0.9669494234183673,1.162074548450136,0.0,0.0,popphyl,gene-RL_6,503,96,8579.515074096184,846.4496341533617
5,COX3_ND3,Reticulitermes_lucifugus,0.33516085886291047,108512.63297690867,21845.466247974105,54002.83273346829,10871.702468274036,ND3,COX3,True,True,96.7,False,NC_045240.1,gene,72.0,1222922.14,5561,5859,299,477.864748628574,586.5845480609189,2958.016722408027,3631.0,-0.44531103553159435,-0.17952527060773102,0.0,0.0,popphyl,gene-RL_7,662,167,6490.938702979258,640.3919852110622
6,ND3_ND5,Reticulitermes_lucifugus,0.9892095477123994,21845.466247974105,22322.05376533941,10871.702468274036,11108.882926226928,ND5,ND3,True,False,92.2,True,NC_045240.1,gene,403.0,640125.6,5987,6285,299,84.10869535852194,76.41269381239731,520.6387959866221,473.0,-1.4079209222147218,-1.4267352289782769,0.0,0.0,popphyl,gene-RL_8gene-RL_9,1435,192,24476.350161685932,2414.8215208947795
7,ND5_ND4,Reticulitermes_lucifugus,0.7957711299594352,22322.05376533941,14750.722549328226,11108.882926226928,7340.903825443829,ND4,ND5,False,False,97.0,False,NC_045240.1,gene,82.0,512562.46,8115,8413,299,381.52911455980177,406.7804715002461,2361.6923076923076,2518.0,-0.6808214055293556,-0.6190897682855073,0.0,0.0,popphyl,gene-RL_10,1585,177,14662.971478187097,1446.6396685735924
8,ND4_ND4L,Reticulitermes_lucifugus,0.6569884808099592,14750.722549328226,7215.913385744417,7340.903825443829,3591.100435950843,ND4L,ND4,False,False,98.4,False,NC_045240.1,gene,1.0,589637.1299999999,9530,9818,289,276.95597718180585,279.479831491432,1714.3771626297578,1730.0,-0.9364698840366662,-0.9302998528947504,0.0,0.0,popphyl,gene-RL_11,1674,96,28552.89907363223,2817.011307301645
9,ND4L_ND6,Reticulitermes_lucifugus,0.36339093993878,7215.913385744417,32498.414037829058,3591.100435950843,16173.291249520626,ND6,ND4L,False,True,95.6,True,NC_045240.1,gene,140.0,481165.73,9819,10117,299,456.95792611893495,157.0256625489433,2828.6020066889632,972.0,-0.49642165054252047,-1.2296618378361293,0.0,0.0,popphyl,gene-RL_12gene-RL_13,304,192,5185.233762475626,511.5719458899045
10,ND6_CYTB,Reticulitermes_lucifugus,0.6850540952407373,32498.414037829058,62379.97370878728,16173.291249520626,31044.268245068222,CYTB,ND6,True,True,96.0,False,NC_045240.1,gene,1.0,1001927.8099999999,10449,10747,299,979.0844089977256,1081.4092439327433,6060.602006688963,6694.0,0.7800136203420907,1.0301657054812436,0.0,0.0,popphyl,gene-RL_14,805,96,13730.63545655552,1354.6559751360953
11,CYTB_ND1,Reticulitermes_lucifugus,0.4614327088900735,62379.97370878728,18708.41815971033,31044.268245068222,9310.506517721396,ND1,CYTB,True,False,93.4,True,NC_045240.1,gene,92.0,1055815.2,11580,11878,299,324.6103645682543,354.1154859128433,2009.361204013378,2192.0,-0.8199698732785792,-0.7478391180096359,0.0,0.0,popphyl,gene-RL_15,547,187,4789.737463677176,472.55252643137254
