,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Parhyale_hawaiensis,0.1029806200492952,8181.34131787777,150709.551239605,8361.495728881318,154028.19904822906,COX1,ND2,True,True,95.7,False,NC_039402.1,gene,125.0,80484.39000000001,2067,2365,299,1475.4322942954605,1818.9360974677395,3033.705685618729,3740.0,0.15501507468209877,0.4275653714887628,0.0,0.0,PH_transc,gene-PH_0,297,268,5257.166228466272,538.9736021908358
1,COX1_COX2,Parhyale_hawaiensis,0.6634720568866803,150709.551239605,74814.4297832547,154028.19904822906,76461.85518802499,COX2,COX1,True,True,97.9,False,NC_039402.1,gene,61.0,941654.05,3728,4026,299,555.8144045155029,528.6586999859446,1142.836120401338,1087.0,-0.5746482550788834,-0.5961947278141889,0.0,0.0,PH_transc,gene-PH_1,2806,204,65251.05732383418,6689.649115935929
2,COX2_ATP8,Parhyale_hawaiensis,0.08200880486546802,74814.4297832547,3198.889540671656,76461.85518802499,3269.329586951819,ATP8,COX2,True,True,97.7,False,NC_039402.1,gene,246.0,457546.70999999996,4467,4765,299,220.21088627284766,186.27072869789956,452.7859531772575,383.0,-0.8409301351095441,-0.8678596768942034,0.0,0.0,PH_transc,gene-PH_2gene-PH_3,492,288,16208.120796404994,1661.6840462606351
3,ATP8_ATP6,Parhyale_hawaiensis,0.47001750611843196,3198.889540671656,10412.899377954796,3269.329586951819,10642.193045262795,ATP6,ATP8,True,True,99.5,False,NC_039402.1,gene,1.0,251779.56000000003,4870,5168,299,731.3139397186594,706.661537331718,1503.6889632107022,1453.0,-0.43539957728458756,-0.4549598253095225,0.0,0.0,PH_transc,gene-PH_4,1250,144,41179.16869005334,4221.758247613403
4,ATP6_COX3,Parhyale_hawaiensis,0.13100687296116098,10412.899377954796,148554.32337289842,10642.193045262795,151825.51272797326,COX3,ATP6,True,True,97.8,False,NC_039402.1,gene,1.0,555021.6900000001,5538,5836,299,2927.014088709707,3510.4493988027116,6018.371237458194,7218.0,1.3067608348544584,1.7696828329948562,0.0,0.0,PH_transc,gene-PH_5,282,144,9290.020456476032,952.4286606615838
5,COX3_ND3,Parhyale_hawaiensis,0.2138207626989772,148554.32337289842,17783.209020960363,151825.51272797326,18174.798055379862,ND3,COX3,True,True,96.7,False,NC_039402.1,gene,1.0,933249.73,6323,6621,299,1586.4591933537777,1550.4728017987038,3261.9933110367892,3188.0,0.2431084640781137,0.2145553545964788,0.0,0.0,PH_transc,gene-PH_6,691,144,22763.844451861485,2333.787959280689
6,ND3_ND5,Parhyale_hawaiensis,0.626370856427074,17783.209020960363,8109.091101188656,18174.798055379862,8287.654551159441,ND5,ND3,True,False,92.2,True,NC_039402.1,gene,227.0,528298.11,6676,6974,299,198.27324105031676,173.62571839464786,407.67892976588627,357.0,-0.8583363811581247,-0.8778927573999994,0.0,0.0,PH_transc,gene-PH_7gene-PH_8,134,288,4414.406883573717,452.5724841441568
7,ND5_ND4,Parhyale_hawaiensis,0.7331712232068541,8109.091101188656,14011.50186403957,8287.654551159441,14320.037318986946,ND4,ND5,False,False,97.0,False,NC_039402.1,gene,76.0,179363.16999999998,8601,8899,299,341.1127348489212,355.5193281414218,701.3779264214047,731.0,-0.7450015473921137,-0.7335707532012418,0.0,0.0,PH_transc,gene-PH_9,37,219,801.4707243127092,82.16813860560441
8,ND4_ND4L,Parhyale_hawaiensis,0.30907582277879675,14011.50186403957,2561.0944153104692,14320.037318986946,2617.490113520309,ND4L,ND4,False,False,98.4,False,NC_039402.1,gene,2.0,204478.40000000002,9974,10263,290,369.35337190687596,376.4322297967996,759.4448275862069,774.0,-0.7225942437725524,-0.7169775815955022,0.0,0.0,PH_transc,gene-PH_10,481,145,15736.463118057129,1613.3289007596952
9,ND4L_ND6,Parhyale_hawaiensis,0.9665882841413119,2561.0944153104692,2395.4865407751518,2617.490113520309,2448.2355277752717,ND6,ND4L,False,True,95.6,True,NC_039402.1,gene,471.0,210432.15,10264,10562,299,174.7740818206952,174.598411494898,359.3612040133779,359.0,-0.8769815977862728,-0.8771209819764766,0.0,0.0,PH_transc,gene-PH_11gene-PH_12,37,288,1218.9033932255788,124.96404412935672
