,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Zootermopsis_nevadensis,0.24742823360851596,15359.256019971319,108791.94367111103,16820.43784225358,119141.71649189635,COX1,ND2,True,True,95.7,False,NC_024658.1,gene,187.0,91942.01,1228,1526,299,1030.1037967837794,821.6690310092662,3506.521739130435,2797,0.05730271937627401,-0.1666981126123296,0,0,ZN_transc,gene-ZN_0gene-ZN_1,3526,344,52185.63969523304,6022.243523664627
1,COX1_COX2,Zootermopsis_nevadensis,0.7415219940252064,108791.94367111103,184636.8272829516,119141.71649189635,202201.99941101018,COX2,COX1,True,True,97.9,False,NC_024658.1,gene,74.0,1231358.1099999999,2954,3252,299,1570.8874119363804,2298.7344181793023,5347.374581939799,7825,0.6384724645954253,1.4206756366670432,0,0,ZN_transc,gene-ZN_2,1225,245,12728.204803715376,1468.8398838206408
2,COX2_ATP8,Zootermopsis_nevadensis,0.004358152124332659,184636.8272829516,403.21632957827416,202201.99941101018,441.57576381526184,ATP8,COX2,True,True,97.7,False,NC_024658.1,gene,136.0,1179315.4699999997,3713,3999,287,103.59978478128117,76.37967395867331,352.6585365853659,260,-0.9383933141436569,-0.9676462434639144,0,0,ZN_transc,gene-ZN_3,428,287,3796.28686828584,438.0930106447625
3,ATP8_ATP6,Zootermopsis_nevadensis,0.005558924026006218,403.21632957827416,144666.70284611857,441.57576381526184,158429.37183304073,ATP6,ATP8,True,True,99.5,False,NC_024658.1,gene,1.0,280672.19,4000,4298,299,1992.302978363292,2194.4467864280373,6781.892976588629,7470,1.091359664779184,1.3085997255703492,0,0,ZN_transc,gene-ZN_4,1032,172,15273.84576445845,1762.607860584769
4,ATP6_COX3,Zootermopsis_nevadensis,0.5786513312308876,144666.70284611857,355346.67321710906,158429.37183304073,389152.09314358036,COX3,ATP6,True,True,97.8,False,NC_024658.1,gene,1.0,1532183.73,4682,4980,299,2108.397331776011,2227.936335779148,7177.083612040134,7584,1.216124032455547,1.34459029983802,0,0,ZN_transc,gene-ZN_5,11365,172,168204.70650491308,19410.889860025094
5,COX3_ND3,Zootermopsis_nevadensis,0.151217145034942,355346.67321710906,29064.80297415528,389152.09314358036,31829.84326769745,ND3,COX3,True,True,96.7,False,NC_024658.1,gene,71.0,1190459.58,5472,5770,299,1378.5185122356027,1877.7649074763071,4692.541806020067,6392,0.43173730973012614,0.9682678039865856,0,0,ZN_transc,gene-ZN_6,546,242,5743.470927957516,662.7988236083222
6,ND3_ND5,Zootermopsis_nevadensis,0.4167377315034544,29064.80297415528,7650.280246712487,31829.84326769745,8378.079198518888,ND5,ND3,True,False,92.2,True,NC_024658.1,,388.0,868353.88,5897,6195,299,58.88426806489806,58.4598273760615,200.44481605351172,199,-0.9864482195240154,-0.9869043577650364,0,0,ZN_transc,gene-ZN_7gene-ZN_8,1291,344,19107.10744371692,2204.967779084241
7,ND5_ND4,Zootermopsis_nevadensis,0.8621151829329229,7650.280246712487,5796.212986989762,8378.079198518888,6347.6277849235485,ND4,ND5,False,False,97.0,False,NC_024658.1,gene,65.0,305206.0,8014,8312,299,365.16538513694564,170.67919449995844,1243.0401337792641,581,-0.6572937965965153,-0.8663043632891574,0,0,ZN_transc,gene-ZN_9,658,236,7097.5921702073865,819.0649521643912
8,ND4_ND4L,Zootermopsis_nevadensis,0.039073605674801115,5796.212986989762,115.49589077704054,6347.6277849235485,126.48343444011074,ND4L,ND4,False,False,98.4,False,NC_024658.1,gene,1.0,147948.97,9409,9697,289,114.41703620958575,108.98791937949152,389.48096885813146,371,-0.926768222183752,-0.9326027895717088,0,0,ZN_transc,gene-ZN_10,38,172,562.4090494664933,64.90222742463297
9,ND4L_ND6,Zootermopsis_nevadensis,0.01551091949700778,115.49589077704054,14776.708378521153,126.48343444011074,16182.470327393292,ND6,ND4L,False,True,95.6,True,NC_024658.1,gene,135.0,116531.87,9698,9996,299,885.896142745212,227.08264603867104,3015.632107023411,773,-0.09767447151475549,-0.8056886592593961,0,0,ZN_transc,gene-ZN_11,17,306,141.42449781905972,16.320443153562678
10,ND6_CYTB,Zootermopsis_nevadensis,0.2166726688737337,14776.708378521153,121619.89812778722,16182.470327393292,133190.0408574267,CYTB,ND6,True,True,96.0,False,NC_024658.1,gene,1.0,1148594.3499999999,10320,10618,299,2063.5795390399826,2246.1499503385235,7024.521739130435,7646,1.1679592130049203,1.3641641209309636,0,0,ZN_transc,gene-ZN_12,1556,172,23029.17055183852,2657.575417703392
11,CYTB_ND1,Zootermopsis_nevadensis,0.010697546539672698,121619.89812778722,654.0154404922922,133190.0408574267,716.2343052534934,ND1,CYTB,True,False,93.4,True,NC_024658.1,gene,92.0,1285123.91,11453,11751,299,78.7229402616246,76.37967395867331,267.97658862876256,260,-0.9651279802582469,-0.9676462434639144,0,0,ZN_transc,gene-ZN_13,285,263,2758.5843110713927,318.3417238698727
