,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX3_ND2,Sepia_officinalis,0.30960107836307227,206882.46393531328,37891.075951916406,212071.04838170452,38841.3790544675,ND2,COX3,True,True,26.5,False,NC_007895.1,gene,268.0,796718.45,782,1080,299,273.317872130359,161.73657354440397,206.16722408026754,122.0,-1.1116077448125974,-1.151281272071246,0.0,0.0,popphyl,gene-SO_0gene-SO_1,1098,192,107148.97920762733,15162.803769787874
1,ND2_COX1,Sepia_officinalis,0.35547596423030114,37891.075951916406,175293.94787359337,38841.3790544675,179690.29657411843,COX1,ND2,True,True,67.2,False,NC_007895.1,gene,108.0,242132.33000000002,1951,2249,299,2474.306206830111,2972.2409662832274,1866.4013377926422,2242.0,-0.32903063019506695,-0.15198637186020816,0.0,0.0,popphyl,gene-SO_2gene-SO_3,757,192,73872.29258667931,10453.772726529523
2,COX1_COX2,Sepia_officinalis,0.9033463254251345,175293.94787359337,144394.85076477117,179690.29657411843,148016.25425429712,COX2,COX1,True,True,60.9,False,NC_007895.1,gene,2.0,845939.39,3592,3890,299,5438.295850031865,5903.384934370744,4102.177257525083,4453.0,0.7248370465045895,0.8902027905768696,0.0,0.0,popphyl,gene-SO_4,844,97,81513.14377893071,11535.040398130552
3,COX2_ATP8,Sepia_officinalis,0.0412719144217909,144394.85076477117,3042.5110905333595,148016.25425429712,3118.816860592489,ATP8,COX2,True,True,55.0,False,NC_007895.1,gene,57.0,843584.5800000001,4278,4490,213,765.9365124883183,738.4202579035492,577.755868544601,557.0,-0.9364536705722504,-0.9462372713203964,0.0,0.0,popphyl,gene-SO_5,694,152,42773.305476038746,6052.911024580261
4,ATP8_ATP6,Sepia_officinalis,0.04698732577618703,3042.5110905333595,126460.96842330981,3118.816860592489,129632.59254918025,ATP6,ATP8,True,True,74.1,False,NC_007895.1,gene,1.0,250803.30999999997,4491,4789,299,3908.772786748074,3841.9064764892023,2948.438127090301,2898.0,0.18100420253411958,0.15722940858245266,0.0,0.0,popphyl,gene-SO_6,18,96,1756.5406427479888,248.57055360307987
5,ATP6_ND1,Sepia_officinalis,0.6459583208647044,126460.96842330981,60329.39463858505,129632.59254918025,61842.447764150274,ND1,ATP6,True,False,2.9,True,NC_007895.1,gene,91.0,647226.3500000001,5185,5483,299,2181.1736313944757,2017.7300404474006,1645.28762541806,1522.0,-0.43325600997933594,-0.4913695455167871,0.0,0.0,popphyl,gene-SO_7,314,186,15815.161629329563,2238.025916311601
6,ND1_ND3,Sepia_officinalis,0.7828386605558579,60329.39463858505,38801.90814521272,61842.447764150274,39775.05479700192,ND3,ND1,False,True,6.5,True,NC_007895.1,,3458.0,359271.38,6215,6513,299,1339.5519785180777,831.2199312486991,1010.4414715719064,627.0,-0.7325005967515317,-0.9132416849926732,0.0,0.0,popphyl,gene-SO_8gene-SO_9,195,192,19029.190296436544,2692.8476640333656
7,ND3_ND5,Sepia_officinalis,0.9996562629359679,38801.90814521272,38828.59262562703,39775.05479700192,39802.40852060584,ND5,ND3,True,False,7.1,True,NC_007895.1,gene,103.0,484895.79,10025,10323,299,2686.4286135276097,1541.8002871487035,2026.408026755853,1163.0,-0.2536089942136567,-0.660589766826109,0.0,0.0,popphyl,gene-SO_10gene-SO_11,201,192,19614.70384401921,2775.7045152343917
8,ND5_ND4,Sepia_officinalis,0.8767108147939233,38828.59262562703,49749.28726457131,39802.40852060584,50996.992716304114,ND4,ND5,False,False,47.9,False,NC_007895.1,gene,65.0,377913.43000000005,11832,12130,299,2903.924799684945,2848.949971696099,2190.4682274247493,2149.0,-0.176276672583455,-0.1958233651241829,0.0,0.0,popphyl,gene-SO_12,100,160,5855.135475826629,828.5685120102663
9,ND4_ND4L,Sepia_officinalis,0.6927207283090013,49749.28726457131,26361.89776205174,50996.992716304114,27023.050622007555,ND4L,ND4,False,False,60.5,False,NC_007895.1,gene,1.0,694418.59,13254,13551,298,3452.0010416696605,3930.0661661670956,2603.8892617449665,2964.5,0.01859574781096287,0.18857521559378942,0.0,0.0,popphyl,gene-SO_13,994,96,97000.07771619447,13726.618348970078
10,ND4L_CYTB,Sepia_officinalis,0.654373067623438,26361.89776205174,54209.565418098005,27023.050622007555,55569.13404766498,CYTB,ND4L,False,False,58.9,False,NC_007895.1,gene,138.0,709324.78,13552,13850,299,2935.67975718604,2001.8215250168037,2214.4214046822744,1510.0,-0.16498597075454186,-0.4970259317443968,0.0,0.0,popphyl,gene-SO_14gene-SO_15,428,192,41766.63306089662,5910.455385673232
11,CYTB_ND6,Sepia_officinalis,0.7268006662822883,54209.565418098005,30945.31015006204,55569.13404766498,31721.4143779369,ND6,CYTB,False,False,48.9,False,NC_007895.1,gene,1.0,550324.59,14819,15117,299,1879.4837998883092,1906.370432433221,1417.7190635451504,1438.0,-0.5405239832472414,-0.5309642491100546,0.0,0.0,popphyl,gene-SO_16,42,96,4098.5948330786405,579.9979584071864
