,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,RNR1_RNR2,Homo_sapiens,0.17320243336008256,80182.5622192243,845700.0672993484,54901.61397868248,579057.3081173336,RNR2,RNR1,99.6,False,NC_012920.1,gene,70.0,414839.67000000004,1602,1900,299,3622.375162856064,5069.079781324653,5272.334448160535,7378,1.6669169092447507,2.5716819205311348,0.02169913499639198,0.5739348370927319,HS_lung_cancer,gene-HS_0,2288,269,58859.994163836105,5843.784817754584
1,RNR2_ND1,Homo_sapiens,0.0044605157212284086,845700.0672993484,1890.3451800133712,579057.3081173336,1294.3338113317916,ND1,RNR2,99.5,False,NC_012920.1,gene,78.0,1103032.28,3230,3528,299,136.4272000808728,137.41067447342513,198.5685618729097,200,-0.5131851707656663,-0.5125701086385963,0.01472691348111814,0.13829787234042554,HS_lung_cancer,gene-HS_1,2534,277,63305.77298888286,6285.174171762802
2,ND1_ND2,Homo_sapiens,0.7335449218420482,1890.3451800133712,1094.9090348662633,1294.3338113317916,749.6925953756447,ND2,ND1,99.4,False,NC_012920.1,gene,208.0,67759.4,4263,4561,299,56.43488570346691,50.15489618280017,82.14046822742475,73,-0.5632121398487611,-0.5671396276835331,0.007223833616284754,0.13402061855670105,HS_lung_cancer,gene-HS_2gene-HS_3,48,400,1660.8396954620891,164.8928093681101
3,ND2_COX1,Homo_sapiens,0.1519498722999979,1094.9090348662633,13316.541508567696,749.6925953756447,9117.937880752823,COX1,ND2,99.5,False,NC_012920.1,gene,393.0,36357.39,5512,5810,299,602.7043583442075,718.6578274960133,877.2307692307693,1046,-0.22157674360430013,-0.14905976917389965,0.015276381087042002,0.4782608695652174,HS_lung_cancer,gene-HS_4gene-HS_5,323,400,11176.067117380306,1109.5911963729077
4,COX1_COX2,Homo_sapiens,0.7700324798658309,13316.541508567696,8336.943303966349,9117.937880752823,5708.3688818163355,COX2,COX1,99.5,False,NC_012920.1,gene,141.0,374851.52,7446,7744,299,209.30770781120094,136.03656772869087,304.6454849498328,198,-0.4676059056154741,-0.513429471143241,0.009742180764639976,0.2869379014989293,HS_lung_cancer,gene-HS_6,295,340,6004.261153937698,596.1198377891236
5,COX2_ATP8,Homo_sapiens,0.11093687899700111,8336.943303966349,489.5942651328196,5708.3688818163355,335.22894014048165,ATP8,COX2,99.5,False,NC_012920.1,gene,95.0,196573.17,8272,8526,255,164.37819292057245,117.48612667477848,239.25098039215686,171,-0.4957046982288149,-0.5250308649559441,0.009096190749704983,0.6255813953488372,HS_lung_cancer,gene-HS_7,1309,255,35523.515708494684,3526.8739781512445
6,ATP8_ATP6,Homo_sapiens,0.3910788912579958,489.5942651328196,2014.219037384871,335.22894014048165,1379.1511894652872,ATP6,ATP8,99.6,False,NC_012920.1,gene,1.0,50152.340000000004,8527,8825,299,204.78326603798737,212.98654543380889,298.0602006688963,310,-0.47043547881220543,-0.4653051708831393,0.010114898050056666,0.11038961038961037,HS_lung_cancer,gene-HS_8,157,200,5432.3298372405825,539.3368973081933
7,ATP6_COX3,Homo_sapiens,0.1709512357471915,2014.219037384871,21550.61836880466,1379.1511894652872,14755.873321323545,COX3,ATP6,99.5,False,NC_012920.1,gene,1.0,98552.4,9207,9505,299,956.3323375877234,959.8135611968744,1391.933110367893,1397,-0.0004187970912623251,0.0017583503912404976,0.016447516570575912,0.34914463452566097,HS_lung_cancer,gene-HS_9,78,200,2698.8645051258945,267.9508152231789
8,COX3_ND3,Homo_sapiens,0.12277290762710069,21550.61836880466,1409.436337803809,14755.873321323545,965.0518467353266,ND3,COX3,99.5,False,NC_012920.1,gene,69.0,613328.4800000001,9991,10289,299,127.79882077238265,124.35666039844972,186.01003344481606,181,-0.5185813349879753,-0.5207340524327208,0.007449777482988179,0.11274509803921567,HS_lung_cancer,gene-HS_10,149,268,3847.405389052413,381.98116598023023
9,ND3_ND4L,Homo_sapiens,0.9973882722309435,1409.436337803809,1402.0933875465835,965.0518467353266,960.0240724995191,ND4L,ND3,99.4,False,NC_012920.1,gene,66.0,75317.61,10405,10703,299,153.40362253922848,170.38923634704716,223.27759197324414,248,-0.5025681637684843,-0.4919454085271242,0.009236901429784861,0.16666666666666666,HS_lung_cancer,gene-HS_11,93,265,2428.5863471379607,241.11684388733084
