,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Solenopsis_invicta,0.8490028508270692,86280.27253367397,63642.37948274878,74379.65214356036,54864.19906320788,COX2,COX1,True,True,97.9,False,NC_014672.1,gene,69.0,712987.79,1530,1828,299,744.3068027625312,1041.3256897736887,4981.936454849499,6970.0,0.22058902407492492,0.8805948255504206,0.0,0.0,SI_transc,gene-SI_0,1308,356,3074.482436399473,548.9231547015238
1,COX2_ATP8,Solenopsis_invicta,0.07410303245279881,63642.37948274878,2448.7775782677663,54864.19906320788,2111.018186427497,ATP8,COX2,True,True,97.7,False,NC_014672.1,gene,173.0,943795.23,2289,2587,299,505.33149354385677,190.93460997572083,3382.38127090301,1278.0,-0.31043811726575354,-1.0090595726514866,0.0,0.0,SI_transc,gene-SI_1,4216,327,10788.650391526677,1926.2233987012366
2,ATP8_ATP6,Solenopsis_invicta,0.07979914536785715,2448.7775782677663,58924.751348124075,2111.018186427497,50797.27241483516,ATP6,ATP8,True,True,99.5,False,NC_014672.1,gene,1.0,1419593.62,2616,2914,299,1065.1359284790315,1101.0861310806436,7129.371237458194,7370.0,0.933503567611165,1.0133885288674906,0.0,0.0,SI_transc,gene-SI_2,157449,288,457469.0205195677,81677.27190398211
3,ATP6_COX3,Solenopsis_invicta,0.7914124602995776,58924.751348124075,89985.59389920493,50797.27241483516,77573.89928899829,COX3,ATP6,True,True,97.8,False,NC_014672.1,gene,7.0,1679416.6099999999,3283,3581,299,1036.7352284502192,1108.4067851407458,6939.274247491639,7419.0,0.870394359393448,1.0296557575238316,0.0,0.0,SI_transc,gene-SI_3,3743,294,10653.364024531897,1902.0691480606476
4,COX3_ND3,Solenopsis_invicta,0.4079343818948059,89985.59389920493,23056.97529628061,77573.89928899829,19876.731397095293,ND3,COX3,True,True,96.7,False,NC_014672.1,gene,85.0,958667.1200000001,4073,4371,299,588.5489074022753,578.032868541521,3939.3879598662206,3869.0,-0.12552066476624324,-0.1488883594151652,0.0,0.0,SI_transc,gene-SI_4,906,372,2037.9781721797635,363.8639773125075
5,ND3_ND5,Solenopsis_invicta,0.9901702366754233,23056.97529628061,22608.098429358233,19876.731397095293,19489.76802486038,ND5,ND3,True,False,92.2,True,NC_014672.1,gene,421.0,860005.09,4509,4807,299,50.15030278139747,39.29249015932283,335.67558528428094,263.0,-1.3218964445419628,-1.3460235948185522,0.0,0.0,SI_transc,gene-SI_5gene-SI_6,1341,576,3896.283599875135,695.6488870887716
6,ND5_ND4,Solenopsis_invicta,0.6333119365630002,22608.098429358233,10476.405685651764,19489.76802486038,9031.397186529206,ND4,ND5,False,False,97.0,False,NC_014672.1,gene,80.0,467113.68,6597,6895,299,273.56441280590326,49.75056738803993,1831.0735785953177,333.0,-0.8254478508802449,-1.3227846967380648,0.0,0.0,SI_transc,gene-SI_7,64,367,145.92448864444668,26.05359838995308
7,ND4_ND4L,Solenopsis_invicta,0.2745320431084328,10476.405685651764,1666.857414435036,9031.397186529206,1436.9481112870228,ND4L,ND4,False,False,98.4,False,NC_014672.1,gene,1.0,157534.6,8007,8295,289,236.66323762874254,270.4159969139708,1584.0795847750865,1810.0,-0.9074459687213995,-0.8324439472397834,0.0,0.0,SI_transc,gene-SI_8,254,288,737.9985342045372,131.76347302054288
8,ND4L_ND6,Solenopsis_invicta,0.6702088706987037,1666.857414435036,840.088793441749,1436.9481112870228,724.2155175334362,ND6,ND4L,False,True,95.6,True,NC_014672.1,gene,171.0,322958.69999999995,8296,8594,299,62.95732511533193,57.519424757944066,421.39799331103677,385.0,-1.2934379544941401,-1.3055215153068456,0.0,0.0,SI_transc,gene-SI_9,404,458,738.1254121975578,131.7861260262542
9,ND6_CYTB,Solenopsis_invicta,0.022276625100877467,840.088793441749,74583.25649674442,724.2155175334362,64296.00314251079,CYTB,ND6,True,True,96.0,False,NC_014672.1,gene,24.0,398015.47,8998,9296,299,969.554698904064,1103.0283454231196,6489.608695652174,7383.0,0.7211124746862566,1.0177043242252954,0.0,0.0,SI_transc,gene-SI_10,2124,311,5714.896819446109,1020.3470846943097
10,CYTB_ND1,Solenopsis_invicta,0.353478162243859,74583.25649674442,16011.662788851609,64296.00314251079,13803.177406630979,ND1,CYTB,True,False,93.4,True,NC_014672.1,gene,86.0,1229615.89,10144,10442,299,361.37878368793315,298.50340432823964,2418.849498327759,1998.0,-0.6303154981255746,-0.7700309066807605,0.0,0.0,SI_transc,gene-SI_11,1743,373,3910.2347026042353,698.1397399331256
11,ND1_ND2,Solenopsis_invicta,0.3699343708324401,16011.662788851609,3633.758232666925,13803.177406630979,3132.5547008915505,ND2,ND1,False,True,2.0,True,NC_014672.1,gene,3167.0,387514.10000000003,11176,11474,299,809.194350158538,1083.9050042048939,5416.254180602006,7255.0,0.36477567212223294,0.9752103391638329,0.0,0.0,SI_transc,gene-SI_12gene-SI_13,1126,576,3271.5998012374366,584.1168134690208
