,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnA,1,0.0,0.125,0.625,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nad2,0.0,1,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.375,0.375,0.0,0.125,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0
nad5,0.125,0.0,1,0.25,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.0
trnK,0.625,0.0,0.25,1,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0
trnP,0.0,0.125,0.0,0.0,1,0.0,0.25,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.0,0.25,0.125,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0
trnV,0.0,0.0,0.125,0.0,0.0,1,0.0,0.0,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.375,0.0,0.0,0.25,0.125,0.0
atp6,0.0,0.125,0.0,0.0,0.25,0.0,1,0.0,0.625,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125
nad4L,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.25,0.125,0.0,0.125,0.125,0.125,0.125,0.0,0.0
trnQ,0.25,0.125,0.125,0.0,0.0,0.125,0.625,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0
rrnL,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,1,0.125,0.125,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.375
trnW,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.25,0.125,0.25,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.25
trnF,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,1,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.125
trnH,0.0,0.125,0.625,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1,0.125,0.0,0.125,0.0,0.0,0.5,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
trnT,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.25,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.0
trnN,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1,0.0,0.0,0.125,0.0,0.125,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.125
trnM,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,1,0.125,0.375,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0
trnI,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,1,0.125,0.0,0.25,0.125,0.0,0.125,0.125,0.0,0.25,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0
rrnS,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.375,0.125,1,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
nad4,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.5,0.125,0.0,0.125,0.125,0.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
cox3,0.125,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.25,0.0,0.0,1,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125
nad1,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.25,0.25,0.125,0.125,0.0,0.0,1,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125
trnE,0.125,0.0,0.0,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.25,0.0,0.0,0.125,0.0,0.125
atp8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1,0.125,0.0,0.625,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0
trnL,0.125,0.375,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.125,0.125,0.125,0.375,0.25,0.0,0.125,1,0.5,0.0,0.125,0.0,0.125,0.125,0.0,0.25,0.0,0.125,0.0
cox2,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.125
cox1,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.125,0.625,0.0,0.0,1,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0
trnS,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.25,0.0,0.25,0.125,0.0,0.0,0.25,0.0,0.375,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,1,0.0,0.0,0.0,0.625,0.375,0.375,0.125,0.125
nad3,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1,0.125,0.125,0.125,0.0,0.0,0.0,0.25
trnY,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.25,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,1,0.0,0.0,0.125,0.125,0.0,0.0
trnR,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.125,0.0,1,0.25,0.0,0.0,0.0,0.0
cob,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.125,0.0,0.25,1,0.125,0.125,0.0,0.0
trnC,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.25,0.125,0.25,0.375,0.0,0.125,0.0,0.125,1,0.0,0.0,0.125
nad6,0.0,0.0,0.0,0.125,0.125,0.25,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.375,0.0,0.125,0.0,0.125,0.0,1,0.125,0.0
trnD,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.125,0.0,0.0,0.125,0.125,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,1,0.0
trnG,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.375,0.25,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.125,0.25,0.0,0.0,0.0,0.125,0.0,0.0,1
