,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX2_CYTB,Ruditapes_philippinarum,0.06706237681360616,2491.923943061733,71824.67685347164,1726.3701133373647,49759.1332452941,CYTB,COX2,True,True,31.2,False,NC_031332.1,gene,107.0,375227.42000000004,3332,3630,299,1624.6676579370587,755.389395245748,3559.521739130435,1655,0.5239523916211499,-0.27542957980477906,0,0,RP_cdna,gene-RP_0,1003,344,19209.4355196148,1330.8079172196394
1,CYTB_ND4,Ruditapes_philippinarum,0.042465469118526666,71824.67685347164,1558.117391418791,49759.1332452941,1079.44197298077,ND4,CYTB,True,True,0.6,False,NC_031332.1,gene,1409.0,921824.9500000001,4686,4984,299,2783.1110175023637,3157.116886353377,6097.581939799331,6917,1.5892484841376546,1.9331815624149835,0,0,RP_cdna,gene-RP_1gene-RP_2,1580,476,43737.327486536335,3030.072468172032
2,ND4_ATP6,Ruditapes_philippinarum,0.7710314693874696,1558.117391418791,977.5332011024176,1079.44197298077,677.2213525524967,ATP6,ND4,True,True,7.5,False,NC_031332.1,gene,188.0,187621.1,7453,7751,299,252.60348383247373,225.47574697969762,553.4347826086956,494,-0.7377878490963345,-0.7627343187095955,0,0,RP_cdna,gene-RP_3,70,425,1085.1286313115345,75.17648148882509
3,ATP6_ND3,Ruditapes_philippinarum,0.3930929902656166,977.5332011024176,239.13110514639354,677.2213525524967,165.66669068833681,ND3,ATP6,True,True,8.1,False,NC_031332.1,gene,22.0,176684.69,8379,8677,299,243.18487281555696,246.01503567218015,532.7993311036789,539,-0.7464491353218603,-0.7438465381318894,0,0,RP_cdna,gene-RP_4,31,259,788.558726835602,54.63045469471984
4,ND3_ND5,Ruditapes_philippinarum,0.6234784548026244,239.13110514639354,527.9558833593942,165.66669068833681,365.7604642108077,ND5,ND3,True,True,7.1,False,NC_031332.1,gene,90.0,161162.57,8806,9104,299,292.03036962581785,289.83218488280966,639.8160535117057,635,-0.7015311715221259,-0.7035526062327832,0,0,RP_cdna,gene-RP_5,230,327,4633.959096142528,321.0354331818547
5,ND5_ND6,Ruditapes_philippinarum,0.8877201728148888,527.9558833593942,661.5087689651978,365.7604642108077,458.28403857662107,ND6,ND5,True,True,27.3,False,NC_031332.1,gene,391.0,182944.47999999998,10522,10820,299,261.5855109351542,261.5336093509448,573.113712374582,573,-0.7295280422647308,-0.7295757705842892,0,0,RP_cdna,gene-RP_6gene-RP_7,100,476,2768.1852839579956,191.77673849190074
6,ND6_COX3,Ruditapes_philippinarum,0.3037420818577429,661.5087689651978,3694.218069537309,458.28403857662107,2559.302696680286,COX3,ND6,True,True,5.7,False,NC_031332.1,gene,964.0,187810.75999999998,11405,11703,299,275.9912535877711,275.6828971168772,604.6755852842809,604,-0.716280626039404,-0.7165641884085362,0,0,RP_cdna,gene-RP_8gene-RP_9,716,476,19820.206633139256,1373.1214476020098
7,COX3_COX1,Ruditapes_philippinarum,0.05815482228872981,3694.218069537309,123353.47717389693,2559.302696680286,85457.56661722598,COX1,COX3,True,True,17.3,False,NC_031332.1,gene,1130.0,282444.69,13142,13440,299,277.6429451793934,278.4214689425416,608.2943143812709,610,-0.7147617424582001,-0.7140458176648421,0,0,RP_cdna,gene-RP_10gene-RP_11,140,476,3875.4593975411944,268.48743388866114
8,COX1_ND1,Ruditapes_philippinarum,0.26816282753108966,123353.47717389693,19100.41991856931,85457.56661722598,13232.504222860576,ND1,COX1,True,True,5.9,False,NC_031332.1,gene,65.0,425364.5,15989,16287,299,1187.8898760185175,1398.953774276869,2602.57525083612,3065,0.12229471838760816,0.31638754496334426,0,0,RP_cdna,gene-RP_12,362,302,7897.210971016062,547.1098238910001
9,ND1_ND2,Ruditapes_philippinarum,0.8568506592222008,19100.41991856931,14316.771059423781,13232.504222860576,9918.45908672271,ND2,ND1,True,True,5.1,False,NC_031332.1,gene,21.0,378171.27,16984,17282,299,1026.4652635054033,1142.8973085772525,2248.90635451505,2504,-0.02615018185398848,0.08091988042794201,0,0,RP_cdna,gene-RP_13,303,258,7737.39975067236,536.0382837056176
10,ND2_ND4L,Ruditapes_philippinarum,0.6978002850403222,14316.771059423781,7671.823923285296,9918.45908672271,5314.9324933542875,ND4L,ND2,True,True,4.9,False,NC_031332.1,,1141.0,428855.29999999993,18022,18320,299,337.664074283794,302.61218673590986,739.7959866220735,663,-0.6595667484385177,-0.6918002094288772,0,0,RP_cdna,gene-RP_14gene-RP_15,2890,476,80000.55470638609,5542.347742415932
