,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Homarus_americanus,0.5431867982133212,198005.05137757407,73828.08568452123,68600.91085424076,25578.50867615144,COX2,COX1,True,True,97.9,False,NC_015607.1,gene,65.0,836910.48,1539,1837,299,474.22682830493557,607.4338589389697,4777.916387959866,6120,0.3023001938737924,0.8331509625733728,0,0,decapods,gene-HA_0,2515,300,8810.743116669815,832.0785159213016
1,COX2_ATP8,Homarus_americanus,0.14575799008294898,73828.08568452123,5803.467575157003,25578.50867615144,2010.6717429629855,ATP8,COX2,True,True,97.7,False,NC_015607.1,gene,133.0,876596.56,2292,2575,284,256.7191600638559,37.61722753886758,2586.489436619718,379,-0.5645017484429801,-1.4376570822931758,0,0,decapods,gene-HA_1,1457,284,5391.840249063894,509.2004582493782
2,ATP8_ATP6,Homarus_americanus,0.25621257856929325,5803.467575157003,39498.50477580189,2010.6717429629855,13684.668073611985,ATP6,ATP8,True,True,99.5,False,NC_015607.1,gene,1.0,1021306.28,2576,2874,299,642.0522245406319,646.0436254630317,6468.785953177257,6509,0.9711105425091614,0.9870168969842924,0,0,decapods,gene-HA_2,19116,236,85129.64522269442,8039.565780074602
3,ATP6_COX3,Homarus_americanus,0.599064654968714,39498.50477580189,92368.74677441583,13684.668073611985,32002.1136789408,COX3,ATP6,True,True,97.8,False,NC_015607.1,gene,1.0,1576506.15,3250,3548,299,594.2068661616937,626.1928457591439,5986.735785953178,6309,0.7804393357922643,0.9079084474156962,0,0,decapods,gene-HA_3,1978,236,8808.664901155555,831.8822511502177
4,COX3_ND3,Homarus_americanus,0.2935794223434699,92368.74677441583,15891.488696101213,32002.1136789408,5505.771654802774,ND3,COX3,True,True,96.7,False,NC_015607.1,gene,67.0,1119301.4699999997,4043,4341,299,291.85725043134437,332.00429054752516,2940.511705685619,3345,-0.42447098435018016,-0.26447877519089685,0,0,decapods,gene-HA_4,1558,302,5421.960071006374,512.0449466665126
5,ND3_ND5,Homarus_americanus,0.817690850734587,15891.488696101213,10990.632119718985,5505.771654802774,3807.81888659428,ND5,ND3,True,False,92.2,True,NC_015607.1,,440.0,648418.27,4462,4760,299,40.81061383905823,40.69409839297021,411.17391304347825,410,-1.4249309404060537,-1.4253952726100436,0,0,decapods,gene-HA_5gene-HA_6,895,472,3985.7204684197286,376.40779311397614
6,ND5_ND4,Homarus_americanus,0.9203863377156878,10990.632119718985,12892.017305514117,3807.81888659428,4466.573573521822,ND4,ND5,False,False,97.0,False,NC_015607.1,gene,68.0,219291.15000000002,6628,6926,299,226.85092619367936,188.9794227810129,2285.561872909699,1904,-0.6835313134307512,-0.8344551543326312,0,0,decapods,gene-HA_7,471,303,1633.706673996214,154.28576304506942
7,ND4_ND4L,Homarus_americanus,0.636485607825435,12892.017305514117,6017.966160012232,4466.573573521822,2084.987010152583,ND4L,ND4,False,False,98.4,False,NC_015607.1,gene,1.0,852197.17,8028,8326,299,313.2107806322142,340.63937971871644,3155.6521739130435,3432,-0.33937383994551323,-0.2300665996285576,0,0,decapods,gene-HA_8,5170,236,23023.659018692728,2174.3332853622987
8,ND4L_ND6,Homarus_americanus,0.773511730400979,6017.966160012232,9542.14992741308,2084.987010152583,3305.977155502025,ND6,ND4L,False,True,95.6,True,NC_015607.1,gene,135.0,853814.5499999999,8332,8630,299,201.53255129743798,63.423241153921865,2030.4749163879599,639,-0.7844289816087848,-1.3348160978540011,0,0,decapods,gene-HA_9,500,370,1420.247668046287,134.12688989113448
9,ND6_CYTB,Homarus_americanus,0.3335399576279242,9542.14992741308,47675.282102470956,3305.977155502025,16517.597681009527,CYTB,ND6,True,True,96.0,False,NC_015607.1,gene,1.0,618481.13,8984,9282,299,559.8882539726178,626.0935918606244,5640.969899665552,6308,0.6436743199026369,0.9075129051678532,0,0,decapods,gene-HA_10,618,236,2752.15111674122,259.91063256361707
10,CYTB_ND1,Homarus_americanus,0.6333631005136229,47675.282102470956,22094.94306909985,16517.597681009527,7655.02298687575,ND1,CYTB,True,False,93.4,True,NC_015607.1,gene,102.0,923402.3200000001,10120,10418,299,256.2177979004328,263.12208497503417,2581.438127090301,2651,-0.5664997547687951,-0.538985095193925,0,0,decapods,gene-HA_11,1252,337,3904.543203238943,368.7414864876506
11,ND1_ND2,Homarus_americanus,0.7892852508240762,22094.94306909985,33892.27586355088,7655.02298687575,11742.331718240814,ND2,ND1,False,True,2.0,True,NC_015607.1,,4051.0,648363.03,11161,11459,299,462.01859878704477,612.198046067903,4654.916387959866,6168,0.25364849738910594,0.852136990469836,0,0,decapods,gene-HA_12gene-HA_13,3541,472,15769.202434272913,1489.2290451582007
