,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX3_ND2,Sepiella_japonica,0.30440658133468335,221024.9062994103,39680.17059737274,228686.7606842275,41055.68838028691,ND2,COX3,True,True,26.5,False,NC_017749.1,gene,271.0,844785.96,782,1080,299,170.8422620037841,117.35824378923937,231.46153846153845,159.0,-1.6060148805806216,-1.6379705691234716,0.0,0.0,popphyl,gene-SJ_0gene-SJ_1,760,192,44803.936467159525,5843.308784055418
1,ND2_COX1,Sepiella_japonica,0.38244724216561377,39680.17059737274,167826.4667766249,41055.68838028691,173644.19099553706,COX1,ND2,True,True,67.2,False,NC_017749.1,gene,1.0,568716.32,2061,2359,299,4541.03161019031,5147.524479158209,6152.307692307692,6974.0,1.005090536438309,1.3674585460080972,0.0,0.0,popphyl,gene-SJ_2,31,96,1827.5289874762439,238.34548987594468
2,COX1_COX2,Sepiella_japonica,0.9585324071773746,167826.4667766249,154461.9422592726,173644.19099553706,159816.3836631903,COX2,COX1,True,True,60.9,False,NC_017749.1,gene,2.0,1251181.06,3595,3893,299,4406.2131771260965,4896.569744011408,5969.652173913043,6634.0,0.9245390745127432,1.2175178418049082,0.0,0.0,popphyl,gene-SJ_3,1058,97,61728.787562350226,8050.6400783904055
3,COX2_ATP8,Sepiella_japonica,0.12895488969505664,154461.9422592726,10645.720200130492,159816.3836631903,11014.75534354738,ATP8,COX2,True,True,55.0,False,NC_017749.1,gene,55.0,1493182.4500000002,4281,4491,211,1324.8234188524152,899.7465357175017,1794.9052132701422,1219.0,-0.9165329818076089,-1.1705083736664703,0.0,0.0,popphyl,gene-SJ_4,5885,150,222038.87672356536,28958.20816350833
4,ATP8_ATP6,Sepiella_japonica,0.12772985973581275,10645.720200130492,156045.45478666306,11014.75534354738,161454.78883867429,ATP6,ATP8,True,True,74.1,False,NC_017749.1,gene,2.0,610439.4099999999,4492,4790,299,4195.952803664278,4266.968599657816,5684.785953177257,5781.0,0.7989124811573756,0.8413430750833779,0.0,0.0,popphyl,gene-SJ_5,368,97,21470.88263038269,2800.2226359618803
5,ATP6_ND1,Sepiella_japonica,0.38854430353135627,156045.45478666306,37624.72197168314,161454.78883867429,38928.987386123634,ND1,ATP6,True,False,2.9,True,NC_017749.1,gene,90.0,1130724.12,5187,5485,299,1594.7869784579382,1530.0857822332905,2160.6588628762543,2073.0,-0.7552348647875297,-0.7938926048737545,0.0,0.0,popphyl,gene-SJ_6,428,185,13093.201575836774,1707.6093265950851
6,ND1_ND3,Sepiella_japonica,0.9026259929518938,37624.72197168314,45742.524851416885,38928.987386123634,47328.19485790328,ND3,ND1,False,True,6.5,True,NC_017749.1,,3453.0,559223.33,6215,6513,299,1256.2646914730249,963.2233216663983,1702.020066889632,1305.0,-0.9574955237438151,-1.1325821955444877,0.0,0.0,popphyl,gene-SJ_7gene-SJ_8,111,192,6543.732826124615,853.430625039673
7,ND3_ND5,Sepiella_japonica,0.8592130736290976,45742.524851416885,34452.16145505063,47328.19485790328,35646.4496858676,ND5,ND3,True,False,7.1,True,NC_017749.1,gene,90.0,1030298.7100000001,10022,10320,299,2363.8474657918905,2331.664730378661,3202.6020066889632,3159.0,-0.2957357803082291,-0.3149643555659212,0.0,0.0,popphyl,gene-SJ_9,92,185,2814.426506955569,367.0562103895979
8,ND5_ND4,Sepiella_japonica,0.9305393197668408,34452.16145505063,29976.876642057374,35646.4496858676,31016.028598226247,ND4,ND5,False,False,47.9,False,NC_017749.1,gene,21.0,823830.23,11822,12120,299,2233.595885570706,1876.255696303437,3026.133779264214,2542.0,-0.3735586341010392,-0.5870626334875907,0.0,0.0,popphyl,gene-SJ_10,12,116,585.4597868666942,76.35539608929041
9,ND4_ND4L,Sepiella_japonica,0.6362775697808887,29976.876642057374,13986.434333536015,31016.028598226247,14471.275725488445,ND4L,ND4,False,False,60.5,False,NC_017749.1,gene,1.0,889183.5,13245,13542,298,2491.6248439322603,2330.1885260542676,3375.718120805369,3157.0,-0.219391215427248,-0.3158463597082929,0.0,0.0,popphyl,gene-SJ_11,1076,96,63432.941629820605,8272.895067952146
10,ND4L_CYTB,Sepiella_japonica,0.3249294759246766,13986.434333536015,72102.61187400644,14471.275725488445,74602.05739891608,CYTB,ND4L,False,False,58.9,False,NC_017749.1,gene,143.0,977970.25,13543,13841,299,3032.029876677151,2090.3053233404144,4107.872909698996,2832.0,0.10349056290348105,-0.4591720328436942,0.0,0.0,popphyl,gene-SJ_12gene-SJ_13,543,192,32011.233554825823,4174.890354923806
11,CYTB_ND6,Sepiella_japonica,0.22187795512201136,72102.61187400644,8997.121501105039,74602.05739891608,9309.007776629991,ND6,CYTB,False,False,48.9,False,NC_017749.1,gene,1.0,1173180.67,14817,15115,299,1340.3639037195442,1316.7742573585094,1815.9598662207359,1784.0,-0.9072478362482982,-0.9213422034464652,0.0,0.0,popphyl,gene-SJ_14,70,96,4126.678358817325,538.1994932682621
