,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Anolis_carolinensis,0.8983164126318031,44576.651159440116,54668.22633053834,36279.427968660864,44492.619515972736,ND2,ND1,True,True,99.4,False,EU747728.2,gene,207.0,1148226.59,3635,3933,299,573.0354017026995,276.3475613492751,2459.294314381271,1186,-1.2547225960489705,-1.776077705541943,0.003146102742974661,0.6438679245283019,AC_green_anole,gene-AC_0gene-AC_1,1302,300,12650.27889213333,2022.509976822688
1,ND2_COX1,Anolis_carolinensis,0.5103618971002986,54668.22633053834,159564.954638278,44492.619515972736,129864.51713064828,COX1,ND2,True,True,99.5,False,EU747728.2,,381.0,1063751.01,4878,5176,299,130.88818746327433,137.0087403654079,561.7324414715719,588,-2.0316863874103217,-2.0209310375292886,0.0,0.0,AC_green_anole,gene-AC_2gene-AC_3,6473,300,62891.90112809451,10055.074562191443
2,COX1_COX2,Anolis_carolinensis,0.9287553457763865,159564.954638278,184045.3521317806,129864.51713064828,149788.2842690335,COX2,COX1,True,True,99.5,False,EU747728.2,gene,137.0,1405423.4500000002,6804,7102,299,944.4533694498214,932.9642796311107,4053.3076923076924,4004,-0.6020478689290906,-0.6222370875815078,0.014734112661498362,0.7060301507537688,AC_green_anole,gene-AC_4,25992,286,132450.63362618414,21176.03336887923
3,COX2_ATP8,Anolis_carolinensis,0.4274727736237479,184045.3521317806,50030.53418008518,149788.2842690335,40718.158807576576,ATP8,COX2,True,True,99.5,False,EU747728.2,gene,66.0,1114263.33,7629,7851,223,1026.4026021897314,1420.650153074646,4405.008968609865,6097,-0.45804246865017856,0.2347495743742023,0.008937956008928823,0.5120408163265306,AC_green_anole,gene-AC_5,1916,215,12987.854655089199,2076.4811464967693
4,ATP8_ATP6,Anolis_carolinensis,0.7813016792276468,50030.53418008518,78039.16158594133,40718.158807576576,63513.43288138122,ATP6,ATP8,True,True,99.6,False,EU747728.2,gene,1.0,1325602.27,7852,8150,299,1628.7146629354122,1649.2310617455053,6989.94983277592,7078,0.6003712162683951,0.6364236858785269,0.015038457367811573,0.1301460823373174,AC_green_anole,gene-AC_6,12206,150,118593.93560474613,18960.64268594296
5,ATP6_COX3,Anolis_carolinensis,0.7116614123781484,78039.16158594133,141276.26068813988,63513.43288138122,114979.96798783074,COX3,ATP6,True,True,99.5,False,EU747728.2,gene,1.0,1638705.41,8535,8833,299,1581.472473218944,1686.5123516408546,6787.200668896321,7238,0.5173548143727955,0.7019362830657767,0.015592877373660366,0.7459490740740741,AC_green_anole,gene-AC_7,1946,150,18907.406086091756,3022.891255681222
6,COX3_ND3,Anolis_carolinensis,0.25416950991746756,141276.26068813988,20567.92921538412,114979.96798783074,16739.541599145454,ND3,COX3,True,True,99.5,False,EU747728.2,gene,67.0,1200662.97,9320,9618,299,1048.1668942889173,1387.7960163543698,4498.414715719064,5956,-0.4197971368668099,0.1770165981029385,0.012945150286522725,0.5809792843691148,AC_green_anole,gene-AC_8,965,216,6511.093579807063,1040.9850911172416
7,ND3_ND4L,Anolis_carolinensis,0.763503526813968,20567.92921538412,33309.829021600715,16739.541599145454,27109.742683791832,ND4L,ND3,True,True,99.4,False,EU747728.2,gene,68.0,797515.02,9733,10031,299,1110.7369621607286,1534.5910953173068,4766.946488294315,6586,-0.30984580031243153,0.4349724495277342,0.014013338334200886,0.5660377358490566,AC_green_anole,gene-AC_9,948,217,6366.913923497207,1017.9338370043472
8,ND4L_ND4,Anolis_carolinensis,0.8916580355515927,33309.829021600715,41404.52938373742,27109.742683791832,33697.74539547242,ND4,ND4L,True,True,99.6,False,EU747728.2,gene,1.0,1655587.15,10090,10388,299,1555.769891627631,1583.7557963667984,6676.892976588629,6797,0.4721889180427402,0.5213671870684197,0.014920328752863749,0.12487115299661315,AC_green_anole,gene-AC_10,8696,150,84490.64919046963,13508.254038748151
9,ND4_ND5,Anolis_carolinensis,0.8641840758853669,41404.52938373742,31502.582595718573,33697.74539547242,25638.885972396045,ND5,ND4,True,True,98.9,False,EU747728.2,gene,215.0,1347974.79,11456,11754,299,439.0347252795168,107.41671651097457,1884.2040133779265,461,-1.4901954662735113,-2.072931661546668,0.005028504784536232,0.5445205479452054,AC_green_anole,gene-AC_11gene-AC_12,1282,300,12455.958171824062,1991.4422352432302
10,ND5_ND6,Anolis_carolinensis,0.9704342825509741,31502.582595718573,33422.12825210503,25638.885972396045,27201.139227454223,ND6,ND5,True,False,84.4,True,EU747728.2,gene,1.0,1587633.86,13471,13769,299,1486.7924917006442,1504.3000472773358,6380.86287625418,6456,0.3509782885520414,0.3817434643130938,0.012765552027589605,0.0933293891436178,AC_green_anole,gene-AC_13,6505,150,63202.814280589344,10104.782948718575
11,ND6_CYTB,Anolis_carolinensis,0.6698949823040928,33422.12825210503,66361.0590682423,27201.139227454223,54009.02041248322,CYTB,ND6,False,True,99.2,True,EU747728.2,gene,72.0,1596225.46,13997,14295,299,1216.3402681034236,1637.5806586532087,5220.163879598662,7028,-0.1242742478450703,0.6159509992575114,0.013557244432879385,0.8093891402714932,AC_green_anole,gene-AC_14,7078,221,46676.54044170805,7462.583989798666
