,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Carcinoscorpius_rotundicauda,0.06659849144236263,13907.076849261291,403732.31852044095,8634.274578630995,250659.1235639831,COX1,ND2,True,True,95.7,False,NC_019623.1,gene,191.0,147678.19,1221,1519,299,584.5203223819518,119.2201131143402,1372.8026755852843,280.0,-0.9851619146456883,-1.5804303836932923,0.0,0.0,CR_transc,gene-CR_0,957,448,5868.49630802676,909.5475785269734
1,COX1_COX2,Carcinoscorpius_rotundicauda,0.1027216250637657,403732.31852044095,21858.7005454987,250659.1235639831,13571.07783954843,COX2,COX1,True,True,97.9,False,NC_019623.1,gene,3.0,814568.86,2948,3246,299,881.0924580415157,892.0219177662239,2069.3311036789296,2095.0,-0.6057508642313265,-0.5917685735977484,0.0,0.0,CR_transc,gene-CR_1,11119,260,117485.77719286793,18208.90711151577
2,COX2_ATP8,Carcinoscorpius_rotundicauda,0.03516961631284099,21858.7005454987,391.2613107294441,13571.07783954843,242.91643926685614,ATP8,COX2,True,True,97.7,False,NC_019623.1,gene,135.0,512077.53,3636,3918,283,227.30960537027687,229.92450386337035,533.8586572438163,540.0,-1.4421491938425508,-1.438803898500542,0.0,0.0,CR_transc,gene-CR_2,459,283,4455.733032083324,690.5859656673667
3,ATP8_ATP6,Carcinoscorpius_rotundicauda,0.019553439476856505,391.2613107294441,39628.43048748785,242.91643926685614,24603.498899003836,ATP6,ATP8,True,True,99.5,False,NC_019623.1,gene,1.0,172819.97,3919,4217,299,1227.8034011860636,1178.1501892406402,2883.6153846153848,2767.0,-0.16219616939772663,-0.2257185810995636,0.0,0.0,CR_transc,gene-CR_3,757,258,8060.631835269144,1249.3026803371474
4,ATP6_COX3,Carcinoscorpius_rotundicauda,0.49589857747522526,39628.43048748785,120196.30903585814,24603.498899003836,74624.44817141503,COX3,ATP6,True,True,97.8,False,NC_019623.1,gene,1.0,767202.5,4593,4891,299,1471.9582752160793,1792.5595578977575,3457.0367892976587,4210.0,0.15015636167704288,0.5603084117201992,0.0,0.0,CR_transc,gene-CR_4,8236,258,87697.97066747249,13592.149108661486
5,COX3_ND3,Carcinoscorpius_rotundicauda,0.6330140532176461,120196.30903585814,55659.645180466105,74624.44817141503,34556.554525895706,ND3,COX3,True,True,96.7,False,NC_019623.1,gene,66.0,753208.51,5378,5676,299,1215.8030680134102,473.8999496295022,2855.43143812709,1113.0,-0.177548451243871,-1.1266809138257503,0.0,0.0,CR_transc,gene-CR_5,1221,323,10384.989303069451,1609.5506204401745
6,ND3_ND5,Carcinoscorpius_rotundicauda,0.7128950260655385,55659.645180466105,30828.475536407535,34556.554525895706,19140.00515759644,ND5,ND3,True,False,92.2,True,NC_019623.1,,405.0,639049.61,5789,6087,299,1128.6949179990268,1173.0407558214542,2650.849498327759,2755.0,-0.2889877630426948,-0.23225518810845974,0.0,0.0,CR_transc,gene-CR_6gene-CR_7,12002,516,127798.81543844158,19807.30616830441
7,ND5_ND4,Carcinoscorpius_rotundicauda,0.9468380563816452,30828.475536407535,34290.31712010858,19140.00515759644,21289.30591327503,ND4,ND5,False,False,97.0,False,NC_019623.1,gene,65.0,493653.04,7908,8206,299,910.6696409056437,826.4508555533367,2138.7959866220735,1941.0,-0.5679121441714677,-0.6756550302119158,0.0,0.0,CR_transc,gene-CR_8,1920,322,16380.91922971079,2538.848903943358
8,ND4_ND4L,Carcinoscorpius_rotundicauda,0.7064505001724735,34290.31712010858,18727.08518986197,21289.30591327503,11626.799602769941,ND4L,ND4,False,False,98.4,False,NC_019623.1,gene,1.0,782351.18,9303,9601,299,1298.5721869162373,1291.835082817529,3049.8227424749166,3034.0,-0.07166015437149936,-0.08027907515162414,0.0,0.0,CR_transc,gene-CR_9,1840,258,19592.552941737416,3036.6141767772137
9,ND4L_ND6,Carcinoscorpius_rotundicauda,0.9569774039584795,18727.08518986197,20410.903047683678,11626.799602769941,12672.205900758947,ND6,ND4L,False,True,95.6,True,NC_019623.1,gene,136.0,765258.74,9604,9902,299,785.8274421895917,711.4886036216516,1845.591973244147,1671.0,-0.7276254282450206,-0.8227286879120793,0.0,0.0,CR_transc,gene-CR_10,1330,393,9297.196338682068,1440.955565631338
10,ND6_CYTB,Carcinoscorpius_rotundicauda,0.9590175854434551,20410.903047683678,22155.371768321,12672.205900758947,13755.267574400004,CYTB,ND6,True,True,96.0,False,NC_019623.1,gene,1.0,641350.6599999999,10200,10498,299,1719.0865319047525,1933.4947630436386,4037.4414715719063,4541.0,0.46631280452287555,0.7406098217155849,0.0,0.0,CR_transc,gene-CR_11,689,258,7336.559226552761,1137.0799824997287
11,CYTB_ND1,Carcinoscorpius_rotundicauda,0.5410612008108963,22155.371768321,59740.61979461653,13755.267574400004,37090.24695809572,ND1,CYTB,True,False,93.4,True,NC_019623.1,gene,92.0,758051.21,11330,11628,299,1447.7696364038457,1129.6105717583732,3400.2274247491637,2653.0,0.11921132080382386,-0.2878163476840771,0.0,0.0,CR_transc,gene-CR_12,1936,349,15239.574379846987,2361.9539397192248
