,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Portunus_trituberculatus,0.8152861553628761,119437.18897346244,82193.25455367618,38276.659711352935,26340.901541300474,COX2,COX1,True,True,97.9,False,NC_005037.1,gene,92.0,336027.27,1536,1834,299,591.1739806899632,442.1423297791554,1121.799331103679,839,-0.2665543527389469,-0.3979858365388215,0,0,PT_transc2,gene-PT_0,247,263,6197.29875855334,494.92721941951277
1,COX2_ATP8,Portunus_trituberculatus,0.012517797147189258,82193.25455367618,517.6793462066536,26340.901541300474,165.90340366056688,ATP8,COX2,True,True,97.7,False,NC_005037.1,gene,134.0,217775.43,2313,2600,288,38.16266235380271,31.619236932955094,72.41666666666667,60,-0.7542567816045158,-0.7600274491569442,0,0,PT_transc2,gene-PT_1,85,288,1947.5457398147205,155.53444093178146
2,ATP8_ATP6,Portunus_trituberculatus,0.04072417375082138,517.6793462066536,24906.008774474303,165.90340366056688,7981.758703650832,ATP6,ATP8,True,True,99.5,False,NC_005037.1,gene,1.0,31030.010000000002,2601,2899,299,355.7763404709803,385.75469058205215,675.113712374582,732,-0.4741522753808039,-0.4477142737020296,0,0,PT_transc2,gene-PT_2,91,172,3491.1955368716967,278.81303884679403
3,ATP6_COX3,Portunus_trituberculatus,0.40897050617457353,24906.008774474303,96892.54832657447,7981.758703650832,31051.660983800833,COX3,ATP6,True,True,97.8,False,NC_005037.1,gene,1.0,169443.16999999998,3278,3576,299,1494.7914947587299,1236.3121640785444,2836.484949832776,2346,0.5303487878743848,0.30239504948879153,0,0,PT_transc2,gene-PT_3,170,172,6522.01364030976,520.8595231203843
4,COX3_ND3,Portunus_trituberculatus,0.40989894363950186,96892.54832657447,24977.125225302687,31051.660983800833,8004.549764053652,ND3,COX3,True,True,96.7,False,NC_005037.1,gene,64.0,300194.26,4071,4369,299,560.4430433899071,648.1943571255795,1063.484949832776,1230,-0.29365606343746525,-0.21626790260597697,0,0,PT_transc2,gene-PT_4,200,235,5615.951670254211,448.4998146518454
5,ND3_ND5,Portunus_trituberculatus,0.3418927513699994,24977.125225302687,5150.148201600017,8004.549764053652,1650.4948908290219,ND5,ND3,True,False,92.2,True,NC_005037.1,,494.0,167874.82,4489,4787,299,57.00627644144352,54.279690068239574,108.17391304347827,103,-0.7376385388047164,-0.7400431239418229,0,0,PT_transc2,gene-PT_5gene-PT_6,77,344,2954.0885311991274,235.91872517805652
6,ND5_ND4,Portunus_trituberculatus,0.6497938382986439,5150.148201600017,10701.489342654504,1650.4948908290219,3429.5621781961786,ND4,ND5,False,False,97.0,False,NC_005037.1,gene,21.0,54942.47,6711,7009,299,159.8340089465981,159.1501592292073,303.29765886287623,302,-0.6469544366268667,-0.6475575258532397,0,0,PT_transc2,gene-PT_7,10,192,343.6845423202448,27.447254282079076
7,ND4_ND4L,Portunus_trituberculatus,0.8722052961449458,10701.489342654504,8276.236490024836,3429.5621781961786,2652.328730624672,ND4L,ND4,False,False,98.4,False,NC_005037.1,gene,1.0,68394.0,8059,8357,299,267.0785646264446,303.017687274153,506.8026755852843,575,-0.5523751241364201,-0.5206802983246808,0,0,PT_transc2,gene-PT_8,234,172,8977.359951955788,716.9478141774703
8,ND4L_ND6,Portunus_trituberculatus,0.4075222906715934,8276.236490024836,2117.926569896626,2652.328730624672,678.7429887317447,ND6,ND4L,False,True,95.6,True,NC_005037.1,gene,136.0,104854.5,8363,8661,299,103.04980741337887,93.80373623443346,195.54515050167225,178,-0.6970326033672243,-0.7051867427526585,0,0,PT_transc2,gene-PT_9,47,307,1010.2310455693448,80.67883473663896
9,ND6_CYTB,Portunus_trituberculatus,0.09693977015691735,2117.926569896626,41577.79431882257,678.7429887317447,13324.652885491123,CYTB,ND6,True,True,96.0,False,NC_005037.1,gene,1.0,79141.73000000001,9004,9302,299,880.1022487867444,889.0275450982541,1670.0635451505016,1687,-0.011747600243030244,-0.003876353226667667,0,0,PT_transc2,gene-PT_10,46,172,1764.7801614955827,140.93845919728045
10,CYTB_ND1,Portunus_trituberculatus,0.6107988742629444,41577.79431882257,18280.77266407276,13324.652885491123,5858.53468703778,ND1,CYTB,True,False,93.4,True,NC_005037.1,gene,101.0,179677.88,10140,10438,299,141.24316662949593,124.89598588517264,268.0200668896321,237,-0.6633497592036036,-0.6777663895505156,0,0,PT_transc2,gene-PT_11,45,272,1091.7038403113656,87.18539595483942
11,ND1_ND2,Portunus_trituberculatus,0.8623857638172902,18280.77266407276,13858.017591250176,5858.53468703778,4441.151271000552,ND2,ND1,False,True,2.0,True,NC_005037.1,,3626.0,94282.0,11198,11496,299,2341.8662696944903,3365.8677715130707,4443.876254180602,6387,1.2773867082010015,2.1804568679609777,0,0,PT_transc2,gene-PT_12gene-PT_13,115,344,4411.950403738957,352.3461479932012
