,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Callinectes_sapidus,0.21778076259573953,18959.031194576208,155152.13426010025,7356.5986418046805,60203.07517071231,COX1,ND2,True,True,95.7,False,NC_006281.1,gene,198.0,838038.02,1079,1377,299,104.1996535542224,63.82748603488119,2736.103678929766,1676.0,-1.1188769944608001,-1.6825545229430756,0,0,decapods,gene-CS_0,4189,431,3480.4737307604414,370.1406771731906
1,COX1_COX2,Callinectes_sapidus,0.7230473221285956,155152.13426010025,87851.59947062592,60203.07517071231,34088.71216641415,COX2,COX1,True,True,97.9,False,NC_006281.1,gene,78.0,1112203.12,2811,3109,299,185.29157763152418,237.60124425514545,4865.438127090301,6239.0,0.013331112073674274,0.7436803950050087,0,0,decapods,gene-CS_1,3588,311,4131.400667735978,439.3653160816861
2,COX2_ATP8,Callinectes_sapidus,0.39875446793665825,87851.59947062592,21877.48043808942,34088.71216641415,8489.033074801831,ATP8,COX2,True,True,97.7,False,NC_006281.1,gene,133.0,1295513.3699999999,3574,3863,290,198.68465266496182,200.37489127239104,5217.11724137931,5261.5,0.20032566543791858,0.2239248323720364,0,0,decapods,gene-CS_2,5276,290,6514.96458121442,692.8520622171698
3,ATP8_ATP6,Callinectes_sapidus,0.4968444167433721,21877.48043808942,66188.23873206071,8489.033074801831,25682.763120249507,ATP6,ATP8,True,True,99.5,False,NC_006281.1,gene,1.0,1493814.8699999999,3864,4162,299,234.07975589319827,234.55458621052105,6146.531772575251,6159.0,0.6945132588711731,0.7011428553521823,0,0,decapods,gene-CS_3,126538,234,193646.82400835905,20593.91109245098
4,ATP6_COX3,Callinectes_sapidus,0.85287851566255,66188.23873206071,89023.17184179586,25682.763120249507,34543.312806397815,COX3,ATP6,True,True,97.8,False,NC_006281.1,gene,1.0,1590097.33,4538,4836,299,225.60744820873654,230.4415978502781,5924.063545150501,6051.0,0.5762226208014943,0.6437171768208667,0,0,decapods,gene-CS_4,2022,234,3094.3580437884434,329.07812853795605
5,COX3_ND3,Callinectes_sapidus,0.3493678440265877,89023.17184179586,18842.377147581537,34543.312806397815,7311.333828699278,ND3,COX3,True,True,96.7,False,NC_006281.1,gene,62.0,1303952.4300000002,5331,5629,299,187.95243604332393,222.63453661092805,4935.307692307692,5846.0,0.05048210458568049,0.5347147314604991,0,0,decapods,gene-CS_5,2994,295,3634.4194672936824,386.5124654917566
6,ND3_ND5,Callinectes_sapidus,0.9671497244984123,18842.377147581537,17643.796297898796,7311.333828699278,6846.253194547904,ND5,ND3,True,False,92.2,True,NC_006281.1,,486.0,1227199.6099999999,5747,6045,299,109.74795920145834,104.00528899836547,2881.792642140468,2731.0,-1.041411368841369,-1.1215907187714278,0,0,decapods,gene-CS_6gene-CS_7,3349,468,5125.126156601136,545.0458221926879
7,ND5_ND4,Callinectes_sapidus,0.9066132032854238,17643.796297898796,14629.862668745249,6846.253194547904,5676.768329252495,ND4,ND5,False,False,97.0,False,NC_006281.1,gene,16.0,1190264.7799999998,7961,8259,299,184.14041979677023,214.75130892046246,4835.210702341137,5639.0,-0.002741391412205774,0.4246488476088109,0,0,decapods,gene-CS_8,973,249,1399.3255477415905,148.81517456925408
8,ND4_ND4L,Callinectes_sapidus,0.8125789556674952,14629.862668745249,10011.544418610623,5676.768329252495,3884.7403813222345,ND4L,ND4,False,False,98.4,False,NC_006281.1,gene,1.0,1397438.4800000002,9304,9602,299,187.91537176694484,214.5228095671156,4934.334448160535,5633.0,0.049964611941910306,0.4214585321348489,0,0,decapods,gene-CS_9,19260,234,29474.449022435914,3134.542411296258
9,ND4L_ND6,Callinectes_sapidus,0.9660082096555153,10011.544418610623,9353.298730241026,3884.7403813222345,3629.323884174486,ND6,ND4L,False,True,95.6,True,NC_006281.1,gene,135.0,1327918.78,9608,9906,299,159.31295884332312,141.93618165393926,4183.284280936455,3727.0,-0.3493832164275414,-0.5919983500937395,0,0,decapods,gene-CS_10,2632,368,2561.1990749483625,272.37785235908365
10,ND6_CYTB,Callinectes_sapidus,0.22013463816366596,9353.298730241026,75624.68391042847,3629.323884174486,29344.34999513709,CYTB,ND6,True,True,96.0,False,NC_006281.1,gene,1.0,1319155.1700000002,10248,10546,299,219.49247944943798,225.1099462721854,5763.494983277592,5911.0,0.4908452262056671,0.5692764824284205,0,0,decapods,gene-CS_11,1025,234,1568.6038550361789,166.8175478493595
11,CYTB_ND1,Callinectes_sapidus,0.5756542166780454,75624.68391042847,30563.974484096376,29344.34999513709,11859.619348175363,ND1,CYTB,True,False,93.4,True,NC_006281.1,gene,100.0,1339763.22,11384,11682,299,172.63775725454508,203.4025077042365,4533.170568561873,5341.0,-0.16334194350446127,0.2661965124020326,0,0,decapods,gene-CS_12,2783,333,2992.7762094319805,318.27512530742143
