,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Oryzias_latipes,0.9766407866757747,23243.876162896933,24355.766366907505,26399.55854992899,27662.40345308353,ND2,ND1,True,True,99.4,False,NC_004387.1,gene,210.0,101306.51999999999,3808,4106,299,404.02125284750304,120.86605427865831,247.36120401337791,74.0,-0.6918365179117391,-0.7734218576583037,0.0,0.0,BL_transcriptome,gene-OL_0gene-OL_1,171,192,10941.892655776506,2909.360259241353
1,ND2_COX1,Oryzias_latipes,0.25971631353484603,24355.766366907505,163200.92605195133,27662.40345308353,185357.74207868398,COX1,ND2,True,True,99.5,False,NC_004387.1,gene,388.0,122565.76000000001,5068,5366,299,262.8888575504128,269.4986345402517,160.95317725752508,165.0,-0.732500911423696,-0.7305964402923492,0.0,0.0,BL_transcriptome,gene-OL_2gene-OL_3,130,192,8318.397925444127,2211.7943491308533
2,COX1_COX2,Oryzias_latipes,0.9991380362104471,163200.92605195133,162919.82177630145,185357.74207868398,185038.47395267745,COX2,COX1,True,True,99.5,False,NC_004387.1,gene,155.0,975909.8300000001,7013,7311,299,4656.975735759951,4416.510956344488,2851.2240802675587,2704.0,0.5335647396629913,0.4642797651159913,0.0,0.0,BL_transcriptome,gene-OL_4gene-OL_5,5053,192,323329.7285943782,85970.7449704477
3,COX2_ATP8,Oryzias_latipes,0.5512542957427407,162919.82177630145,61991.729364175524,185038.47395267745,70407.97659958522,ATP8,COX2,True,True,99.5,False,NC_004387.1,gene,75.0,696592.74,7858,8089,232,3136.5473265510163,4017.97964223648,1920.344827586207,2460.0,0.09548460215324528,0.34945117349738747,0.0,0.0,BL_transcriptome,gene-OL_6,433,170,15646.116061758436,4160.17500021137
4,ATP8_ATP6,Oryzias_latipes,0.8956452537258299,61991.729364175524,76437.4737300042,70407.97659958522,86814.93349052535,ATP6,ATP8,True,True,99.6,False,NC_004387.1,gene,1.0,634917.6200000001,8090,8388,299,5237.1175009458,5421.005866903608,3206.4147157190637,3319.0,0.7007206430441939,0.753704289072718,0.0,0.0,BL_transcriptome,gene-OL_7,4036,96,258254.26174686532,68667.70763917017
5,ATP6_COX3,Oryzias_latipes,0.5712658203000103,76437.4737300042,191169.9027794524,86814.93349052535,217123.89990557375,COX3,ATP6,True,True,99.5,False,NC_004387.1,gene,1.0,894750.03,8773,9071,299,9077.791241086255,9816.28359749644,5557.859531772575,6010.0,1.8073316942585016,2.020113059751664,0.0,0.0,BL_transcriptome,gene-OL_8,219,96,14013.301120555874,3726.0227881512064
6,COX3_ND3,Oryzias_latipes,0.2981244678243776,191169.9027794524,33488.010405382,217123.89990557375,38034.47777908527,ND3,COX3,True,True,99.5,False,NC_004387.1,gene,70.0,838446.7,9557,9855,299,1537.2210854376947,1845.657315336269,941.1605351170568,1130.0,-0.36532832095860496,-0.2764587726204119,0.0,0.0,BL_transcriptome,gene-OL_9,318,165,11838.88353696775,3147.862838707072
7,ND3_ND4L,Oryzias_latipes,0.7556606888637482,33488.010405382,20336.55353096567,38034.47777908527,23097.526070177682,ND4L,ND3,True,True,99.4,False,NC_004387.1,gene,70.0,214801.44000000003,9975,10273,299,1046.704618658695,1167.8274163410906,640.8428093645485,715.0,-0.5066605401645992,-0.471761500168447,0.0,0.0,BL_transcriptome,gene-OL_10,187,165,6961.859186833239,1851.101732195668
8,ND4L_ND4,Oryzias_latipes,0.780823580274411,20336.55353096567,31753.45513352326,23097.526070177682,36064.43228681848,ND4,ND4L,True,True,99.6,False,NC_004387.1,gene,1.0,227268.59,10334,10632,299,2130.331123825094,2120.05592504998,1304.2909698996655,1298.0,-0.19443587669656345,-0.1973964636371109,0.0,0.0,BL_transcriptome,gene-OL_11,911,96,58292.77315445847,15499.574246601594
9,ND4_ND5,Oryzias_latipes,0.5951687733930808,31753.45513352326,13452.623051707857,36064.43228681848,15279.005421246558,ND5,ND4,True,True,98.9,False,NC_004387.1,gene,218.0,224261.43000000002,11715,12013,299,279.8393848227022,161.699180724151,171.33110367892976,99.0,-0.7276169660347959,-0.7616566331072173,0.0,0.0,BL_transcriptome,gene-OL_12gene-OL_13,93,192,5950.853900510028,1582.2836497628414
10,ND5_ND6,Oryzias_latipes,0.950336773097427,13452.623051707857,12179.642053748665,15279.005421246558,13833.199388162693,ND6,ND5,True,False,84.4,True,NC_004387.1,gene,1.0,108238.12000000001,13766,14064,299,878.0679034080191,857.4956553553462,537.5953177257525,525.0,-0.555249737103274,-0.5611772067567041,0.0,0.0,BL_transcriptome,gene-OL_14,454,96,29050.40506270488,7724.266419272364
11,ND6_CYTB,Oryzias_latipes,0.2056189258431389,12179.642053748665,106288.46105306543,13833.199388162693,120718.61126292175,CYTB,ND6,False,True,99.2,True,NC_004387.1,gene,72.0,108286.09,14288,14586,299,4357.547375494636,5125.374031438239,2667.8996655518395,3138.0,0.4472906234699142,0.6685240633228521,0.0,0.0,BL_transcriptome,gene-OL_15,271,167,9968.283759942624,2650.485572869105
