,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_ND6,Physella_acuta,0.7988375395225187,50443.90942313329,33547.908641312424,20491.787263614257,13628.138954307075,ND6,COX1,True,True,2.6,False,NC_023253.1,gene,87.0,168113.38,1529,1827,299,1067.5459052633644,1191.9387991473163,728.1538461538462,813,-0.7290081416243519,-0.6835465115803383,0,0,popphyl,gene-PA_0,53,182,4377.330215647998,426.9410293905883
1,ND6_ND5,Physella_acuta,0.7517812663133279,33547.908641312424,55701.212464959746,13628.138954307075,22627.457094629677,ND5,ND6,True,True,27.3,False,NC_023253.1,gene,25.0,239962.19,2039,2337,299,1990.6197294278782,1690.41258968863,1357.7658862876253,1153,-0.39165413861651815,-0.5013702606333392,0,0,popphyl,gene-PA_1,211,120,26430.54008511233,2577.8914167700273
2,ND5_ND1,Physella_acuta,0.8276905040352369,55701.212464959746,78893.08864976805,22627.457094629677,32048.673619240064,ND1,ND5,True,True,35.2,False,NC_023253.1,gene,1.0,530135.76,3613,3911,299,4074.6285186103282,4069.891889831428,2779.230769230769,2776,0.3699845179346489,0.3682534313871886,0,0,popphyl,gene-PA_2,40,96,6263.161157609556,610.8747433104329
3,ND1_COX2,Physella_acuta,0.2120397503232574,78893.08864976805,9356.176023796892,32048.673619240064,3800.7515847423656,COX2,ND1,True,True,3.5,False,NC_023253.1,gene,148.0,614581.0900000001,4520,4818,299,1391.1910217760474,1426.5147005785227,948.9063545150501,973,-0.6107261876232045,-0.5978165111346916,0,0,popphyl,gene-PA_3gene-PA_4,82,192,12839.48037309959,1252.2932237863872
4,COX2_ND4L,Physella_acuta,0.9397684286992496,9356.176023796892,10555.486760506137,3800.7515847423656,4287.946585301619,ND4L,COX2,True,True,9.2,False,NC_023253.1,,354.0,290056.88,5328,5626,299,1314.0712521750854,1313.6250480147548,896.304347826087,896,-0.638911000478747,-0.6390740738491589,0,0,popphyl,gene-PA_5gene-PA_6,0,192,0.0,0.0
5,ND4L_ATP6,Physella_acuta,0.22093848572815533,10555.486760506137,84995.87655872753,4287.946585301619,34527.80406284531,ATP6,ND4L,True,False,2.4,True,NC_023253.1,gene,128.0,291014.23,5961,6259,299,3038.7434953607863,2880.8852894520005,2072.672240802676,1965,-0.008598375546700357,-0.06629050837168265,0,0,popphyl,gene-PA_7gene-PA_8,95,192,14875.00774932269,1450.8275153622778
6,ATP6_COX3,Physella_acuta,0.6238774504950185,84995.87655872753,38533.63989211797,34527.80406284531,15653.488403099152,COX3,ATP6,False,False,19.1,False,NC_023253.1,,1062.0,641811.77,6719,7017,299,3826.4066152208643,2715.216059066212,2609.923076923077,1852,0.27926733957846206,-0.12683732118642058,0,0,popphyl,gene-PA_10gene-PA_9,85,192,13309.217459920306,1298.1088295346697
7,COX3_ND2,Physella_acuta,0.9547961172656303,38533.63989211797,42182.314425902514,15653.488403099152,17135.686416605844,ND2,COX3,False,True,26.5,True,NC_023253.1,gene,132.0,498350.04000000004,8558,8856,299,2338.0313466562184,2551.0129280643678,1594.7290969899666,1740,-0.2646862876220586,-0.1868483214983732,0,0,popphyl,gene-PA_11gene-PA_12,175,192,27401.33006454181,2672.577001983144
8,ND2_CYTB,Physella_acuta,0.9481585683469494,42182.314425902514,46795.027200497665,17135.686416605844,19009.50488083876,CYTB,ND2,True,True,2.4,False,NC_023253.1,,1615.0,500819.12,9536,9834,299,2320.1880835853935,1463.1671851771491,1582.5585284280937,998,-0.27120743042351614,-0.5844211985650594,0,0,popphyl,gene-PA_13gene-PA_14,137,192,21451.32696481273,2092.2459958382324
9,CYTB_ATP8,Physella_acuta,0.2991723248632622,46795.027200497665,8231.155504032457,19009.50488083876,3343.735437067633,ATP8,CYTB,True,False,2.2,True,NC_023253.1,gene,236.0,218935.59999999998,12270,12568,299,210.45145671879962,168.60142915367948,143.54515050167225,115,-1.042248789991787,-1.0575436385244716,0,0,popphyl,gene-PA_15gene-PA_16,163,192,25522.38171725894,2489.314578990014
10,ATP8_ND3,Physella_acuta,0.9733724815227296,8231.155504032457,7804.174459148722,3343.735437067633,3170.2832832315803,ND3,ATP8,False,False,1.8,False,NC_023253.1,gene,71.0,33413.31,12620,12918,299,283.3347384678266,274.16058479772227,193.25752508361205,187,-1.015612278147639,-1.0189651383239309,0,0,popphyl,gene-PA_17,47,166,4255.931196255168,415.1004279844387
11,ND3_ND4,Physella_acuta,0.3468966409872999,7804.174459148722,37190.0603477224,3170.2832832315803,15107.687205088288,ND4,ND3,False,True,22.8,True,NC_023253.1,gene,144.0,47260.20999999999,13042,13340,299,690.1748658413643,889.9223260546387,470.75585284280936,607,-0.86692520463225,-0.7939238871541082,0,0,popphyl,gene-PA_18gene-PA_19,110,192,17223.693183426276,1679.9055441036908
