,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX3_ND3,Bombyx_mori,0.3299357569249778,222695.80782346058,43995.49910904368,224844.82532220532,44420.05625888592,ND3,COX3,True,True,96.7,False,NC_002355.1,gene,71.0,1029130.2999999999,242,540,299,1150.780827710319,1659.4644450802136,4311.966555183946,6218,0.23138195127903208,0.8979993216883813,0,0,BM_transcriptome_random,gene-BM_0,1047,260,10791.709027615125,1074.7082131275104
1,ND3_ND5,Bombyx_mori,0.3455363449650586,43995.49910904368,9188.50281829333,44420.05625888592,9277.171992341864,ND5,ND3,True,False,92.2,True,NC_002355.1,gene,484.0,643438.35,664,962,299,11.55709641923089,10.942110364793947,43.30434782608695,41,-1.2615427314299272,-1.2623486555297936,0,0,BM_transcriptome_random,gene-BM_1gene-BM_2,388,380,5472.616531975136,544.9985650243968
2,ND5_ND4,Bombyx_mori,0.7745620249118955,9188.50281829333,14537.170588787269,9277.171992341864,14677.454477751655,ND4,ND5,False,False,97.0,False,NC_002355.1,gene,135.0,37408.91,2867,3165,299,293.09574846948277,194.28917916024372,1098.227424749164,728,-0.8925932518522106,-1.022076830963032,0,0,BM_transcriptome_random,gene-BM_3,554,324,4582.280260879652,456.3331181945082
3,ND4_ND4L,Bombyx_mori,0.20552870406477597,14537.170588787269,1665.0061991238879,14677.454477751655,1681.0735310256732,ND4L,ND4,False,False,98.4,False,NC_002355.1,gene,1.0,192575.49,4353,4644,292,164.42138559099047,144.91624214836858,616.0856164383562,543,-1.0612178398911558,-1.0867788506789722,0,0,BM_transcriptome_random,gene-BM_4,416,190,5867.547621911485,584.3283583766729
4,ND4L_ND6,Bombyx_mori,0.34776143345665833,1665.0061991238879,350.44875131617783,1681.0735310256732,353.8305864138045,ND6,ND4L,False,True,95.6,True,NC_002355.1,gene,137.0,142531.41,4645,4943,299,58.26211860278648,54.977432564574464,218.30769230769232,206,-1.2003369484839537,-1.2046414487561172,0,0,BM_transcriptome_random,gene-BM_5,88,326,723.4057650893702,72.04142691170637
5,ND6_CYTB,Bombyx_mori,0.009301105218442962,350.44875131617783,75005.91870946133,353.8305864138045,75729.72681968777,CYTB,ND6,True,True,96.0,False,NC_002355.1,gene,50.0,144011.47,5313,5611,299,1414.9320656235136,1888.1812397784681,5301.739130434783,7075,0.5775456522421477,1.1977270562643851,0,0,BM_transcriptome_random,gene-BM_6,1719,239,19275.021411253932,1919.5313518808853
6,CYTB_ND1,Bombyx_mori,0.7656214092477164,75005.91870946133,120928.82868262265,75729.72681968777,122095.79348309015,ND1,CYTB,True,False,93.4,True,NC_002355.1,gene,94.0,946582.1900000001,6515,6813,299,981.0277177088839,1123.3010372053102,3675.903010033445,4209,0.008924675392985953,0.19537036163798246,0,0,BM_transcriptome_random,gene-BM_7,1365,283,12925.968977157041,1287.2516287118622
7,ND1_ND2,Bombyx_mori,0.02348877921003134,120928.82868262265,1437.1132969933535,122095.79348309015,1450.98145936741,ND2,ND1,False,True,2.0,True,NC_002355.1,gene,3064.0,720008.6699999999,7542,7840,299,1233.6870173769746,1593.8117828914499,4622.615384615385,5972,0.3400284739093378,0.8119631224985364,0,0,BM_transcriptome_random,gene-BM_8gene-BM_9,993,380,14005.949010956985,1394.8030285289328
8,ND2_COX1,Bombyx_mori,0.01227928729141714,1437.1132969933535,232634.01198694142,1450.98145936741,234878.93328765774,COX1,ND2,True,True,95.7,False,NC_002355.1,gene,221.0,417300.16,11611,11909,299,541.6813233880084,305.31156725181165,2029.675585284281,1144,-0.5668279694342675,-0.876584721763945,0,0,BM_transcriptome_random,gene-BM_10gene-BM_11,908,380,12807.051059364494,1275.4090129952378
9,COX1_COX2,Bombyx_mori,0.7730421931237659,232634.01198694142,146570.57138698013,234878.93328765774,147984.97934458894,COX2,COX1,True,True,97.9,False,NC_002355.1,gene,68.0,1212593.76,13362,13660,299,1414.1028609144114,1685.0849961782678,5298.632107023412,6314,0.5764589998636589,0.9315744238112474,0,0,BM_transcriptome_random,gene-BM_12,4982,257,51950.23222789748,5173.540271178081
10,COX2_ATP8,Bombyx_mori,0.023651386276415165,146570.57138698013,1754.041355131675,147984.97934458894,1770.9678774696615,ATP8,COX2,True,True,97.7,False,NC_002355.1,gene,138.0,1132857.46,14111,14402,292,149.46144051490052,115.826241422453,560.0308219178082,434,-1.0808224800005686,-1.1249005812143098,0,0,BM_transcriptome_random,gene-BM_13,1912,292,17547.769857152307,1747.5204658775501
11,ATP8_ATP6,Bombyx_mori,0.03994648371467602,1754.041355131675,86065.52082011191,1770.9678774696615,86896.05423737147,ATP6,ATP8,True,True,99.5,False,NC_002355.1,gene,1.0,220657.43000000002,14403,14701,299,1020.0378273012908,954.8992898837255,3822.073578595318,3578,0.060046464630718194,-0.02531598669044044,0,0,BM_transcriptome_random,gene-BM_14,1456,190,20536.4166766902,2045.1492543183551
