,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Hypsibius_dujardini,0.6489997920800903,26251.388473245253,54646.59884076512,24070.682001945646,50107.0983168967,COX2,COX1,True,True,100.0,False,NC_014848.1,gene,55.0,1527673.45,1565,1863,299,845.3057564361546,1060.6897085248308,6009.722408026756,7541.0,0.2458845416434423,0.8347484771542586,0,0,HD_transcriptome,gene-HD_0,29611,248,118187.45924794376,16794.25749939512
1,COX2_ATP8,Hypsibius_dujardini,0.4868697622039453,54646.59884076512,17583.269383083818,50107.0983168967,16122.624763490676,ATP8,COX2,True,True,100.0,False,NC_014848.1,gene,72.0,1347258.1800000002,2289,2517,229,536.4898179450475,392.9939060626413,3814.187772925764,2794.0,-0.5984242711759533,-0.9907448994370488,0,0,HD_transcriptome,gene-HD_1,698,229,3017.101656229201,428.72553855536285
2,ATP8_ATP6,Hypsibius_dujardini,0.9064948732170032,17583.269383083818,14576.194623842912,16122.624763490676,13365.34812040814,ATP6,ATP8,True,True,100.0,False,NC_014848.1,gene,1.0,1195225.0899999999,2518,2816,299,965.8562652517642,980.0936068162081,6866.779264214047,6968.0,0.5754719893645437,0.6143971595248465,0,0,HD_transcriptome,gene-HD_2,10128,194,51676.36602747363,7343.13270816409
3,ATP6_COX3,Hypsibius_dujardini,0.4689834587442572,14576.194623842912,47584.61020655303,13365.34812040814,43631.7500552716,COX3,ATP6,True,True,100.0,False,NC_014848.1,gene,1.0,1596273.8800000001,3176,3474,299,939.7732108859227,1070.3949982593774,6681.341137123746,7610.0,0.5041604088356116,0.8612829290153919,0,0,HD_transcriptome,gene-HD_3,1224,194,6245.248027016955,887.4402088065608
4,COX3_ND3,Hypsibius_dujardini,0.9071959614108829,47584.61020655303,39502.568329111855,43631.7500552716,36221.08451441593,ND3,COX3,True,True,100.0,False,NC_014848.1,gene,70.0,1308592.55,3962,4260,299,749.7949045441288,1057.454611946649,5330.685618729097,7518.0,-0.015243994553040336,0.8259036598672141,0,0,HD_transcriptome,gene-HD_4,1657,263,6236.440208096675,886.1886311865958
5,ND3_ND5,Hypsibius_dujardini,0.5170960164800152,39502.568329111855,13774.742633859858,36221.08451441593,12630.472858081732,ND5,ND3,True,False,100.0,True,NC_014848.1,gene,268.0,1326683.29,4371,4669,299,152.28992514975812,48.385792299766855,1082.7090301003345,344.0,-1.6488342887297283,-1.9329102191439589,0,0,HD_transcriptome,gene-HD_5gene-HD_6,3123,388,15934.566657168263,2264.277591587328
6,ND5_ND4,Hypsibius_dujardini,0.8521873326465756,13774.742633859858,18553.225891747417,12630.472858081732,17012.006850824993,ND4,ND5,False,False,100.0,False,NC_014848.1,gene,74.0,1127925.12,6257,6555,299,723.7316079296745,1003.3019083553403,5145.387959866221,7133.0,-0.08650155700344164,0.6778491096275567,0,0,HD_transcriptome,gene-HD_7,1487,267,5512.7679259314245,783.3559048618733
7,ND4_ND4L,Hypsibius_dujardini,0.8624313147539417,18553.225891747417,14065.860994833534,17012.006850824993,12897.407976544773,ND4L,ND4,False,False,100.0,False,NC_014848.1,gene,2.0,1707703.5,7640,7929,290,797.2815488303754,866.5135856474237,5668.293103448276,6160.5,0.1145854192330378,0.30386716129491587,0,0,HD_transcriptome,gene-HD_8,7080,195,35939.220169550565,5106.908310708845
8,ND4L_ND1,Hypsibius_dujardini,0.8849676146356111,14065.860994833534,17722.55874440225,12897.407976544773,16250.343338299284,ND1,ND4L,False,False,50.0,False,NC_014848.1,gene,288.0,1466904.8000000003,7930,8228,299,274.5047893083376,215.48556338151985,1951.5986622073578,1532.0,-1.314696460964776,-1.476056178404445,0,0,HD_transcriptome,gene-HD_10gene-HD_9,13344,388,68085.44907885151,9674.838354832309
9,ND1_ND2,Hypsibius_dujardini,0.8277262264556479,17722.55874440225,25099.7131081905,16250.343338299284,23014.6764687541,ND2,ND1,False,True,50.0,True,NC_014848.1,gene,239.0,1396311.4200000002,9117,9415,299,469.1797954082494,392.0093114518903,3335.6454849498327,2787.0,-0.7824511886225332,-0.9934368003504972,0,0,HD_transcriptome,gene-HD_11gene-HD_12,4560,388,23266.610296729836,3306.1497975146376
