,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Artemia_franciscana,0.16836620132991909,13513.970035569717,147016.70570366192,4949.397217710821,53843.84250161165,COX1,ND2,True,True,95.7,False,NC_001620.1,,389.0,244668.11,956,1254,299,188.91428593076031,189.625414069252,673.4648829431438,676,-0.9670118872567226,-0.965985317743645,0,0,popphyl,gene-AF_0gene-AF_1,137,192,4314.567719943794,400.31252661932206
1,COX1_COX2,Artemia_franciscana,0.5782495644035285,147016.70570366192,59794.14101429043,53843.84250161165,21899.186870519152,COX2,COX1,True,True,97.9,False,NC_001620.1,gene,63.0,746456.47,2879,3177,299,858.3279105043775,987.6791167719472,3059.872909698997,3521,-0.0006605626089951039,0.18606809801703436,0,0,popphyl,gene-AF_2,784,158,15001.92298225306,1391.9025225666016
2,COX2_ATP8,Artemia_franciscana,0.6775012411794992,59794.14101429043,30631.86599023656,21899.186870519152,11218.707153140143,ATP8,COX2,True,True,97.7,False,NC_001620.1,gene,129.0,631263.38,3624,3906,283,588.5367900576298,235.06819081365853,2098.0883392226146,838,-0.3901253076505532,-0.9003850880940035,0,0,popphyl,gene-AF_3gene-AF_4,152,192,4786.965645485086,444.1423653002697
3,ATP8_ATP6,Artemia_franciscana,0.9506747991609614,30631.86599023656,33810.49856443845,11218.707153140143,12382.859151218523,ATP6,ATP8,True,True,99.5,False,NC_001620.1,gene,1.0,733761.79,3907,4205,299,952.8319616583124,973.3730574264857,3396.7725752508363,3470,0.13576348324957327,0.1654161738680731,0,0,popphyl,gene-AF_5,3305,96,104085.00959426453,9657.17445603547
4,ATP6_COX3,Artemia_franciscana,0.7277216723551966,33810.49856443845,59111.012086781375,12382.859151218523,21648.99566806333,COX3,ATP6,True,True,97.8,False,NC_001620.1,gene,1.0,900739.07,4566,4864,299,1203.3958034791845,1277.4469462594286,4290.0133779264215,4554,0.49747213626160114,0.6043707969557977,0,0,popphyl,gene-AF_6,57,96,1795.112117056907,166.55338698760113
5,COX3_ND3,Artemia_franciscana,0.4885985008246796,59111.012086781375,19109.119518268177,21648.99566806333,6998.581669759699,ND3,COX3,True,True,96.7,False,NC_001620.1,gene,62.0,727065.23,5341,5639,299,509.13303510051475,596.6468279960044,1815.020066889632,2127,-0.5047508858701275,-0.3784178287212388,0,0,popphyl,gene-AF_7,122,157,2349.352230972231,217.97667542728627
6,ND3_ND5,Artemia_franciscana,0.9640973068712482,19109.119518268177,20532.355221003414,6998.581669759699,7519.831813775396,ND5,ND3,True,False,92.2,True,NC_001620.1,,397.0,491894.58999999997,5739,6037,299,276.45716190315443,253.86242564004885,985.5484949832776,905,-0.8406368463942365,-0.8732541289179172,0,0,popphyl,gene-AF_8gene-AF_9,532,192,16754.379759197796,1554.4982785509437
7,ND5_ND4,Artemia_franciscana,0.7985199400180318,20532.355221003414,30893.674842916495,7519.831813775396,11314.59281838992,ND4,ND5,False,False,97.0,False,NC_001620.1,gene,70.0,371338.58999999997,7763,8061,299,614.3621744856329,621.3317931411141,2190.153846153846,2215,-0.3528443298882117,-0.3427831360720508,0,0,popphyl,gene-AF_10,43,165,787.9024794482627,73.10285821210181
8,ND4_ND4L,Artemia_franciscana,0.6747912320159668,30893.674842916495,15730.94097503245,11314.59281838992,5761.347353062739,ND4L,ND4,False,False,98.4,False,NC_001620.1,gene,33.0,520839.27,8983,9273,291,507.85112941325997,529.8852177171849,1810.4501718213057,1889,-0.5066014177587508,-0.4747934747497245,0,0,popphyl,gene-AF_11,2012,128,47523.23130945391,4409.281771303336
9,ND4L_ND6,Artemia_franciscana,0.8754967167972887,15730.94097503245,20205.09550167491,5761.347353062739,7399.975225367248,ND6,ND4L,False,True,95.6,True,NC_001620.1,gene,129.0,514078.28,9274,9572,299,412.9149587367853,420.2054294019815,1472.0100334448161,1498,-0.6436492622041466,-0.6331248932250937,0,0,popphyl,gene-AF_12gene-AF_13,91,192,2865.880748283834,265.9010213310826
10,ND6_CYTB,Artemia_franciscana,0.3008148365957626,20205.09550167491,114130.66885310445,7399.975225367248,41799.56100170651,CYTB,ND6,True,True,96.0,False,NC_001620.1,gene,10.0,548543.55,9871,10169,299,1656.7005888892452,1918.133996162049,5906.010033444816,6838,1.151853319687893,1.5292530470779038,0,0,popphyl,gene-AF_14,635,105,18284.049232379122,1696.4234704702033
11,CYTB_ND1,Artemia_franciscana,0.39376087683545835,114130.66885310445,27978.519258624805,41799.56100170651,10246.937429180733,ND1,CYTB,True,False,93.4,True,NC_001620.1,gene,76.0,982798.57,11027,11325,299,573.9273159513432,612.3554421792561,2046.0066889632108,2183,-0.411215234919376,-0.355741206126301,0,0,popphyl,gene-AF_15,692,171,12234.830015422634,1135.1671903519361
