,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Blattella_germanica,0.2533444077261563,22076.55510413154,152204.41918123278,19057.57565857537,131390.3922253259,COX1,ND2,True,True,95.7,False,NC_012901.1,gene,193.0,517.7,1245,1543,299,2931.0924683769035,2094.972067039106,4.197324414715719,3.0,-0.5010442066107041,-0.5782886318337174,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_0gene-BG_1,1,384,11570.435316453384,3637.104283054004
1,COX1_COX2,Blattella_germanica,0.39780346961156055,152204.41918123278,37790.27409691589,131390.3922253259,32622.436080414307,COX2,COX1,True,True,97.9,False,NC_012901.1,gene,69.0,2548.84,2974,3272,299,2879.710767736033,2094.972067039106,4.1237458193979935,3.0,-0.5057910707305534,-0.5782886318337174,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_2,4,260,34177.285857831535,10743.446497636443
2,COX2_ATP8,Blattella_germanica,0.4242799628367916,37790.27409691589,10175.447231284348,32622.436080414307,8783.94996662099,ATP8,COX2,True,True,97.7,False,NC_012901.1,gene,140.0,733.0799999999999,3728,4018,291,1478.2391675785664,698.3240223463687,2.1168384879725086,1.0,-0.6352650891223192,-0.7073170292732739,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_3,1,291,7634.101652092955,2399.738908406766
3,ATP8_ATP6,Blattella_germanica,0.3028685790527018,10175.447231284348,57018.36510217485,8783.94996662099,49221.076464942285,ATP6,ATP8,True,True,99.5,False,NC_012901.1,gene,1.0,684.76,4019,4317,299,5058.761981278381,4888.268156424581,7.2441471571906355,7.0,-0.3044808787387395,-0.3202318369546044,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_4,1,192,11570.435316453384,3637.104283054004
4,ATP6_COX3,Blattella_germanica,0.34583458893789554,57018.36510217485,272725.1997464767,49221.076464942285,235429.89853502423,COX3,ATP6,True,True,97.8,False,NC_012901.1,gene,1.0,3546.7000000000003,4699,4997,299,29493.096167859345,33519.5530726257,42.23411371237458,48.0,1.9528687768007922,2.3248503105563034,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_5,19,192,219838.27101261425,69104.98137802607
5,COX3_ND3,Blattella_germanica,0.032963589647176716,272725.1997464767,4570.327993712463,235429.89853502423,3945.333459584005,ND3,COX3,True,True,96.7,False,NC_012901.1,gene,67.0,8364.31,5489,5787,299,1630.201229423965,1396.6480446927374,2.3344481605351173,2.0,-0.6212261754632689,-0.6428028305534956,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_6,10,258,86105.5651456996,27066.822571564684
6,ND3_ND5,Blattella_germanica,0.6529680365296804,4570.327993712463,9428.299008008227,3945.333459584005,8138.974619421548,ND5,ND3,True,False,92.2,True,NC_012901.1,,409.0,824.52,5910,6208,299,1760.9910128734516,2094.972067039106,2.5217391304347827,3.0,-0.6091432486127395,-0.5782886318337174,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_7gene-BG_8,0,384,0.0,0.0
7,ND5_ND4,Blattella_germanica,0.4024265721664966,9428.299008008227,37428.93985298549,8138.974619421548,32310.514466772285,ND4,ND5,False,False,97.0,False,NC_012901.1,gene,79.0,614.55,8035,8333,299,2424.282057510139,2094.972067039106,3.471571906354515,3.0,-0.5478655481564977,-0.5782886318337174,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_9,4,270,32911.460455689616,10345.541071798056
8,ND4_ND4L,Blattella_germanica,0.7664387164650183,37428.93985298549,60240.81259797598,32310.514466772285,52002.85272792108,ND4L,ND4,False,False,98.4,False,NC_012901.1,gene,1.0,1416.75,9446,9728,283,5278.145172434208,5586.5921787709485,7.5583038869257955,8.0,-0.28421330904744907,-0.2557176382348261,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_10,2,192,23140.870632906768,7274.208566108008
9,ND4L_ND6,Blattella_germanica,0.6979766103582699,60240.81259797598,32293.335524435362,52002.85272792108,27877.206480892964,ND6,ND4L,False,True,95.6,True,NC_012901.1,gene,135.0,1981.4299999999998,9729,10027,299,3601.3901085555203,2793.2960893854747,5.157190635451505,4.0,-0.43911920650175396,-0.5137744331139391,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_11,13,326,88588.36364990074,27847.27696473249
10,ND6_CYTB,Blattella_germanica,0.2835815296897858,32293.335524435362,195460.11202739592,27877.206480892964,168730.8484328969,CYTB,ND6,True,True,96.0,False,NC_012901.1,gene,1.0,3169.6800000000003,10363,10661,299,23892.49079800452,23044.692737430167,34.214046822742475,33.0,1.4354605877371536,1.35713732975963,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_12,15,192,173556.52974680075,54556.564245810056
11,CYTB_ND1,Blattella_germanica,0.3542913980757093,195460.11202739592,42079.03894848003,168730.8484328969,36324.71029190241,ND1,CYTB,True,False,93.4,True,NC_012901.1,gene,87.0,5966.34,11498,11796,299,3377.1790512135462,2793.2960893854747,4.8361204013377925,4.0,-0.4598327953883721,-0.5137744331139391,0.0,0.0,BL_cockroach_transcriptome_polya,gene-BG_13,7,278,55937.64411983218,17583.698404404968
