,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,CYTB_ND1,Branchiostoma_lanceolatum,0.06032345307164888,223438.22361622608,6948.872593252972,83171.15196104826,2586.6019209142887,ND1,CYTB,True,True,0.1,False,NC_001912.1,,2552.0,909697.4199999999,1145,1443,299,2016.6040992789196,1994.0224086940275,3604.361204013378,3564.0,-0.518970819800151,-0.5398432382699457,0.0,0.0,BL_transcriptome,gene-BL_0gene-BL_1,143,348,2702.1231078119645,459.8107583550156
1,ND1_ND2,Branchiostoma_lanceolatum,0.5611619361095097,6948.872593252972,2710.133194325149,2586.6019209142887,1008.8018786214934,ND2,ND1,True,True,99.4,False,NC_001912.1,gene,197.0,1753314.0899999999,4639,4937,299,3710.747345465949,3711.6567506386573,6632.374581939799,6634.0,1.0469379260159757,1.0477784957355891,0.0,0.0,BL_transcriptome,gene-BL_2gene-BL_3,1116,348,21087.897820406663,3588.4531910783035
2,ND2_COX1,Branchiostoma_lanceolatum,0.030897152360819247,2710.133194325149,172719.1855128491,1008.8018786214934,64291.83598215133,COX1,ND2,True,True,99.5,False,NC_001912.1,,325.0,2133299.23,5877,6175,299,4228.730310690329,4230.863483317687,7558.1872909699,7562.0,1.5257132935973177,1.5276850003470346,0.0,0.0,BL_transcriptome,gene-BL_4gene-BL_5,650,348,12282.377762781658,2090.048901613707
3,COX1_COX2,Branchiostoma_lanceolatum,0.07516813454984084,172719.1855128491,6744.993788292491,64291.83598215133,2510.711436311573,COX2,COX1,True,True,99.5,False,NC_001912.1,gene,141.0,2138107.0,7750,8048,299,2514.9918155967025,2251.3878149788898,4495.15050167224,4024.0,-0.05830748123899865,-0.3019585484841001,0.0,0.0,BL_transcriptome,gene-BL_6,44910,314,470253.18886239687,80021.32647641379
4,COX2_ATP8,Branchiostoma_lanceolatum,0.01074636890269498,6744.993788292491,36.43788321522068,2510.711436311573,13.563394270612026,ATP8,COX2,True,True,99.5,False,NC_001912.1,gene,37.0,1149548.74,8611,8804,194,1952.0318179778915,1946.4657575326935,3488.9484536082473,3479.0,-0.5786554422511425,-0.5838001918173303,0.0,0.0,BL_transcriptome,gene-BL_7,5,194,84.73964039349754,14.419845712957375
5,ATP8_ATP6,Branchiostoma_lanceolatum,0.4220268394261917,36.43788321522068,136.2425238639282,13.563394270612026,50.71400708638926,ATP6,ATP8,True,True,99.6,False,NC_001912.1,gene,1.0,903453.84,8805,9103,299,1952.7137078859398,1951.5011676556585,3490.1672240802677,3488.0,-0.5780251665214547,-0.5791459261476073,0.0,0.0,BL_transcriptome,gene-BL_8,25,174,472.3991447223714,80.3864962159118
6,ATP6_COX3,Branchiostoma_lanceolatum,0.04072152976697374,136.2425238639282,6555.182117772423,50.71400708638926,2440.05720787517,COX3,ATP6,True,True,99.5,False,NC_001912.1,gene,1.0,1050657.92,9488,9786,299,1904.0979552271754,1900.5875764123487,3403.274247491639,3397.0,-0.6229610551744008,-0.6262057234748072,0.0,0.0,BL_transcriptome,gene-BL_9,197,174,3722.5052604122857,633.445590181385
7,COX3_ND3,Branchiostoma_lanceolatum,0.014149086276168954,6555.182117772423,46.705337595780755,2440.05720787517,17.385282910424312,ND3,COX3,True,True,99.5,False,NC_001912.1,gene,1.0,1138525.47,10277,10575,299,2008.8124055769424,2019.1994593088507,3590.4347826086955,3609.0,-0.5261727381385857,-0.5165719099213304,0.0,0.0,BL_transcriptome,gene-BL_10,8,174,151.16772631115884,25.723678789091768
8,ND3_ND4L,Branchiostoma_lanceolatum,0.5183016105417275,46.705337595780755,16.337637854650573,17.385282910424312,6.081413191986371,ND4L,ND3,True,True,99.4,False,NC_001912.1,gene,67.0,1091577.24,10632,10930,299,1992.261605674431,1996.819858762341,3560.8528428093646,3569.0,-0.5414707611221226,-0.5372575351200997,0.0,0.0,BL_transcriptome,gene-BL_11,2,240,27.399150393897546,4.662416780522883
9,ND4L_ND4,Branchiostoma_lanceolatum,0.010399807155893726,16.337637854650573,3125.5740552658667,6.081413191986371,1163.442809868227,ND4,ND4L,True,True,99.6,False,NC_001912.1,gene,1.0,1071990.42,10973,11271,299,1989.6924425013246,1987.868018543737,3556.2608695652175,3553.0,-0.5438454570584051,-0.5455317851996073,0.0,0.0,BL_transcriptome,gene-BL_12,0,174,0.0,0.0
10,ND4_ND5,Branchiostoma_lanceolatum,0.7703322859875233,3125.5740552658667,4989.298220297798,1163.442809868227,1857.1830447959271,ND5,ND4,True,True,98.9,False,NC_001912.1,gene,199.0,983434.4000000001,12333,12631,299,1673.500123007347,1658.3284004963793,2991.1170568561874,2964.0,-0.8361042843859632,-0.8501276162514836,0.0,0.0,BL_transcriptome,gene-BL_13gene-BL_14,1,348,18.895965788894856,3.215459848636472
11,ND5_ND6,Branchiostoma_lanceolatum,0.9398841604871054,4989.298220297798,5627.5382581721415,1857.1830447959271,2094.7572535349245,ND6,ND5,True,False,84.4,True,NC_001912.1,gene,178.0,792493.3899999999,14329,14627,299,1273.5414826049014,1259.4120207548415,2276.2541806020067,2251.0,-1.2057889225536669,-1.2188488854195445,0.0,0.0,BL_transcriptome,gene-BL_15gene-BL_16,432,348,8163.057220802579,1389.0786546109562
