,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX3_ND3,Octopus_bimaculoides,0.11816265077451393,178233.85769652785,11191.501269680508,163532.0564658843,10268.358892212105,ND3,COX3,True,True,44.2,False,NC_029723.1,gene,349.0,473930.13000000006,782,1080,299,64.1541433706351,35.63140397026792,82.82274247491638,46.0,-1.362163739373715,-1.3778936722622472,0,0,OB_cdna,gene-OB_0gene-OB_1,1275,544,30150.071315691348,3630.9175241441494
1,ND3_ND2,Octopus_bimaculoides,0.33718186349935864,11191.501269680508,2269.3830254989266,10268.358892212105,2082.190655944263,ND2,ND3,True,True,50.1,False,NC_029723.1,gene,70.0,337013.63,1479,1777,299,497.7153259834095,490.3191024604259,642.5484949832776,633.0,-1.1230601872975488,-1.1271391117659189,0,0,OB_cdna,gene-OB_2,122,341,2301.190193870167,277.1280941204058
2,ND2_COX1,Octopus_bimaculoides,0.016602505943787094,2269.3830254989266,271108.98927355517,2082.190655944263,248746.28824888828,COX1,ND2,True,True,67.2,False,NC_029723.1,gene,1.0,403482.51,2557,2855,299,4835.381514721912,5112.331873994962,6242.458193979933,6600.0,1.2691082886667275,1.421842936754676,0,0,OB_cdna,gene-OB_3,2164,272,51172.356335024364,6162.592566468971
3,COX1_COX2,Octopus_bimaculoides,0.7817651202704551,271108.98927355517,173975.93447077714,248746.28824888828,159625.35237284694,COX2,COX1,True,True,60.9,False,NC_029723.1,gene,11.0,1240428.92,4091,4389,299,4586.096399232383,4923.330513804845,5920.632107023412,6356.0,1.1316306753940946,1.3176110581156577,0,0,OB_cdna,gene-OB_4,4364,282,99536.5758650985,11987.006392711162
4,COX2_ATP8,Octopus_bimaculoides,0.023060739503872663,173975.93447077714,2029.4066615716586,159625.35237284694,1862.0089867405893,ATP8,COX2,True,True,55.0,False,NC_029723.1,gene,68.0,943219.4099999999,4786,5009,224,505.7107347461075,509.296698053286,652.8705357142857,657.5,-1.1186508196877876,-1.1166732059189681,0,0,OB_cdna,gene-OB_5,202,224,5800.299434066335,698.5193713115411
5,ATP8_ATP6,Octopus_bimaculoides,0.2605731638092673,2029.4066615716586,13547.075827293773,1862.0089867405893,12429.631483983636,ATP6,ATP8,True,True,74.1,False,NC_029723.1,gene,1.0,192059.89,5010,5308,299,1211.8925968657356,1240.9023730515046,1564.5484949832776,1602.0,-0.7292003835878134,-0.7132018560232581,0,0,OB_cdna,gene-OB_6,301,272,7117.781541978898,857.1813135430501
6,ATP6_ND5,Octopus_bimaculoides,0.6756347318828779,13547.075827293773,26554.6986612391,12429.631483983636,24364.30730404873,ND5,ATP6,True,False,18.1,True,NC_029723.1,gene,69.0,279496.32,5728,6026,299,674.8671848095589,534.4710595540188,871.2508361204013,690.0,-1.025363159978433,-1.1027898614281153,0,0,OB_cdna,gene-OB_7,70,340,1324.238426414679,159.47559321731163
7,ND5_ND4,Octopus_bimaculoides,0.7301017139492219,26554.6986612391,46187.7648993545,24364.30730404873,42377.92008303353,ND4,ND5,False,False,47.9,False,NC_029723.1,gene,70.0,236879.86000000002,7489,7787,299,923.9398693607759,724.2470154826196,1192.8026755852843,935.0,-0.8880026997027909,-0.9981308029586088,0,0,OB_cdna,gene-OB_8,262,341,4941.900252409702,595.1439398323469
8,ND4_ND4L,Octopus_bimaculoides,0.24610351723784796,46187.7648993545,6480.981920429248,42377.92008303353,5946.391527756614,ND4L,ND4,False,False,60.5,False,NC_029723.1,gene,1.0,597341.3799999999,8898,9195,298,1669.7164944246483,1716.1168586114907,2155.5973154362414,2215.5,-0.47671624865671325,-0.4511270300190039,0,0,OB_cdna,gene-OB_9,3688,272,87210.55922530957,10502.606924740096
9,ND4L_CYTB,Octopus_bimaculoides,0.19339400110290828,6480.981920429248,60542.626707230374,5946.391527756614,55548.706498499494,CYTB,ND4L,False,False,58.9,False,NC_029723.1,gene,138.0,642338.73,9196,9494,299,1500.2546425201294,1064.294544677133,1936.8227424749164,1374.0,-0.5701723336493695,-0.8105988573744725,0,0,OB_cdna,gene-OB_10,113,409,1777.0604381017106,214.0081135665076
10,CYTB_ND6,Octopus_bimaculoides,0.15852497193777637,60542.626707230374,5211.864431255626,55548.706498499494,4781.958486898826,ND6,CYTB,False,False,48.9,False,NC_029723.1,gene,1.0,552610.51,10465,10763,299,1080.9159702895538,1135.5573526176688,1395.4581939799332,1466.0,-0.80143234970755,-0.7712983129695965,0,0,OB_cdna,gene-OB_11,486,272,11492.49777209882,1384.0203268502403
11,ND6_ND1,Octopus_bimaculoides,0.1978728683564943,5211.864431255626,47467.05486217434,4781.958486898826,43551.686510691165,ND1,ND6,False,False,57.8,False,NC_029723.1,gene,72.0,297256.52,10979,11277,299,1965.6053378651384,846.633142163105,2537.5886287625417,1093.0,-0.3135372641821787,-0.9306363897415392,0,0,OB_cdna,gene-OB_12,100,343,1875.223094464768,225.82966136562248
