,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Laodelphax_striatellus,0.014512629620237583,2872.4049445112596,392976.59274585015,1602.4197925063636,219228.6541669384,COX1,ND2,True,True,95.7,False,NC_013706.1,gene,235.0,5923.420000000001,1178,1476,299,1274.234938856762,132.28701067083034,1319.6321070234114,137.0,-0.04539827274737973,-0.5208452153754741,0.0,0.0,NL_LS_SF_transc,gene-LS_0gene-LS_1,327,192,43798.57538904788,3289.0702926825966
1,COX1_COX2,Laodelphax_striatellus,0.40252897857806136,392976.59274585015,99021.80656915516,219228.6541669384,55240.99345371004,COX2,COX1,True,True,97.9,False,NC_013706.1,gene,66.0,962525.94,2947,3245,299,951.983354578279,647.9166727016581,985.8996655518395,671.0,-0.17956685147202872,-0.3061641950855553,0.0,0.0,NL_LS_SF_transc,gene-LS_2,459,161,36658.12726162945,2752.8556874421324
2,COX2_ATP8,Laodelphax_striatellus,0.008166889597113314,99021.80656915516,406.00799220243135,55240.99345371004,226.4984412675296,ATP8,COX2,True,True,97.7,False,NC_013706.1,gene,113.0,312573.97,3697,3963,267,56.073432856317076,56.004719846044964,58.07116104868914,58.0,-0.5525765331214781,-0.5526051415981401,0.0,0.0,NL_LS_SF_transc,gene-LS_3gene-LS_4,22,192,2946.6931454405294,221.28301663307994
3,ATP8_ATP6,Laodelphax_striatellus,0.003684166432551761,406.00799220243135,220000.9685304259,226.4984412675296,122731.2698431898,ATP6,ATP8,True,True,99.5,False,NC_013706.1,gene,1.0,16174.44,3964,4262,299,1603.6881449353061,253.95243654327282,1660.8227424749164,263.0,0.09176868180710544,-0.4701901431722349,0.0,0.0,NL_LS_SF_transc,gene-LS_5,13,96,1741.2277677603129,130.7581461922745
4,ATP6_COX3,Laodelphax_striatellus,0.3454641613934861,220000.9685304259,45935.813734400115,122731.2698431898,25626.07241487425,COX3,ATP6,True,True,97.8,False,NC_013706.1,gene,1.0,398687.46,4619,4917,299,1096.2450798834734,721.3021676723376,1135.3010033444816,747.0,-0.1195038708914983,-0.2756103420105856,0.0,0.0,NL_LS_SF_transc,gene-LS_6,43,96,5759.445693361035,432.5077143282925
5,COX3_ND3,Laodelphax_striatellus,0.0027872450527292036,45935.813734400115,64.10652508459442,25626.07241487425,35.762911779083616,ND3,COX3,True,True,96.7,False,NC_013706.1,gene,61.0,239304.25,5401,5699,299,72.46510832807088,72.41989635264434,75.04682274247492,75.0,-0.5457519032103938,-0.5457707270945285,0.0,0.0,NL_LS_SF_transc,gene-LS_7,4,156,329.6999323569824,24.75893892398097
6,ND3_ND5,Laodelphax_striatellus,0.0980747451868631,64.10652508459442,1243.1928201739936,35.762911779083616,693.536189859042,ND5,ND3,True,False,92.2,True,NC_013706.1,,371.0,26685.92,5813,6111,299,71.31866180833012,71.4542977346091,73.85953177257525,74.0,-0.5462292231294914,-0.5461727514770938,0.0,0.0,NL_LS_SF_transc,gene-LS_8gene-LS_9,1,192,133.94059752002408,10.058318937867266
7,ND5_ND4,Laodelphax_striatellus,0.7945489540132438,1243.1928201739936,1886.1117088790313,693.536189859042,1052.199390953218,ND4,ND5,False,False,97.0,False,NC_013706.1,gene,1.0,21780.24,7901,8199,299,109.1966089352046,111.04384107405464,113.08695652173913,115.0,-0.5304588419150821,-0.5296897517919128,0.0,0.0,NL_LS_SF_transc,gene-LS_10,10,96,1339.4059752002408,100.5831893786727
8,ND4_ND4L,Laodelphax_striatellus,0.026535378025018264,1886.1117088790313,25.360823110389,1052.199390953218,14.147965099417696,ND4L,ND4,False,False,98.4,False,NC_013706.1,gene,1.0,22673.87,9232,9505,274,60.45563610363064,59.86711431818599,62.60948905109489,62.0,-0.5507520146084354,-0.5509970440678785,0.0,0.0,NL_LS_SF_transc,gene-LS_11,1,96,133.94059752002408,10.058318937867266
9,ND4L_ND6,Laodelphax_striatellus,0.07944497347299684,25.360823110389,613.0892134802601,14.147965099417696,342.0222110848956,ND6,ND4L,False,True,95.6,True,NC_013706.1,gene,132.0,18865.899999999998,9506,9804,299,70.8019535177425,58.901515700150725,73.32441471571906,61.0,-0.5464443532338743,-0.5513990684504438,0.0,0.0,NL_LS_SF_transc,gene-LS_12gene-LS_13,0,192,0.0,0.0
10,ND6_CYTB,Laodelphax_striatellus,0.01629182973185539,613.0892134802601,74650.30643587201,342.0222110848956,41644.938948488016,CYTB,ND6,True,True,96.0,False,NC_013706.1,gene,133.0,24504.48,10149,10447,299,1652.833562223803,112.97503831012516,1711.7190635451504,117.0,0.11223024386021553,-0.5288857030267821,0.0,0.0,NL_LS_SF_transc,gene-LS_14gene-LS_15,20,192,2678.8119504004817,201.1663787573454
11,CYTB_ND1,Laodelphax_striatellus,0.12768850478488136,74650.30643587201,5091.025737378451,41644.938948488016,2840.115012795528,ND1,CYTB,True,False,93.4,True,NC_013706.1,gene,36.0,225340.99,11386,11684,299,162.084931903644,95.59426318549052,167.85953177257525,99.0,-0.508438931168349,-0.536122141912959,0.0,0.0,NL_LS_SF_transc,gene-LS_16,7,131,687.0845918584441,51.59687271944126
