,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Aphis_gossypii,0.6977669374126784,12439.46049077436,6665.353920954997,9889.783299942725,5299.177238800413,COX2,COX1,True,True,97.9,False,NC_024581.1,gene,66.0,29249.9,1568,1866,299,12.364206286681803,10.22414257240515,113.67558528428094,94.0,-0.507779068508346,-0.5161139906615949,0.0,0.0,AGos_pair,gene-AG_0,11,257,47.0353988852626,4.655417182567126
1,COX2_ATP8,Aphis_gossypii,0.01142851589642413,6665.353920954997,38.30644452556177,5299.177238800413,30.4548927688664,ATP8,COX2,True,True,97.7,False,NC_024581.1,gene,147.0,155026.63,2306,2581,276,7.0509697388788535,5.32960623455162,64.82608695652173,49.0,-0.5284725706280734,-0.5351767779422293,0.0,0.0,AGos_pair,gene-AG_1,389,276,1548.8372637537411,153.29908497786008
2,ATP8_ATP6,Aphis_gossypii,0.08932421490102738,38.30644452556177,819.3880690619562,30.4548927688664,651.4406671889999,ATP6,ATP8,True,True,99.5,False,NC_024581.1,gene,1.0,20871.730000000003,2582,2880,299,23.908109381846696,19.034307980541502,219.80936454849498,175.0,-0.4628189427882674,-0.4818009735564531,0.0,0.0,AGos_pair,gene-AG_2,104,192,595.2472260441755,58.915715177866545
3,ATP6_COX3,Aphis_gossypii,0.8256848190388791,819.3880690619562,576.1283686823405,651.4406671889999,458.0411444245173,COX3,ATP6,True,True,97.8,False,NC_024581.1,gene,1.0,44195.19,3235,3533,299,26.154757945398064,18.38170313549436,240.4648829431438,169.0,-0.4540689038254139,-0.4843426785272044,0.0,0.0,AGos_pair,gene-AG_3,45,192,257.55889588449907,25.492376759653787
4,COX3_ND3,Aphis_gossypii,0.05098827838462261,576.1283686823405,15.07214826974283,458.0411444245173,11.98285732431184,ND3,COX3,True,True,96.7,False,NC_024581.1,gene,62.0,39913.87,4022,4320,299,7.131363089355667,6.634815924645894,65.56521739130434,61.0,-0.5281594620447209,-0.5300933680007268,0.0,0.0,AGos_pair,gene-AG_4,12,253,52.12259078769309,5.158931581400293
5,ND3_ND5,Aphis_gossypii,0.1662171313140588,15.07214826974283,166.2827836868769,11.98285732431184,132.2003231887827,ND5,ND3,True,False,92.2,True,NC_024581.1,,1146.0,19335.64,4438,4736,299,6.8563523519779395,6.743583398820418,63.03678929765886,62.0,-0.5292305484203581,-0.5296697505056016,0.0,0.0,AGos_pair,gene-AG_5gene-AG_6,10,384,57.23531019655534,5.664972613256399
6,ND5_ND4,Aphis_gossypii,0.6580499204399712,166.2827836868769,339.0976700504337,132.2003231887827,269.59388446158454,ND4,ND5,False,False,97.0,False,NC_024581.1,gene,118.0,23144.07,7255,7553,299,9.395108881288966,9.027700356485397,86.37792642140468,83.0,-0.5193428343786191,-0.5207737831079722,0.0,0.0,AGos_pair,gene-AG_7,5,309,17.781843944560887,1.7599914914971335
7,ND4_ND4L,Aphis_gossypii,0.013768791510016198,339.0976700504337,2.3506654716225928,269.59388446158454,1.8688569445794307,ND4L,ND4,False,False,98.4,False,NC_024581.1,gene,8.0,28006.61,8683,8981,299,11.483517139603116,11.529352262499422,105.57859531772576,106.0,-0.5112090951160321,-0.5110305807200924,0.0,0.0,AGos_pair,gene-AG_8,4,199,22.088803131132913,2.1862808879301068
8,ND4L_ND6,Aphis_gossypii,0.41794087665647295,2.3506654716225928,8.898128809654304,1.8688569445794307,7.0743072633836,ND6,ND4L,False,True,95.6,True,NC_024581.1,gene,135.0,31749.219999999994,8982,9280,299,11.702870942035387,11.638119736673946,107.59531772575251,107.0,-0.5103547762211804,-0.5106069632249672,0.0,0.0,AGos_pair,gene-AG_9,7,326,23.596397823365145,2.335497911722883
9,ND6_CYTB,Aphis_gossypii,0.0020451310110514154,8.898128809654304,8692.870864542085,7.0743072633836,6911.1203953311715,CYTB,ND6,True,True,96.0,False,NC_024581.1,gene,3.0,38484.119999999995,9609,9907,299,99.47895014250865,70.9163931617889,914.6020066889632,652.0,-0.16849262409329796,-0.2797354283817293,0.0,0.0,AGos_pair,gene-AG_10,27,194,152.9421897211046,15.137741251093384
10,CYTB_ND1,Aphis_gossypii,0.0316400490679124,8692.870864542085,139.73199391955532,6911.1203953311715,111.0915655030383,ND1,CYTB,True,False,93.4,True,NC_024581.1,gene,82.0,90503.9,10728,11026,299,14.938976126839945,14.031004168513448,137.34782608695653,129.0,-0.49775109315551597,-0.5012873783322127,0.0,0.0,AGos_pair,gene-AG_11,24,273,96.60817193616373,9.561975751606404
11,ND1_RNR2,Aphis_gossypii,0.00028811237905157494,139.73199391955532,969842.8448019023,111.0915655030383,771057.1995629792,RNR2,ND1,False,False,94.7,False,NC_024581.1,gene,65.0,90269.14,11746,12044,299,617.6140939656215,785.083628591706,5678.297658862876,7218.0,1.849492195619456,2.501737044610381,0.0,0.0,AGos_pair,gene-AG_12,35283,256,151457.50872487965,14990.792153514412
12,RNR2_RNR1,Aphis_gossypii,0.00021193906355065906,969842.8448019023,102.7846842040976,771057.1995629792,81.71722994622354,RNR1,RNR2,False,False,95.7,False,NC_024581.1,gene,72.0,1083725.0500000003,13071,13369,299,3.864337385136979,3.4805591735847314,35.52842809364549,32.0,-0.5408835714885973,-0.5423782753593578,0.0,0.0,AGos_pair,gene-AG_13,3508,263,14657.810604010305,1450.7844083810876
13,RNR1_ND2,Aphis_gossypii,0.9284631901083443,102.7846842040976,118.62352087962454,81.71722994622354,94.30962995909547,ND2,RNR1,False,True,89.9,True,NC_024581.1,,824.0,5194.16,13911,14209,299,1.033836660882926,0.9789072675707056,9.505016722408026,9.0,-0.5519075438282972,-0.5521214777472375,0.0,0.0,AGos_pair,gene-AG_14gene-AG_15,64,384,366.30598525795415,36.25582472484095
