,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Artemia_sinica,0.13145960621688135,6199.857330183356,88123.52471243222,5656.590763301013,80401.64303315195,COX1,ND2,True,True,95.7,False,NC_042147.1,gene,409.0,342079.65,953,1251,299,56.82820946162829,61.15963629300976,412.5551839464883,444,-1.3732421890161992,-1.3619350243834512,0,0,popphyl,gene-AS_0gene-AS_1,764,192,10384.420341359682,1096.235973345051
1,COX1_COX2,Artemia_sinica,0.5362930120799552,88123.52471243222,32287.903858606314,80401.64303315195,29458.65509578463,COX2,COX1,True,True,97.9,False,NC_042147.1,gene,66.0,1213667.11,2894,3192,299,701.3907754549037,927.1745763248844,5091.879598662207,6731,0.309384652787854,0.8987919560229214,0,0,popphyl,gene-AS_2,848,161,6872.743090870289,725.5241952950629
2,COX2_ATP8,Artemia_sinica,0.94762596387804,32287.903858606314,29074.126655921613,29458.65509578463,26526.4872293547,ATP8,COX2,True,True,97.7,False,NC_042147.1,gene,131.0,1005287.3199999998,3641,3925,285,533.0733637966706,273.4276532469017,3869.9473684210525,1985,-0.13000697455973748,-0.8078105967063047,0,0,popphyl,gene-AS_3gene-AS_4,956,192,12994.11759992128,1371.7298305207707
3,ATP8_ATP6,Artemia_sinica,0.8601627397915408,29074.126655921613,38527.32900110367,26526.4872293547,35151.34651588136,ATP6,ATP8,True,True,99.5,False,NC_042147.1,gene,1.0,1415070.44,3926,4224,299,994.49596903884,1034.3416867662393,7219.732441471572,7509,1.0745340614205128,1.1785510765503842,0,0,popphyl,gene-AS_5,13628,96,185234.1366649866,19554.324404118262
4,ATP6_COX3,Artemia_sinica,0.6262100370956661,38527.32900110367,17561.78220429911,35151.34651588136,16022.919514666406,COX3,ATP6,True,True,97.8,False,NC_042147.1,gene,1.0,1793837.74,4585,4883,299,781.7018417423143,885.7127508199386,5674.913043478261,6430,0.5190362257439417,0.790556100908826,0,0,popphyl,gene-AS_6,336,96,4566.970202482792,482.11425005750937
5,COX3_ND3,Artemia_sinica,0.34024120944453895,17561.78220429911,3600.066498332937,16022.919514666406,3284.608309065276,ND3,COX3,True,True,96.7,False,NC_042147.1,gene,63.0,1081163.2,5368,5666,299,215.7033977113491,241.3326188859304,1565.9397993311036,1752,-0.9584994311371426,-0.8915944978411361,0,0,popphyl,gene-AS_7,301,158,2485.8192241362035,262.41661711991014
6,ND3_ND5,Artemia_sinica,0.6440089812809449,3600.066498332937,7580.108322124825,3284.608309065276,6915.8963563576635,ND5,ND3,True,False,92.2,True,NC_042147.1,gene,398.0,471289.94999999995,5767,6065,299,225.2673650607936,224.25199974103577,1635.371237458194,1628,-0.9335327498165891,-0.9361833550974412,0,0,popphyl,gene-AS_8gene-AS_9,388,192,5273.763210009891,556.7271697092667
7,ND5_ND4,Artemia_sinica,0.8183022972670888,7580.108322124825,10946.31729696573,6915.8963563576635,9987.139060883399,ND4,ND5,False,False,97.0,False,NC_042147.1,gene,85.0,708643.6499999999,7762,8060,299,455.5438349862557,432.9385965516434,3307.1070234113713,3143,-0.33239736005753023,-0.3914082039417779,0,0,popphyl,gene-AS_10,558,180,4045.030750770473,427.01547862236544
8,ND4_ND4L,Artemia_sinica,0.823917094205874,10946.31729696573,7668.556268558041,9987.139060883399,6996.593993445431,ND4L,ND4,False,False,98.4,False,NC_042147.1,gene,49.0,1019336.55,8979,9277,299,553.2114749678058,587.7661442843977,4016.14381270903,4267,-0.07743655209412519,0.012768211833116714,0,0,popphyl,gene-AS_11,5352,144,48496.87405493633,5119.594179182122
9,ND4L_ND6,Artemia_sinica,0.49977639102734994,7668.556268558041,2554.661420716229,6996.593993445431,2330.807537365944,ND6,ND4L,False,True,95.6,True,NC_042147.1,gene,126.0,1089390.62,9289,9587,299,261.5772711597261,237.75119874264604,1898.9698996655518,1726,-0.8387459504446788,-0.9009437743626194,0,0,popphyl,gene-AS_12gene-AS_13,158,192,2147.5633690246464,226.7084866341859
10,ND6_CYTB,Artemia_sinica,0.09347567841820215,2554.661420716229,52104.72086880066,2330.807537365944,47539.010511733635,CYTB,ND6,True,True,96.0,False,NC_042147.1,gene,24.0,728647.79,9883,10181,299,913.097669468929,1039.1628292668145,6628.80602006689,7544,0.862044272283476,1.191136641098535,0,0,popphyl,gene-AS_14,1001,119,10976.079646303182,1158.6947522390562
11,CYTB_ND1,Artemia_sinica,0.36786969816131954,52104.72086880066,11744.005927217964,47539.010511733635,10714.929701469251,ND1,CYTB,True,False,93.4,True,NC_042147.1,gene,76.0,1515845.9400000002,11038,11336,299,518.4177064674776,508.0106726320269,3763.551839464883,3688,-0.1682654830543809,-0.19543298454914665,0,0,popphyl,gene-AS_15,2944,171,22464.762366097475,2371.5026769746155
