,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Pieris_rapae,0.06891255116537476,5971.442380741454,167333.4862500767,5029.5833807476365,140940.44082218007,COX1,ND2,True,True,95.7,False,NC_015895.1,gene,191.0,62447.03999999999,1253,1551,299,1230.9421710593224,39.607969123387626,1957.923076923077,63.0,-0.05521320397258773,-0.8250824253547439,0.0,0.0,PR_transc,gene-PR_0gene-PR_1,29,192,2268.215126587735,189.91916411677266
1,COX1_COX2,Pieris_rapae,0.6434447980670543,167333.4862500767,79370.05520794053,140940.44082218007,66851.23712996671,COX2,COX1,True,True,97.9,False,NC_015895.1,gene,67.0,790213.7799999999,2974,3272,299,509.21167460249904,247.0782835792276,809.9464882943143,393.0,-0.5216130558798466,-0.6910100473515999,0.0,0.0,PR_transc,gene-PR_2,361,162,16732.069694981812,1400.9873460261545
2,COX2_ATP8,Pieris_rapae,0.06329782640929948,79370.05520794053,2594.075663856049,66851.23712996671,2184.919323580956,ATP8,COX2,True,True,97.7,False,NC_015895.1,gene,137.0,238533.58000000002,3719,4009,291,142.36011069914267,74.18635486602761,226.43642611683848,118.0,-0.7586814850462006,-0.8027370290208865,0.0,0.0,PR_transc,gene-PR_3gene-PR_4,203,192,15877.505886114152,1329.4341488174089
3,ATP8_ATP6,Pieris_rapae,0.15049113822244053,2594.075663856049,31880.72058656176,2184.919323580956,26852.263189470876,ATP6,ATP8,True,True,99.5,False,NC_015895.1,gene,1.0,76214.09,4010,4308,299,327.38971218610703,246.44958565663413,520.742474916388,392.0,-0.6391108431575178,-0.6914163272849428,0.0,0.0,PR_transc,gene-PR_5,399,96,31207.511569258844,2613.025740779045
4,ATP6_COX3,Pieris_rapae,0.4513852224283116,31880.72058656176,109376.54262224883,26852.263189470876,92124.88473315752,COX3,ATP6,True,True,97.8,False,NC_015895.1,gene,1.0,386331.66,4688,4986,299,3230.344546373853,3435.205449050635,5138.15050167224,5464.0,1.2368493821696382,1.369235494630045,0.0,0.0,PR_transc,gene-PR_6,90,96,7039.288323892973,589.4043024313635
5,COX3_ND3,Pieris_rapae,0.2901096003230399,109376.54262224883,18557.43799184517,92124.88473315752,15630.4249060593,ND3,COX3,True,True,96.7,False,NC_015895.1,gene,68.0,857112.9099999999,5481,5779,299,841.8895984117584,912.2406856831022,1339.1003344481605,1451.0,-0.30662846653634346,-0.2611658778748538,0.0,0.0,PR_transc,gene-PR_7,456,163,21005.58184504013,1758.8113662737128
6,ND3_ND5,Pieris_rapae,0.6216914309588766,18557.43799184517,8370.404450221933,15630.4249060593,7050.163834578424,ND5,ND3,True,False,92.2,True,NC_015895.1,gene,402.0,195288.84000000003,5900,6198,299,114.12023762821812,113.79432398941523,181.51839464882943,181.0,-0.7769307798769175,-0.7771413932202863,0.0,0.0,PR_transc,gene-PR_8gene-PR_9,25,192,1955.3578677480477,163.7234173420454
7,ND5_ND4,Pieris_rapae,0.8909016174176079,8370.404450221933,10420.457046886175,7050.163834578424,8776.867336414898,ND4,ND5,False,False,97.0,False,NC_015895.1,gene,82.0,62687.53999999999,8027,8325,299,245.77252635537968,147.11531388686834,390.9230769230769,234.0,-0.6918538595208514,-0.7556085567531148,0.0,0.0,PR_transc,gene-PR_10,4,177,169.6852929300001,14.207862657479195
8,ND4_ND4L,Pieris_rapae,0.02656755067818173,10420.457046886175,140.28654529224164,8776.867336414898,118.15953864345066,ND4L,ND4,False,False,98.4,False,NC_015895.1,gene,1.0,70392.79999999999,9439,9721,283,146.23113800986405,147.74401180946174,232.59363957597174,235.0,-0.7561799327724456,-0.7552022768197719,0.0,0.0,PR_transc,gene-PR_11,20,96,1564.2862941984383,130.97873387363632
9,ND4L_ND6,Pieris_rapae,0.9221035982601821,140.28654529224164,163.98847447111947,118.15953864345066,138.12302844856194,ND6,ND4L,False,True,95.6,True,NC_015895.1,gene,136.0,67867.06,9722,10020,299,139.5036534193491,121.33869906053671,221.89297658862876,193.0,-0.7605273974176662,-0.772266034020172,0.0,0.0,PR_transc,gene-PR_12gene-PR_13,0,192,0.0,0.0
10,ND6_CYTB,Pieris_rapae,0.009634693943223138,163.98847447111947,33877.25361116105,138.12302844856194,28533.88861250502,CYTB,ND6,True,True,96.0,False,NC_015895.1,gene,1.0,108783.99000000002,10384,10682,299,1151.8755222858058,936.7599046642473,1832.160535117057,1490.0,-0.1063080010745667,-0.2453209604744822,0.0,0.0,PR_transc,gene-PR_14,18,96,1407.8576647785944,117.8808604862727
11,CYTB_ND1,Pieris_rapae,0.8024581137842137,33877.25361116105,22700.731678710767,28533.88861250502,19120.208402291955,ND1,CYTB,True,False,93.4,True,NC_015895.1,gene,80.0,260385.46000000002,11530,11828,299,496.10363831672083,311.20547168375987,789.0969899665552,495.0,-0.5300837886706807,-0.6495694941506283,0.0,0.0,PR_transc,gene-PR_15,132,175,5663.610262880746,474.21786161334836
