,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Macrobrachium_nipponense,0.8570787827775594,189609.97622899426,142188.87984577488,95481.5636661334,71601.80520888913,COX2,COX1,True,True,97.9,False,NC_015073.1,gene,66.0,681826.92,1537,1835,299,1768.5566023916706,2488.4879718841203,4866.130434782609,6847,0.16243494238273629,0.8977992409420228,0,0,MN_transc,gene-MN_0,538,351,4381.992097166621,557.0707777164689
1,COX2_ATP8,Macrobrachium_nipponense,0.0048406680084658316,142188.87984577488,344.97954664202246,71601.80520888913,173.7207461406622,ATP8,COX2,True,True,97.7,False,NC_015073.1,gene,134.0,756524.45,2288,2572,285,1148.2857106239676,2.9075366985647677,3159.4736842105262,8,-0.4711324899727505,-1.6410637544592086,0,0,MN_transc,gene-MN_1,108,285,1083.3663106984427,137.72542256359426
2,ATP8_ATP6,Macrobrachium_nipponense,0.00742749236347362,344.97954664202246,92547.6226291704,173.7207461406622,46604.04424893952,ATP6,ATP8,True,True,99.5,False,NC_015073.1,gene,1.0,1183515.1499999997,2573,2871,299,2344.26102396125,2620.4174495814964,6450.163879598662,7210,0.7504805479568579,1.0325568469269106,0,0,MN_transc,gene-MN_2,27414,286,274032.96269825904,34837.067768555295
3,ATP6_COX3,Macrobrachium_nipponense,0.9202029712811057,92547.6226291704,108598.48430053378,46604.04424893952,54686.74855095202,COX3,ATP6,True,True,97.8,False,NC_015073.1,gene,1.0,1548918.5,3247,3545,299,2408.4407637957897,2693.1058670456155,6626.752508361204,7410,0.8160360875056024,1.1068034617946172,0,0,MN_transc,gene-MN_3,165,286,1649.3557614800009,209.67812730034385
4,COX3_ND3,Macrobrachium_nipponense,0.16895547885336215,108598.48430053378,10020.678746935064,54686.74855095202,5046.095647403189,ND3,COX3,True,True,96.7,False,NC_015073.1,gene,71.0,873709.03,4037,4335,299,563.8105057688049,748.6906998804276,1551.3076923076924,2060,-1.0681368951935166,-0.8792934859165377,0,0,MN_transc,gene-MN_4,390,356,3131.922738091237,398.1528484691922
5,ND3_ND5,Macrobrachium_nipponense,0.8338525093008157,10020.678746935064,14013.976387310178,5046.095647403189,7056.993546714207,ND5,ND3,True,False,92.2,True,NC_015073.1,,399.0,211597.20999999996,4462,4760,299,144.57215712955534,46.88402926435687,397.7859531772575,129,-1.4963623167272397,-1.596144552464246,0,0,MN_transc,gene-MN_5gene-MN_6,214,572,2139.1644421619408,271.94617722590044
6,ND5_ND4,Macrobrachium_nipponense,0.6925432314079549,14013.976387310178,26457.075098730544,7056.993546714207,13322.942973254925,ND4,ND5,False,False,97.0,False,NC_015073.1,gene,84.0,853458.97,6568,6866,299,1534.6494077784112,1347.279817697449,4222.541806020067,3707,-0.07648644288210354,-0.2678726124809728,0,0,MN_transc,gene-MN_7,60,369,464.85907640628756,59.0962743610725
7,ND4_ND4L,Macrobrachium_nipponense,0.77599001543206,26457.075098730544,16773.087125917576,13322.942973254925,8446.39410933065,ND4L,ND4,False,False,98.4,False,NC_015073.1,gene,1.0,1205331.31,7979,8277,299,1888.4584564969502,1970.2195553649506,5196.036789297659,5421,0.2849070926131766,0.36842087693527387,0,0,MN_transc,gene-MN_8,1852,286,18512.768910672494,2353.478131880223
8,ND4L_ND6,Macrobrachium_nipponense,0.9513424080619688,16773.087125917576,15216.548489877892,8446.39410933065,7662.5706743425635,ND6,ND4L,False,True,95.6,True,NC_015073.1,gene,132.0,1294789.6400000001,8280,8578,299,1459.7414409783487,1175.3717103948072,4016.4347826086955,3234,-0.15300018682587088,-0.4434658566430992,0,0,MN_transc,gene-MN_9,128,417,877.5469183382004,111.56016109601026
9,ND6_CYTB,Macrobrachium_nipponense,0.3246833643236692,15216.548489877892,78515.06921449503,7662.5706743425635,39537.69590108893,CYTB,ND6,True,True,96.0,False,NC_015073.1,gene,1.0,1238591.9,8926,9224,299,2561.3769510352204,2714.548950197531,7047.5518394648825,7469,0.97225071687082,1.1287062131805907,0,0,MN_transc,gene-MN_10,338,286,3378.6802871529717,429.5224668334316
10,CYTB_ND1,Macrobrachium_nipponense,0.39363848524648415,78515.06921449503,19240.09796721199,39537.69590108893,9688.702438211043,ND1,CYTB,True,False,93.4,True,NC_015073.1,gene,88.0,1497241.27,10062,10360,299,1431.8038057443136,1241.5181702871555,3939.5652173913045,3416,-0.18153671184458925,-0.3759014371134861,0,0,MN_transc,gene-MN_11,195,373,1494.5904755502422,190.00323599870296
11,ND1_ND2,Macrobrachium_nipponense,0.9791015693581913,19240.09796721199,20061.438399079456,9688.702438211043,10102.303401074998,ND2,ND1,False,True,2.0,True,NC_015073.1,,3526.0,1019414.26,11092,11390,299,2204.6348395852333,2658.2154266628386,6065.9866220735785,7314,0.6078612435548741,1.071165086658118,0,0,MN_transc,gene-MN_12gene-MN_13,486,572,4858.1024247229125,617.5973931391947
