,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Callithrix_jacchus,0.8409385003758589,22970.826150507,31660.57945225741,13623.430250491521,18777.108538974077,ND2,ND1,True,True,99.4,False,NC_025586.1,gene,211.0,187479.75,3679,3977,299,512.2883349911336,52.28030751454102,578.133779264214,59.0,-1.1791302858346904,-1.470774044621298,0.0,0.0,ssRNA_10_mammals,gene-CJ_0gene-CJ_1,75,400,2127.078864268826,332.2900901347946
1,ND2_COX1,Callithrix_jacchus,0.24424290417836825,31660.57945225741,227594.2763542063,18777.108538974077,134980.5500684696,COX1,ND2,True,True,99.5,False,NC_025586.1,,391.0,249838.22,4929,5227,299,1039.5278718081759,1076.6198920367344,1173.1404682274247,1215.0,-0.8448619446021962,-0.8213457110708241,0.0,0.0,ssRNA_10_mammals,gene-CJ_2gene-CJ_3,239,400,6778.29131413666,1058.897753896212
2,COX1_COX2,Callithrix_jacchus,0.826611212899073,227594.2763542063,160332.17880908167,134980.5500684696,95089.05951415461,COX2,COX1,True,True,99.5,False,NC_025586.1,gene,145.0,958839.0299999999,6860,7158,299,1779.836111593615,2062.8568795568053,2008.6020066889632,2328.0,-0.3755086620169084,-0.1960743138029368,0.0,0.0,ssRNA_10_mammals,gene-CJ_4,22529,344,371480.3080086232,58032.274733696024
3,COX2_ATP8,Callithrix_jacchus,0.029801254069072303,160332.17880908167,2425.186802095805,95089.05951415461,1438.3184577815264,ATP8,COX2,True,True,99.5,False,NC_025586.1,gene,66.0,322605.83999999997,7693,7918,226,599.0553190739234,488.24490577139153,676.0530973451328,551.0,-1.1241202689110839,-1.1943737504112346,0.0,0.0,ssRNA_10_mammals,gene-CJ_5,146,226,3664.348249949837,572.4407452469618
4,ATP8_ATP6,Callithrix_jacchus,0.1685639839020866,2425.186802095805,26349.486718963348,1438.3184577815264,15627.230474865913,ATP6,ATP8,True,True,99.6,False,NC_025586.1,gene,1.0,254798.16999999998,7919,8217,299,1516.3008048802424,1556.8898356448908,1711.1939799331103,1757.0,-0.542589284162747,-0.516855956067055,0.0,0.0,ssRNA_10_mammals,gene-CJ_6,1642,200,46568.846601725505,7274.937706684434
5,ATP6_COX3,Callithrix_jacchus,0.32937668234071793,26349.486718963348,133646.57937600435,15627.230474865913,79262.48888116669,COX3,ATP6,True,True,99.5,False,NC_025586.1,gene,1.0,509543.7899999999,8599,8897,299,3008.851573797585,3524.9332761499013,3395.5852842809363,3978.0,0.40368358593199183,0.7308778923893487,0.0,0.0,ssRNA_10_mammals,gene-CJ_7,515,200,14605.94153464594,2281.7252855922557
6,COX3_ND3,Callithrix_jacchus,0.1636417066757645,133646.57937600435,11909.524639049234,79262.48888116669,7063.2452299943225,ND3,COX3,True,True,99.5,False,NC_025586.1,gene,67.0,500666.5,9384,9682,299,712.9752498071692,780.6601850900107,804.6153846153846,881.0,-1.051895362354547,-1.0089833091727776,0.0,0.0,ssRNA_10_mammals,gene-CJ_8,298,266,6354.581469194087,992.7062341871556
7,ND3_ND4L,Callithrix_jacchus,0.7135062634283632,11909.524639049234,6605.178232006783,7063.2452299943225,3917.368245539711,ND4L,ND3,True,True,99.4,False,NC_025586.1,gene,69.0,141003.18,9797,10095,299,466.5901125618936,327.859555599664,526.561872909699,370.0,-1.2081028266667255,-1.296057598484449,0.0,0.0,ssRNA_10_mammals,gene-CJ_9,234,268,4952.601534715475,773.6903591198201
8,ND4L_ND4,Callithrix_jacchus,0.16221187316785834,6605.178232006783,74833.72143684405,3917.368245539711,44382.03387635038,ND4,ND4L,True,True,99.6,False,NC_025586.1,gene,1.0,223621.45,10155,10453,299,1253.864981987965,1229.0302800452268,1415.0267558528428,1387.0,-0.708972836746413,-0.7247179659404767,0.0,0.0,ssRNA_10_mammals,gene-CJ_10,863,200,24475.58746485329,3823.551303817703
9,ND4_ND5,Callithrix_jacchus,0.8262740533713571,74833.72143684405,52681.09009440483,44382.03387635038,31243.854779909318,ND5,ND4,True,True,98.9,False,NC_025586.1,gene,202.0,356799.24,11531,11829,299,389.91371120575076,375.7093285790744,440.03010033444815,424.0,-1.2567154433299734,-1.2657209808272472,0.0,0.0,ssRNA_10_mammals,gene-CJ_11gene-CJ_12,330,400,9359.147002782835,1462.076396593096
10,ND5_ND6,Callithrix_jacchus,0.6587674780936257,52681.09009440483,25875.147148524586,31243.854779909318,15345.911378609637,ND6,ND5,True,False,84.4,True,NC_025586.1,gene,1.0,391214.0,13534,13832,299,2029.2381613183284,1921.0797744326255,2290.0602006688964,2168.0,-0.21738848391957882,-0.28596058834279475,0.0,0.0,ssRNA_10_mammals,gene-CJ_13,1002,200,28417.77362663152,4439.395604200855
11,ND6_CYTB,Callithrix_jacchus,0.49749753462496427,25875.147148524586,78146.06038582197,15345.911378609637,46346.500384508225,CYTB,ND6,False,True,99.2,True,NC_025586.1,gene,73.0,363677.13,14069,14367,299,1796.011267107153,1705.7557960252786,2026.85618729097,1925.0,-0.36525366021008315,-0.4224753678002041,0.0,0.0,ssRNA_10_mammals,gene-CJ_14,268,272,5588.795447294563,873.0759230992641
