,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,COX1,ND2,True,True,95.7,False,,gene,220.0,0.0,1268,1566,299,,,0,0,,,,,DP_transc2,gene-DP_0gene-DP_1,0,192,0.0,0.0
1,COX1_COX2,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,COX2,COX1,True,True,97.9,False,,gene,67.0,0.0,3019,3317,299,,,0,0,,,,,DP_transc2,gene-DP_2,0,162,0.0,0.0
2,COX2_ATP8,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,ATP8,COX2,True,True,97.7,False,,gene,142.0,0.0,3768,4063,296,,,0,0,,,,,DP_transc2,gene-DP_3gene-DP_4,0,192,0.0,0.0
3,ATP8_ATP6,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,ATP6,ATP8,True,True,99.5,False,,gene,1.0,0.0,4064,4362,299,,,0,0,,,,,DP_transc2,gene-DP_5,0,96,0.0,0.0
4,ATP6_COX3,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,COX3,ATP6,True,True,97.8,False,,gene,15.0,0.0,4743,5041,299,,,0,0,,,,,DP_transc2,gene-DP_6,0,110,0.0,0.0
5,COX3_ND3,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,ND3,COX3,True,True,96.7,False,,gene,68.0,0.0,5547,5845,299,,,0,0,,,,,DP_transc2,gene-DP_7,0,163,0.0,0.0
6,ND3_ND5,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,ND5,ND3,True,False,92.2,True,,,431.0,0.0,5969,6267,299,,,0,0,,,,,DP_transc2,gene-DP_8gene-DP_9,0,192,0.0,0.0
7,ND5_ND4,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,ND4,ND5,False,False,97.0,False,,gene,68.0,0.0,8143,8441,299,,,0,0,,,,,DP_transc2,gene-DP_10,0,163,0.0,0.0
8,ND4_ND4L,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,ND4L,ND4,False,False,98.4,False,,gene,24.0,0.0,9550,9848,299,,,0,0,,,,,DP_transc2,gene-DP_11,0,119,0.0,0.0
9,ND4L_ND6,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,ND6,ND4L,False,True,95.6,True,,gene,144.0,0.0,9868,10166,299,,,0,0,,,,,DP_transc2,gene-DP_12gene-DP_13,0,192,0.0,0.0
10,ND6_CYTB,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,CYTB,ND6,True,True,96.0,False,,gene,4.0,0.0,10543,10841,299,,,0,0,,,,,DP_transc2,gene-DP_14,0,99,0.0,0.0
11,CYTB_ND1,Dendrolimus_punctatus,,0.0,0.0,0.0,0.0,ND1,CYTB,True,False,93.4,True,,gene,69.0,0.0,11696,11994,299,,,0,0,,,,,DP_transc2,gene-DP_15,0,164,0.0,0.0
