,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Aphis_glycines,0.006242591048372659,345.7085958891819,110412.3382504769,272.70749725014116,87097.26280417843,COX1,ND2,True,True,95.7,False,NC_045236.1,gene,188.0,60355.72,1174,1472,299,64.1412878878751,25.003868654122318,923.4916387959867,360,-0.4450274516601408,-0.6766178193543436,0,0,AP_transc2,gene-AG_0gene-AG_1,96,192,848.2471422187764,69.45519070589535
1,COX1_COX2,Aphis_glycines,0.4802448124106704,110412.3382504769,34890.456768259595,87097.26280417843,27522.859588473628,COX2,COX1,True,True,97.9,False,NC_045236.1,gene,72.0,361171.34,2892,3190,299,54.25820914615925,44.451322051773005,781.1973244147157,640,-0.5035092290628465,-0.5615401527310516,0,0,AP_transc2,gene-AG_2,144,167,731.4226855060106,59.88950575837681
2,COX2_ATP8,Aphis_glycines,0.02921461970975836,34890.456768259595,517.2107709842849,27522.859588473628,407.99464225978767,ATP8,COX2,True,True,97.7,False,NC_045236.1,gene,138.0,521334.45999999996,3636,3932,297,53.68395144257687,50.28555807106822,772.929292929293,724,-0.5069073211018124,-0.527016852744064,0,0,AP_transc2,gene-AG_3gene-AG_4,1968,192,17389.06641548491,1423.8314094708542
3,ATP8_ATP6,Aphis_glycines,0.4716246033379441,517.2107709842849,1676.1047062987177,407.99464225978767,1322.1722717314988,ATP6,ATP8,True,True,99.5,False,NC_045236.1,gene,1.0,251911.05999999997,3933,4231,299,116.030587218587,123.49132907508191,1670.5819397993312,1778,-0.1379795638160052,-0.0938316362406721,0,0,AP_transc2,gene-AG_5,524,96,4630.015651277487,379.10958260301203
4,ATP6_COX3,Aphis_glycines,0.870518350186178,1676.1047062987177,1291.8137305789387,1322.1722717314988,1019.0295918834413,COX3,ATP6,True,True,97.8,False,NC_045236.1,gene,1.0,350052.64,4565,4863,299,83.57875274639414,81.47093869801522,1203.3478260869565,1173,-0.3300088908617979,-0.3424815944802851,0,0,AP_transc2,gene-AG_6,154,96,1360.7297906426206,111.41770175737378
5,COX3_ND3,Aphis_glycines,0.061219139672190837,1291.8137305789387,40.790440436571366,1019.0295918834413,32.176981004991056,ND3,COX3,True,True,96.7,False,NC_045236.1,gene,64.0,311546.7,5350,5648,299,47.92547533671409,47.78517120565599,690.0200668896321,688,-0.5409823220810517,-0.5418125527384873,0,0,AP_transc2,gene-AG_7,110,159,586.8376455601598,48.05076086571375
6,ND3_ND5,Aphis_glycines,0.11604373045252314,40.790440436571366,662.2279867978043,32.176981004991056,522.3894894025689,ND5,ND3,True,False,92.2,True,NC_045236.1,gene,2709.0,209243.08000000002,5767,6065,299,48.102481541790624,47.6462608242442,692.5685618729098,686,-0.539934911880779,-0.5426345360715108,0,0,AP_transc2,gene-AG_8gene-AG_9,26,192,229.73360101758522,18.810780816179985
7,ND5_ND4,Aphis_glycines,0.8815930203878776,662.2279867978043,522.0063730905313,522.3894894025689,411.7775873868483,ND4,ND5,False,False,97.0,False,NC_045236.1,gene,121.0,253995.04,10147,10445,299,73.82413126374298,72.92795024119009,1062.9030100334448,1050,-0.38773053986456757,-0.3930335694612312,0,0,AP_transc2,gene-AG_10gene-AG_11,2602,192,22991.031917221415,1882.525064757705
8,ND4_ND4L,Aphis_glycines,0.32925862437610076,522.0063730905313,102.87355232054584,411.7775873868483,81.15039463919042,ND4L,ND4,False,False,98.4,False,NC_045236.1,gene,1.0,396088.24,11584,11875,292,109.59791233148128,108.97519421754976,1577.9657534246576,1569,-0.17604404460009615,-0.17972889454162932,0,0,AP_transc2,gene-AG_12,10,96,88.35907731445585,7.234915698530763
9,ND4L_ND6,Aphis_glycines,0.7754205648526377,102.87355232054584,65.140950239129,81.15039463919042,51.3855475954185,ND6,ND4L,False,True,95.6,True,NC_045236.1,gene,136.0,472721.42000000004,11876,12174,299,104.61763594847997,104.32169644025478,1506.2608695652175,1502,-0.205514154314519,-0.20726533619791704,0,0,AP_transc2,gene-AG_13gene-AG_14,18,192,159.04633916602054,13.022848257355374
