,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Macaca_mulatta,0.7377647952788009,14168.662883658835,8281.452325714352,16923.283947765398,9891.502843898192,ND2,ND1,True,True,99.4,False,NC_005943.1,gene,208.0,892097.9400000001,4214,4512,299,424.0396433320746,256.89159901275264,1341.9832775919733,813,-1.8344252065349234,-2.1714417513246183,0,0,ssRNA_10_mammals,gene-MM_0gene-MM_1,794,400,8022.1496310656585,1254.4399115382876
1,ND2_COX1,Macaca_mulatta,0.12850253827999414,8281.452325714352,120610.20127991162,9891.502843898192,144058.80780826337,COX1,ND2,True,True,99.5,False,NC_005943.1,gene,388.0,479830.3500000001,5463,5761,299,1051.9708179082124,1329.9590900918522,3329.2341137123744,4209,-0.5683428202098016,-0.007841814260804483,0,0,ssRNA_10_mammals,gene-MM_2gene-MM_3,1710,400,17276.921749524277,2701.627517292786
2,COX1_COX2,Macaca_mulatta,0.8207480083043744,120610.20127991162,83943.53639321853,144058.80780826337,100263.54029500124,COX2,COX1,True,True,99.5,False,NC_005943.1,gene,143.0,1362396.64,7390,7688,299,1111.4183536434186,1414.3257037897672,3517.371237458194,4476,-0.44848019680113904,0.16226454121506073,0,0,ssRNA_10_mammals,gene-MM_4,45640,342,269662.0186205287,42167.60024939049
3,COX2_ATP8,Macaca_mulatta,0.07205947668243706,83943.53639321853,3137.507215709931,100263.54029500124,3747.490213833822,ATP8,COX2,True,True,99.5,False,NC_005943.1,gene,141.0,1104120.42,8217,8515,299,878.3161254541827,1054.4246813106463,2779.6588628762543,3337,-0.9184785617059328,-0.563395154990971,0,0,ssRNA_10_mammals,gene-MM_5,8200,301,55048.76856719282,8608.088298964794
4,ATP8_ATP6,Macaca_mulatta,0.1141466489027605,3137.507215709931,51835.761747844364,3747.490213833822,61913.48625558907,ATP6,ATP8,True,True,99.6,False,NC_005943.1,gene,1.0,906389.7699999999,8518,8816,299,1644.3167459941776,1663.0018273113374,5203.866220735786,5263,0.6259898973325,0.6636641732731354,0,0,ssRNA_10_mammals,gene-MM_6,4638,200,46859.86144695532,7327.572178481837
5,ATP6_COX3,Macaca_mulatta,0.6213552356383696,51835.761747844364,115011.6671455139,61913.48625558907,137371.82657187985,COX3,ATP6,True,True,99.5,False,NC_005943.1,gene,1.0,1431316.0,9198,9496,299,1729.5298474549465,1741.364824304157,5473.545150501673,5511,0.7978030055388917,0.8216655821046507,0,0,ssRNA_10_mammals,gene-MM_7,2607,200,26339.728070765956,4118.797039521808
6,COX3_ND3,Macaca_mulatta,0.16081815525652243,115011.6671455139,10056.62610044874,137371.82657187985,12011.799592655248,ND3,COX3,True,True,99.5,False,NC_005943.1,gene,69.0,1108204.06,9982,10280,299,985.1870548949247,1171.9691767998765,3117.879598662207,3709,-0.7029973006163671,-0.3263930417436981,0,0,ssRNA_10_mammals,gene-MM_8,1597,268,12041.216738234385,1882.9096382633234
7,ND3_ND4L,Macaca_mulatta,0.8438723926428079,10056.62610044874,13777.845054493955,12011.799592655248,16456.4847057258,ND4L,ND3,True,True,99.4,False,NC_005943.1,gene,66.0,615585.89,10396,10694,299,1124.2393143662166,1461.406697950776,3557.9464882943143,4625,-0.42262960488259393,0.25719280700496305,0,0,ssRNA_10_mammals,gene-MM_9,1155,265,8807.169643915056,1377.1950932243924
8,ND4L_ND4,Macaca_mulatta,0.7286123620180921,13777.845054493955,24041.565575137494,16456.4847057258,28715.641279468986,ND4,ND4L,True,True,99.6,False,NC_005943.1,gene,1.0,1103356.16,10751,11049,299,1229.6973172914309,1194.087764660753,3891.695652173913,3779,-0.20999719323212254,-0.2817958698960931,0,0,ssRNA_10_mammals,gene-MM_10,2846,200,28754.455730494785,4496.392932289629
9,ND4_ND5,Macaca_mulatta,0.8828325610808893,24041.565575137494,18998.65335282974,28715.641279468986,22692.303991925834,ND5,ND4,True,True,98.9,False,NC_005943.1,gene,200.0,949449.92,12129,12427,299,563.8284845395838,445.2155756567878,1784.38127090301,1409,-1.5525723589245244,-1.7917286881650092,0,0,ssRNA_10_mammals,gene-MM_11,2918,399,14777.897276850557,2310.8499598295
10,ND5_ND6,Macaca_mulatta,0.505069266640044,18998.65335282974,6418.782958923658,22692.303991925834,7666.699921149628,ND6,ND5,True,False,84.4,True,NC_005943.1,gene,1.0,767180.6499999999,14140,14438,299,1079.5931614107258,1114.776828188181,3416.6521739130435,3528,-0.512648559447609,-0.4417085860925057,0,0,ssRNA_10_mammals,gene-MM_12,1528,200,15438.091481446256,2414.08587510139
11,ND6_CYTB,Macaca_mulatta,0.3780098264420044,6418.782958923658,27542.148794306566,7666.699921149628,32896.795442513234,CYTB,ND6,False,True,99.2,True,NC_005943.1,gene,74.0,915847.23,14668,14966,299,1137.2515538469129,1324.587433039925,3599.127090301003,4192,-0.3963933422471633,-0.018672555995222863,0,0,ssRNA_10_mammals,gene-MM_13,2862,273,21183.964204159318,3312.579720451536
