,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,cob_cox2,Mytilus_edulis,0.9693899821167397,10265.645234923752,10913.953119307027,2194.797913641591,2333.406326408583,cox2,cob,True,True,31.2,False,AY823623.1,gene,2.0,527185.74,3546,3844,299,983.7429630230438,983.144014151426,1884.1471571906354,1883.0,0.03931231052956908,0.03859611047228393,0.0,0.0,popphyl,gene-ME_0,3,189,112.24577697637623,8.287552066960236
1,cox2_nad1,Mytilus_edulis,0.8500324259837906,10913.953119307027,8067.370121296257,2333.406326408583,1724.8060599794387,nad1,cox2,True,True,3.5,False,AY823623.1,,431.0,682919.17,4277,4575,299,1005.3173458477957,997.763255997544,1925.468227424749,1911.0,0.06511012891954304,0.056077238401127424,0.0,0.0,popphyl,gene-ME_1gene-ME_2,150,376,5642.141449078486,416.58173953603335
2,nad1_nad4,Mytilus_edulis,0.6236692250557068,8067.370121296257,3655.640463310896,1724.8060599794387,781.5769859845668,nad4,nad1,True,True,4.5,False,AY823623.1,gene,66.0,573907.19,5624,5922,299,952.1034452244544,950.7728357778793,1823.5484949832776,1821.0,0.0014789903022980374,-0.00011210137015523081,0.0,0.0,popphyl,gene-ME_3,4,253,111.80211777884114,8.25479494416593
3,nad4_cox3,Mytilus_edulis,0.5646660781223278,3655.640463310896,1438.143509311541,781.5769859845668,307.4754973039561,cox3,nad4,True,True,19.3,False,AY823623.1,gene,3.0,533821.87,6998,7296,299,885.1783301988587,898.5612577560298,1695.3678929765886,1721.0,-0.07854749190038404,-0.06254470111602485,0.0,0.0,popphyl,gene-ME_4,0,190,0.0,0.0
4,cox3_nad2,Mytilus_edulis,0.24792871658589977,1438.143509311541,203.50603192078026,307.4754973039561,43.50964835154125,nad2,cox3,True,True,26.5,False,AY823623.1,gene,293.0,505889.0,7794,8092,299,855.7303017118816,856.2698795583318,1638.9665551839464,1640.0,-0.11376031337578038,-0.11311510691017924,0.0,0.0,popphyl,gene-ME_5gene-ME_6,4,376,150.45710530875962,11.108846387627551
5,nad2_nad3,Mytilus_edulis,0.4295302013422819,203.50603192078026,55.659769414230496,43.50964835154125,11.900074762814702,nad3,nad2,True,True,50.1,False,AY823623.1,,405.0,482255.11,9035,9333,299,831.5488323992885,830.6862063276254,1592.6521739130435,1591.0,-0.14267558565941943,-0.14370708078565536,0.0,0.0,popphyl,gene-ME_7gene-ME_8,5,376,188.07138163594954,13.886057984534439
6,nad3_cox1,Mytilus_edulis,0.0017987828018736218,55.659769414230496,61830.377117593416,11.900074762814702,13219.352470480613,cox1,nad3,True,True,6.5,False,AY823623.1,,433.0,486855.68000000005,9791,10089,299,853.1651241829836,860.9689215802983,1634.0535117056857,1649.0,-0.1168276541459034,-0.10749617293305096,0.0,0.0,popphyl,gene-ME_10gene-ME_9,0,376,0.0,0.0
7,cox1_atp6,Mytilus_edulis,0.8717923800176499,61830.377117593416,80016.18758016553,13219.352470480613,17107.483995359977,atp6,cox1,True,True,2.9,False,AY823623.1,gene,9.0,249220.61,11877,12175,299,256.6487183866666,256.35884808728105,491.5551839464883,491.0,-0.8301190622190558,-0.8304656779902211,0.0,0.0,popphyl,gene-ME_11,3,196,108.23699922721994,7.991568064568801
8,atp6_nad4L,Mytilus_edulis,0.003888560473352176,80016.18758016553,155.8769606201721,17107.483995359977,33.32653916288266,nad4L,atp6,True,True,2.4,False,AY823623.1,gene,67.0,148513.59999999998,12603,12901,299,257.3646631020169,257.403079647718,492.9264214046823,493.0,-0.8292629630252183,-0.8292170259953038,0.0,0.0,popphyl,gene-ME_12,10,254,278.4048799020356,20.555739378680908
9,nad4L_nad5,Mytilus_edulis,0.08687899181276526,155.8769606201721,3432.492502876961,33.32653916288266,733.8678876487312,nad5,nad4L,True,True,4.3,False,AY823623.1,gene,28.0,148193.08,12952,13250,299,254.61438767109954,254.27038496640708,487.6588628762542,487.0,-0.8325516367576531,-0.8329629819800559,0.0,0.0,popphyl,gene-ME_13,0,215,0.0,0.0
10,nad5_nad6,Mytilus_edulis,0.012165673568831803,3432.492502876961,21.007074262790216,733.8678876487312,4.491318539513936,nad6,nad5,True,True,27.3,False,AY823623.1,gene,1.0,120311.06999999999,14667,14965,299,134.93287815733532,160.28954452707796,258.4347826086956,307.0,-0.9756621893122465,-0.9453416615226212,0.0,0.0,popphyl,gene-ME_14,1,188,37.614276327189906,2.777211596906888
