,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Schistosoma_mansoni,0.9705497980552611,68309.81065321351,64401.43759205206,76586.36927427983,72204.44961059713,COX2,COX1,True,True,2.1,False,NC_002545.1,,1981.0,339473.26,2458,2756,299,2795.0111048826084,1292.0084620734408,960.5083612040133,444.0,-0.2071876574032494,-0.7198610417326577,0,0,SM_parasitic_flatworm,gene-SM_0gene-SM_1,2274,192,155475.9062965936,68928.94244451492
1,COX2_ND6,Schistosoma_mansoni,0.964052866408576,64401.43759205206,59932.00666158472,72204.44961059713,67193.49314016577,ND6,COX2,True,True,91.5,False,NC_002545.1,gene,15.0,281104.63,5033,5331,299,3271.363557386802,2668.404864237264,1124.2073578595318,917.0,-0.04470409483113449,-0.2503729772557536,0,0,SM_parasitic_flatworm,gene-SM_2,410,110,24464.426608434977,10846.0988830899
2,ND6_ATP6,Schistosoma_mansoni,0.7597661434871456,59932.00666158472,36714.29330331799,67193.49314016577,41162.673380062326,ATP6,ND6,True,True,2.8,False,NC_002545.1,,541.0,291925.01999999996,5498,5796,299,752.6399892618759,552.8865040404364,258.6454849498328,190.0,-0.9038393345718934,-0.971975139781566,0,0,SM_parasitic_flatworm,gene-SM_3gene-SM_4,658,192,44988.191004027525,19945.138139178023
3,ATP6_ND2,Schistosoma_mansoni,0.9093608058068339,36714.29330331799,44033.179138587155,41162.673380062326,49368.33063333496,ND2,ATP6,True,True,95.8,False,NC_002545.1,gene,33.0,164144.07,6561,6859,299,2224.557972787375,2284.2942403775924,764.4715719063545,785.0,-0.4017689106244433,-0.3813929022260524,0,0,SM_parasitic_flatworm,gene-SM_5,1233,128,63226.184849505255,28030.800143168504
4,ND2_ND5,Schistosoma_mansoni,0.6511324270962847,44033.179138587155,91217.892091124,49368.33063333496,102270.04146707569,ND5,ND2,True,True,3.5,False,NC_002545.1,gene,261.0,232938.02000000002,7434,7732,299,812.930992474875,747.851744938906,279.3645484949833,257.0,-0.8832741061541614,-0.9054726021072478,0,0,SM_parasitic_flatworm,gene-SM_6gene-SM_7,541,192,36988.77102306823,16398.66220865549
5,ND5_COX3,Schistosoma_mansoni,0.7927737080623737,91217.892091124,59901.89829170001,102270.04146707569,67159.73677761425,COX3,ND5,True,True,95.1,False,NC_002545.1,gene,142.0,400659.35000000003,9279,9577,299,2612.775586696425,605.2652254758461,897.8829431438127,208.0,-0.26934809358113687,-0.9541087863765252,0,0,SM_parasitic_flatworm,gene-SM_8gene-SM_9,3285,192,224599.0994653958,99574.13189544044
6,COX3_CYTB,Schistosoma_mansoni,0.9019561181858442,59901.89829170001,49204.667090244206,67159.73677761425,55166.406812667235,CYTB,COX3,True,True,90.8,False,NC_002545.1,gene,186.0,90480.17000000001,10075,10373,299,958.9821765293516,558.7063619777042,329.5551839464883,192.0,-0.8334561266763754,-0.9699899894032282,0,0,SM_parasitic_flatworm,gene-SM_10gene-SM_11,351,192,23998.259942877907,10639.427791567607
7,CYTB_ND4L,Schistosoma_mansoni,0.6282197983155363,49204.667090244206,22533.74556482084,55166.406812667235,25263.981007373037,ND4L,CYTB,True,True,95.8,False,NC_002545.1,gene,14.0,230519.23,11356,11601,246,2233.299509549216,2358.4974290777564,767.4756097560976,810.5,-0.3987871771874638,-0.35608223490224467,0,0,SM_parasitic_flatworm,gene-SM_12,1591,109,95804.86240192897,42474.28430363759
8,ND4L_ND4,Schistosoma_mansoni,0.4919605147565669,22533.74556482084,69074.19811728969,25263.981007373037,77443.3715120633,ND4,ND4L,True,True,98.6,False,NC_002545.1,gene,1.0,276152.11,11602,11900,299,3084.1938118190214,3014.6864115046947,1059.8862876254182,1036.0,-0.108547593286308,-0.13225652974465082,0,0,SM_parasitic_flatworm,gene-SM_13,878,96,60029.835412668945,26613.725358963988
9,ND4_ND3,Schistosoma_mansoni,0.5134755551028909,69074.19811728969,23859.62258697826,77443.3715120633,26750.504044989648,ND3,ND4,True,True,2.8,False,NC_002545.1,gene,202.0,233883.66000000003,12863,13161,299,475.41816092897926,392.8404107655732,163.37792642140468,135.0,-0.9983995494999087,-1.0265667751858574,0,0,SM_parasitic_flatworm,gene-SM_14gene-SM_15,492,192,33638.58658659809,14913.385964248613
10,ND3_ND1,Schistosoma_mansoni,0.530591003231873,23859.62258697826,66076.40136234376,26750.504044989648,74082.35547222852,ND1,ND3,True,True,93.0,False,NC_002545.1,gene,110.0,76694.93,13428,13726,299,1553.5906387254186,1001.0155652100533,533.8929765886288,344.0,-0.6306355034902418,-0.8191185606495508,0,0,SM_parasitic_flatworm,gene-SM_16gene-SM_17,947,192,64747.44206810649,28705.23680516958
