,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Artemia_tibetiana,0.17957811645818567,18748.820819160752,190060.81800480335,7242.718564259842,73420.99154817245,COX1,ND2,True,True,95.7,False,NC_021383.1,,404.0,520126.22,956,1254,299,98.47389076606215,115.56163679439078,1088.1739130434783,1277.0,-1.220272452608779,-1.1543223003206722,0.0,0.0,popphyl,gene-AT_0gene-AT_1,816,192,7676.530463729942,769.2043169556159
1,COX1_COX2,Artemia_tibetiana,0.6049061929906956,190060.81800480335,82409.48764760466,73420.99154817245,31835.000814902767,COX2,COX1,True,True,97.9,False,NC_021383.1,gene,64.0,1235269.65,2894,3192,299,486.01485464132764,676.8997989209422,5370.648829431439,7480.0,0.2754418179030758,1.0121622211602996,0.0,0.0,popphyl,gene-AT_2,525,159,2982.004064711964,298.8030088062881
2,COX2_ATP8,Artemia_tibetiana,0.7904595184797131,82409.48764760466,53856.290814019245,31835.000814902767,20804.82612977121,ATP8,COX2,True,True,97.7,False,NC_021383.1,gene,130.0,1184397.2599999998,3640,3923,284,341.98938643343826,147.64198154271617,3779.112676056338,1631.5,-0.28042444707588876,-1.030508216350818,0.0,0.0,popphyl,gene-AT_3gene-AT_4,913,192,8589.059207580192,860.6415948290164
3,ATP8_ATP6,Artemia_tibetiana,0.9256564287105079,53856.290814019245,46402.6808097001,20804.82612977121,17925.477072583322,ATP6,ATP8,True,True,99.5,False,NC_021383.1,gene,1.0,1384412.8099999998,3924,4222,299,643.8692606046122,668.6647879982407,7115.0,7389.0,0.8846808653098159,0.9803791981948364,0.0,0.0,popphyl,gene-AT_5,19649,96,184848.21946302653,18522.17600963345
4,ATP6_COX3,Artemia_tibetiana,0.9322440442002212,46402.6808097001,40513.586072544924,17925.477072583322,15650.504358785314,COX3,ATP6,True,True,97.8,False,NC_021383.1,gene,1.0,1712645.46,4583,4881,299,562.2161718544633,617.1733460749766,6212.702341137124,6820.0,0.5695407860425347,0.7816479886635332,0.0,0.0,popphyl,gene-AT_6,292,96,2746.993744373949,275.2544859694116
5,COX3_ND3,Artemia_tibetiana,0.5634172545720364,40513.586072544924,15889.132394570966,15650.504358785314,6138.0134395723,ND3,COX3,True,True,96.7,False,NC_021383.1,gene,62.0,1164776.83,5370,5668,299,298.7515113283442,364.24086773486516,3301.3177257525085,4025.0,-0.44730101716697696,-0.1945448595614088,0.0,0.0,popphyl,gene-AT_7,393,157,2260.679259832047,226.52476325481985
6,ND3_ND5,Artemia_tibetiana,0.7006064433780184,15889.132394570966,29469.092739530024,6138.0134395723,11383.987671286684,ND5,ND3,True,False,92.2,True,NC_021383.1,,390.0,760260.24,5768,6066,299,79.52540574869435,71.4907541641102,878.7859531772575,790.0,-1.2934041266430585,-1.324413862784195,0.0,0.0,popphyl,gene-AT_8gene-AT_9,1286,192,12098.061490633218,1212.2509210844632
7,ND5_ND4,Artemia_tibetiana,0.8241778637879082,29469.092739530024,20655.993073983635,11383.987671286684,7979.464199010931,ND4,ND5,False,False,97.0,False,NC_021383.1,gene,87.0,735592.3200000001,7767,8065,299,284.2299991790112,305.05738264204484,3140.849498327759,3371.0,-0.5033467903259651,-0.4229635081263863,0.0,0.0,popphyl,gene-AT_10,611,182,3031.906989876532,303.80338568835253
8,ND4_ND4L,Artemia_tibetiana,0.7543847777684661,20655.993073983635,12509.936027265125,7979.464199010931,4832.6210366136465,ND4L,ND4,False,False,98.4,False,NC_021383.1,gene,31.0,941171.49,9001,9292,292,304.7031519674757,331.4818132951084,3367.0856164383563,3663.0,-0.4243306613421595,-0.32097842344599875,0.0,0.0,popphyl,gene-AT_11,4558,126,32670.05215096272,3273.607167771893
9,ND4L_ND6,Artemia_tibetiana,0.9737975561754002,12509.936027265125,11871.09347143941,4832.6210366136465,4585.834484896779,ND6,ND4L,False,True,95.6,True,NC_021383.1,gene,126.0,929860.73,9293,9591,299,221.11771564495487,174.1116595085418,2443.4347826086955,1924.0,-0.7469286356682836,-0.9283484996761148,0.0,0.0,popphyl,gene-AT_12gene-AT_13,766,192,7206.154822570019,722.0716994951001
10,ND6_CYTB,Artemia_tibetiana,0.2971832227443917,11871.09347143941,68019.64438255968,4585.834484896779,26276.166690997798,CYTB,ND6,True,True,96.0,False,NC_021383.1,gene,24.0,802858.21,9887,10185,299,580.7297378856163,670.9271536363456,6417.284280936455,7414.0,0.6409938903388109,0.989110797910623,0.0,0.0,popphyl,gene-AT_14,724,119,5494.6199265847545,550.5723435253248
11,CYTB_ND1,Artemia_tibetiana,0.61757283104676,68019.64438255968,30386.471918038595,26276.166690997798,11738.373649516267,ND1,CYTB,True,False,93.4,True,NC_021383.1,gene,76.0,1302960.2400000002,11042,11340,299,360.9461369875194,347.4088673873659,3988.591973244147,3839.0,-0.20726087220435885,-0.25950796144686106,0.0,0.0,popphyl,gene-AT_15,2445,171,12913.049180474514,1293.9143824949988
