,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,rrnS_ND6,Ciona_intestinalis,0.07480660791703275,89276.25734448401,3468.9782371646083,101312.31505277306,3936.6593821100487,ND6,rrnS,True,True,14.8,False,NC_017929.1,gene,63.0,122683.63,661,959,299,464.72174941117225,475.3516203897883,49.85953177257525,51.0,-1.4196571237904547,-1.4182862556547078,0.0,0.0,popphyl,gene-CI_0,21,158,8863.398220899053,1238.8165832943107
1,ND6_ATP6,Ciona_intestinalis,0.3193518590649589,3468.9782371646083,18256.13867508101,3936.6593821100487,20717.397078599643,ATP6,ND6,True,True,0.1,False,NC_017929.1,gene,425.0,130361.81000000001,1207,1505,299,8185.343552598233,8202.145606725759,878.1973244147157,880.0,-0.4239767021351143,-0.4218098460495799,0.0,0.0,popphyl,gene-CI_1gene-CI_2,15,192,10419.768741830732,1456.3468761942045
2,ATP6_ND2,Ciona_intestinalis,0.9050718999814926,18256.13867508101,22085.714111320423,20717.397078599643,25063.268698391734,ND2,ATP6,True,True,0.1,False,NC_017929.1,gene,1.0,342645.43999999994,2256,2554,299,10397.167204846732,10401.811928529483,1115.5016722408027,1116.0,-0.13873160622989475,-0.13813260519697412,0.0,0.0,popphyl,gene-CI_3,19,96,13198.373739652261,1844.7060431793257
3,ND2_COX2,Ciona_intestinalis,0.6279531020452152,22085.714111320423,48256.208046204534,25063.268698391734,54762.019581136745,COX2,ND2,True,True,0.1,False,NC_017929.1,gene,78.0,338303.85,3331,3629,299,13610.162605541602,14456.281631854154,1460.2207357859531,1551.0,0.27562836332850477,0.3847470548491424,0.0,0.0,popphyl,gene-CI_4,28,173,10793.193979977268,1508.5396544161936
4,COX2_CYTB,Ciona_intestinalis,0.9320808527867637,48256.208046204534,55288.90373659125,54762.019581136745,62742.85012497856,CYTB,COX2,True,True,0.2,False,NC_017929.1,gene,1.0,485166.77999999997,4069,4367,299,16925.684826320525,16907.604693864236,1815.9397993311036,1814.0,0.7032105771639329,0.7008788952908175,0.0,0.0,popphyl,gene-CI_5,19,96,13198.373739652261,1844.7060431793257
5,CYTB_ND4L,Ciona_intestinalis,0.6638233945781804,55288.90373659125,27467.976622254748,62742.85012497856,31171.157754498083,ND4L,CYTB,True,True,0.1,False,NC_017929.1,gene,71.0,434384.01,5157,5455,299,10333.200943122049,10178.117048346056,1108.638795986622,1092.0,-0.14698093589133082,-0.1669811381650357,0.0,0.0,popphyl,gene-CI_6,73,166,29325.999736044087,4098.826870830918
6,ND4L_COX3,Ciona_intestinalis,0.35300715955366724,27467.976622254748,128154.79690440414,31171.157754498083,145432.38645639014,COX3,ND4L,True,True,0.3,False,NC_017929.1,gene,209.0,334732.80000000005,5500,5798,299,12197.5431531458,8770.703427191978,1308.6622073578596,941.0,0.09345164649730622,-0.3484864914224233,0.0,0.0,popphyl,gene-CI_7gene-CI_8,123,192,85442.10368301201,11942.044384792474
7,COX3_ND1,Ciona_intestinalis,0.6464543764780801,128154.79690440414,61206.82442158548,145432.38645639014,69458.613786329,ND1,COX3,True,True,0.1,False,NC_017929.1,gene,114.0,473897.47000000003,6498,6796,299,8653.338429436873,8155.542506687545,928.4080267558528,875.0,-0.3636223228918707,-0.4278199570845927,0.0,0.0,popphyl,gene-CI_10gene-CI_9,11,192,7641.163744009204,1067.9877092090833
8,ND1_rrnL,Ciona_intestinalis,0.6265974593534029,61206.82442158548,134155.67987182768,69458.613786329,152242.29721961278,rrnL,ND1,True,True,99.5,False,NC_017929.1,gene,71.0,299202.47,7521,7819,299,7317.746575833337,6906.579425663394,785.113712374582,741.0,-0.5358652709153642,-0.5888909328229366,0.0,0.0,popphyl,gene-CI_11,10,166,4017.260237814258,561.4831329905367
9,rrnL_ND3,Ciona_intestinalis,0.3475713368504221,134155.67987182768,28218.26444855584,152242.29721961278,32022.597979474904,ND3,rrnL,True,True,0.1,False,NC_017929.1,gene,69.0,442113.72,8720,9018,299,9530.692443199787,10112.872708292556,1022.5384615384615,1085.0,-0.25047544992836773,-0.17539529361405368,0.0,0.0,popphyl,gene-CI_12,55,164,22364.38168978304,3125.8176854900007
10,ND3_ND4,Ciona_intestinalis,0.9451951361757442,28218.26444855584,31490.600670506934,32022.597979474904,35736.10443839451,ND4,ND3,True,True,0.2,False,NC_017929.1,gene,149.0,312762.84,9130,9428,299,7765.6039258326855,7549.702206190755,833.1638795986622,810.0,-0.4781079028618334,-0.5059514005397595,0.0,0.0,popphyl,gene-CI_13gene-CI_14,101,192,70159.7761949936,9806.06896637431
11,ND4_ATP8,Ciona_intestinalis,0.5990940273886519,31490.600670506934,13466.87868380993,35736.10443839451,15282.458030549637,ATP8,ND4,True,True,0.1,False,NC_017929.1,gene,156.0,233714.18999999997,10599,10865,267,5080.610621394571,4734.874963882598,545.0936329588015,508.0,-0.8243747364996538,-0.8689621070545347,0.0,0.0,popphyl,gene-CI_15gene-CI_16,142,192,98640.47742266425,13786.750427971803
12,ATP8_COX1,Ciona_intestinalis,0.14289632473944036,13466.87868380993,175017.72661819006,15282.458030549637,198613.28853138495,COX1,ATP8,True,True,0.1,False,NC_017929.1,gene,296.0,116742.21,10866,11164,299,4540.170640913576,4455.256363653311,487.11036789297657,478.0,-0.8940719087432905,-0.9050227732646116,0.0,0.0,popphyl,gene-CI_17gene-CI_18,38,192,26396.74747930453,3689.4120863586513
13,COX1_ND5,Ciona_intestinalis,0.09943811909384437,175017.72661819006,9156.993896297568,198613.28853138495,10391.522652862852,ND5,COX1,True,True,0.1,False,NC_017929.1,gene,68.0,389339.73,12725,13023,299,2362.481031836896,2339.47562191837,253.46822742474916,251.0,-1.174914950077713,-1.1778818142541942,0.0,0.0,popphyl,gene-CI_19,48,163,19637.748205462583,2744.722456238402
