,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Tribolium_castaneum,0.11556943718391832,11427.819390404895,186337.60490976775,10589.852638021592,172674.04300886614,COX1,ND2,True,True,95.7,False,NC_003081.2,gene,178.0,411595.63999999996,1206,1504,299,516.7021415281034,496.5327704545293,1458.9498327759197,1402.0,-1.2472936582571175,-1.2697408880475498,0.0,0.0,TC_whole_trasnc,gene-TC_0gene-TC_1,139,192,5134.830985349756,512.7946318739566
1,COX1_COX2,Tribolium_castaneum,0.7582101002678083,186337.60490976775,113773.71818917821,172674.04300886614,105431.04231370824,COX2,COX1,True,True,97.9,False,NC_003081.2,gene,66.0,918861.64,2944,3242,299,2017.0081763181124,2334.2706776503587,5695.183946488294,6591.0,0.42245172924427293,0.7755447555619464,0.0,0.0,TC_whole_trasnc,gene-TC_2,176,161,3876.764123887104,387.15662452041516
2,COX2_ATP8,Tribolium_castaneum,0.4180398554946978,113773.71818917821,30065.200363041826,105431.04231370824,27860.611941813815,ATP8,COX2,True,True,97.7,False,NC_003081.2,gene,171.0,1332899.67,3694,3992,299,1668.163813291322,1143.5836774591119,4710.19397993311,3229.0,0.03421009546228889,-0.5496142989408723,0.0,0.0,TC_whole_trasnc,gene-TC_3gene-TC_4,22,192,812.7070624294579,81.16174029659746
3,ATP8_ATP6,Tribolium_castaneum,0.5731975083083496,30065.200363041826,74838.25761524496,27860.611941813815,69350.59898629197,ATP6,ATP8,True,True,99.5,False,NC_003081.2,gene,1.0,1455014.27,4013,4311,299,2433.214069351605,2547.475191069493,6870.374581939799,7193.0,0.885662470272079,1.0128278462254494,0.0,0.0,TC_whole_trasnc,gene-TC_5,6607,96,244070.70733961038,24374.34627907361
4,ATP6_COX3,Tribolium_castaneum,0.6840126842351707,74838.25761524496,143982.99918330525,69350.59898629197,133425.16989827596,COX3,ATP6,True,True,97.8,False,NC_003081.2,gene,1.0,1919115.98,4684,4982,299,2280.430017434874,2495.7677841605337,6438.976588628762,7047.0,0.7156235181809232,0.9552807843701812,0.0,0.0,TC_whole_trasnc,gene-TC_6,265,96,9789.425979263924,977.6300535726513
5,COX3_ND3,Tribolium_castaneum,0.06311630053595874,143982.99918330525,4691.904966228416,133425.16989827596,4347.8620449391055,ND3,COX3,True,True,96.7,False,NC_003081.2,gene,57.0,1654819.9,5471,5769,299,1727.4909972801668,1514.743694175479,4877.7090301003345,4277.0,0.10023748555586129,-0.1365367590482626,0.0,0.0,TC_whole_trasnc,gene-TC_7,4,152,93.32521291055977,9.32000845511167
6,ND3_ND5,Tribolium_castaneum,0.6339028313987471,4691.904966228416,2177.159803201504,4347.8620449391055,2017.5153892164487,ND5,ND3,True,False,92.2,True,NC_003081.2,gene,379.0,1369313.99,5885,6183,299,1600.3687626237645,1619.5751492785755,4518.7692307692305,4573.0,-0.041241492762115195,-0.01986600350607509,0.0,0.0,TC_whole_trasnc,gene-TC_8gene-TC_9,32,192,1182.119363533757,118.05344043141451
7,ND5_ND4,Tribolium_castaneum,0.6133857216807151,2177.159803201504,4921.667985733492,2017.5153892164487,4560.777250815441,ND4,ND5,False,False,97.0,False,NC_003081.2,gene,66.0,1462749.71,7974,8272,299,1808.198093641452,1809.759241813584,5105.591973244147,5110.0,0.1900593610685843,0.19179681989309613,0.0,0.0,TC_whole_trasnc,gene-TC_10,38,161,837.028617657443,83.5906348396351
8,ND4_ND4L,Tribolium_castaneum,0.15702709171010232,4921.667985733492,419.3416011088108,4560.777250815441,388.59257475340604,ND4L,ND4,False,False,98.4,False,NC_003081.2,gene,1.0,1503033.23,9365,9653,289,1765.0798952597277,1756.989353940742,4983.844290657439,4961.0,0.14207154311959244,0.13306728416408958,0.0,0.0,TC_whole_trasnc,gene-TC_11,35,96,1292.9430538650467,129.1209504718596
9,ND4L_ND6,Tribolium_castaneum,0.04630591745930257,419.3416011088108,17692.451626068396,388.59257475340604,16395.11871203553,ND6,ND4L,False,True,95.6,True,NC_003081.2,gene,133.0,1493058.93,9654,9952,299,1997.2249465981856,1785.3221796442813,5639.324414715719,5041.0,0.40043425027082974,0.16459992079711325,0.0,0.0,TC_whole_trasnc,gene-TC_12gene-TC_13,12,192,443.29476132515885,44.270040161780436
10,ND6_CYTB,Tribolium_castaneum,0.3351024861733266,17692.451626068396,87901.82090891515,16395.11871203553,81456.25147180379,CYTB,ND6,True,True,96.0,False,NC_003081.2,gene,1.0,1897997.6400000001,10280,10578,299,2515.600762153016,2567.308169061971,7103.0,7249.0,0.9773536300132973,1.034900691868566,0.0,0.0,TC_whole_trasnc,gene-TC_14,598,96,22090.85560603709,2206.123668062058
11,CYTB_ND1,Tribolium_castaneum,0.05007702099672662,87901.82090891515,2257.453950081823,81456.25147180379,2091.9218139340273,ND1,CYTB,True,False,93.4,True,NC_003081.2,gene,86.0,1951639.8499999999,11418,11716,299,1832.2892868682225,1837.7379071958292,5173.615384615385,5189.0,0.216871329984933,0.22293529856820696,0.0,0.0,TC_whole_trasnc,gene-TC_15,46,181,901.2843766168976,90.00759546704529
