,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Anas_platyrhynchos,0.6136301252632725,36716.73335568645,16251.43051567433,37335.46700532075,16525.292212937333,ND2,ND1,True,True,99.4,False,NC_009684.1,gene,216.0,1063023.24,4835,5133,299,2824.3056233623024,2561.590390138549,4202.95652173913,3812.0,-0.01960301438316439,-0.18826939353728173,0.0,0.0,AP_deve,gene-AP_0,4719,491,49499.85108917292,6458.405042637257
1,ND2_COX1,Anas_platyrhynchos,0.14774694627279195,16251.43051567433,203738.63933888046,16525.292212937333,207171.94999504613,COX1,ND2,True,True,99.5,False,NC_009684.1,,361.0,1352279.79,6090,6388,299,2389.3543227917717,2502.456089421815,3555.6889632107022,3724.0,-0.298847046316112,-0.2262343347525768,0.0,0.0,AP_deve,gene-AP_1gene-AP_2,4306,552,80352.67709466163,10483.87264847905
2,COX1_COX2,Anas_platyrhynchos,0.6494273170679343,203738.63933888046,423702.2889507686,207171.94999504613,430842.3267384796,COX2,COX1,True,True,99.5,False,NC_009684.1,gene,136.0,1598068.5399999998,8002,8300,299,3845.6106430342347,4027.852255637582,5722.799331103679,5994.0,0.6360872460033586,0.7530885806874212,0.0,0.0,AP_deve,gene-AP_3,3334,411,41779.109678722576,5451.055037314565
3,COX2_ATP8,Anas_platyrhynchos,0.0,423702.2889507686,0.0,430842.3267384796,0.0,ATP8,COX2,True,True,99.5,False,NC_009684.1,gene,71.0,1634365.6199999999,8825,9052,228,2242.1726215591248,2240.383620336286,3336.6622807017543,3334.0,-0.3933394909301257,-0.39448805150218,0.0,0.0,AP_deve,gene-AP_4,6871,228,155210.28942846775,20250.786494451924
4,ATP8_ATP6,Anas_platyrhynchos,0.0,0.0,970.0114305850383,0.0,986.3576209396853,ATP6,ATP8,True,True,99.6,False,NC_009684.1,gene,1.0,864380.18,9053,9351,299,2333.7821939599517,2365.372028669384,3472.989966555184,3520.0,-0.3345250298000949,-0.3142439712062154,0.0,0.0,AP_deve,gene-AP_5,1,276,18.660631002011527,2.434712644793092
5,ATP6_COX3,Anas_platyrhynchos,0.012460990935126648,970.0114305850383,154717.6759507824,986.3576209396853,157324.9076828814,COX3,ATP6,True,True,99.5,False,NC_009684.1,gene,1.0,1062959.27,9736,10034,299,3720.9076579373423,2919.756097888771,5537.224080267559,4345.0,0.5560264109010067,0.04167735268717595,0.0,0.0,AP_deve,gene-AP_6,797,276,14872.522908603189,1940.4659779000933
6,COX3_ND3,Anas_platyrhynchos,0.02617849542938222,154717.6759507824,2051.9970845100897,157324.9076828814,2086.576403776825,ND3,COX3,True,True,99.5,False,NC_009684.1,gene,69.0,1236588.3599999999,10521,10819,299,2626.4713618393494,2536.055123919959,3908.551839464883,3774.0,-0.14661501956554437,-0.2046633454257046,0.0,0.0,AP_deve,gene-AP_7,383,344,5734.238319653008,748.164547255198
7,ND3_ND4L,Anas_platyrhynchos,0.0,2051.9970845100897,0.0,2086.576403776825,0.0,ND4L,ND3,True,True,99.4,False,NC_009684.1,gene,71.0,1112742.6800000002,10942,11240,299,2390.311726717944,2390.907294887974,3557.113712374582,3558.0,-0.2982323813359604,-0.2978500193177925,0.0,0.0,AP_deve,gene-AP_8,0,346,0.0,0.0
8,ND4L_ND4,Anas_platyrhynchos,0.0,0.0,56394.296927717616,0.0,57344.627906746355,ND4,ND4L,True,True,99.6,False,NC_009684.1,gene,1.0,1070677.96,11302,11600,299,2389.68244714206,2389.5633335080483,3556.1772575250834,3556.0,-0.29863638648723256,-0.2987128588908674,0.0,0.0,AP_deve,gene-AP_9,0,276,0.0,0.0
9,ND4_ND5,Anas_platyrhynchos,0.18494098005311976,56394.296927717616,5746.158350004498,57344.627906746355,5842.989990576473,ND5,ND4,True,True,98.9,False,NC_009684.1,gene,205.0,1264125.54,12681,12979,299,2431.6958485406053,2435.258020425525,3618.6989966555184,3624.0,-0.27166327113763156,-0.26937631340632123,0.0,0.0,AP_deve,gene-AP_10,2816,480,30215.29371845707,3942.286714448974
10,ND5_CYTB,Anas_platyrhynchos,0.6539999367391153,5746.158350004498,2791.966583041311,5842.989990576473,2839.0155309105958,CYTB,ND5,True,True,15.2,False,NC_009684.1,gene,1.0,682937.66,14708,15006,299,1115.6070589724086,686.092284452114,1660.1772575250836,1021.0,-1.1166083017622295,-1.392362017763288,0.0,0.0,AP_deve,gene-AP_11,70,276,1306.2441701408068,170.42988513551637
11,CYTB_ND6,Anas_platyrhynchos,0.43444771747818656,2791.966583041311,774.7831374394029,2839.0155309105958,787.8394296116679,ND6,CYTB,True,False,99.2,True,NC_009684.1,gene,161.0,255706.08999999997,15852,16150,299,464.55440976180574,478.45025125358,691.3210702341137,712.0,-1.5345920312687775,-1.5256707318033582,0.0,0.0,AP_deve,gene-AP_12,283,436,3342.9921245530195,436.1709524300431
