,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Drosophila_melanogaster,0.0029248773076773205,183.4936711582004,125287.52740487644,161.1013038523509,109998.2571276857,COX1,ND2,True,True,95.7,False,NC_024511.2,tRNA,211.0,21264.84,1264,1562,299,2130.6654131686782,325.8871823106008,2105.2508361204013,322.0,0.1192800499463451,-0.6096645015932627,0.01921439600106842,0.7909371781668383,DM_polya,gene-DM_0tRNA-DM_1,17188,400,131343.55854133944,86977.46722910882
1,COX1_COX2,Drosophila_melanogaster,0.3940375771709431,125287.52740487644,30740.44139923846,109998.2571276857,26989.0790192127,COX2,COX1,True,True,97.9,False,NC_024511.2,tRNA,72.0,1086185.3,3012,3310,299,1238.5527210709809,1147.689642050377,1223.7792642140469,1134.0,-0.24104160905037453,-0.2777409360123868,0.018667275986954782,0.6850690087829361,DM_polya,gene-DM_2,6366,271,35901.3494214262,23774.35541918917
2,COX2_ATP8,Drosophila_melanogaster,0.651256425238437,30740.44139923846,14843.377459246767,26989.0790192127,13031.988771948345,ATP8,COX2,True,True,97.7,False,NC_024511.2,tRNA,140.0,467611.99,3768,4061,294,837.0386184090914,383.06925001416903,827.0544217687075,378.5,-0.4032119591229955,-0.5865688347763668,0.013698409978832109,0.26153846153846155,DM_polya,gene-DM_3,2919,294,15174.003987205508,10048.429090766087
3,ATP8_ATP6,Drosophila_melanogaster,0.7469099554575271,14843.377459246767,24902.718708809552,13031.988771948345,21863.753818510148,ATP6,ATP8,True,True,99.5,False,NC_024511.2,gene,1.0,253622.12,4062,4360,299,995.7569880152529,893.6595713672687,983.8795986622074,883.0,-0.33910608241444656,-0.3803429248803669,0.015776442180462934,0.13069908814589665,DM_polya,gene-DM_4,1195,200,9131.693766401011,6047.130168651677
4,ATP6_COX3,Drosophila_melanogaster,0.17888940326157576,24902.718708809552,253511.9694144023,21863.753818510148,222575.0270134715,COX3,ATP6,True,True,97.8,False,NC_024511.2,gene,1.0,602145.97,4736,5034,299,6493.924413345529,7503.501769101847,6416.4648829431435,7414.0,1.8815873632514726,2.289352650007195,0.026031557187868908,0.8545727136431784,DM_polya,gene-DM_5,27779,200,212275.5825413002,140571.73971127608
5,COX3_ND3,Drosophila_melanogaster,0.03322102444323727,253511.9694144023,4282.091397781469,222575.0270134715,3759.532974860864,ND3,COX3,True,True,96.7,False,NC_024511.2,tRNA,82.0,1089782.3900000001,5527,5825,299,576.8234944545625,366.3700621007376,569.9431438127091,362.0,-0.5083120725838464,-0.5933135870326284,0.010268155503946563,0.3447251114413076,DM_polya,gene-DM_6,4775,281,25970.51042127776,17198.02055141486
6,ND3_ND5,Drosophila_melanogaster,0.36896416626187756,4282.091397781469,18929.330140331764,3759.532974860864,16619.318516058618,ND5,ND3,True,False,92.2,True,NC_024511.2,tRNA,446.0,157833.53,5964,6262,299,287.2490491329746,261.11457464638204,283.82274247491637,258.0,-0.6252703284920603,-0.6358259648902775,0.0014882756985789619,0.08083140877598152,DM_polya,gene-DM_7tRNA-DM_8,860,400,6571.762877912026,4351.909577439701
7,ND5_ND4,Drosophila_melanogaster,0.6000287053946729,18929.330140331764,8113.124534666735,16619.318516058618,7123.051888391501,ND4,ND5,False,False,97.0,False,NC_024511.2,tRNA,80.0,193570.09999999998,8128,8426,299,634.6469924022981,598.1345488992705,627.0769230769231,591.0,-0.48495733400196334,-0.4997046011729971,0.009606443195966517,0.1676056338028169,DM_polya,gene-DM_9,1927,279,10555.794836822932,6990.189010357842
8,ND4_ND4L,Drosophila_melanogaster,0.22298540064869443,8113.124534666735,1018.0604737495262,7123.051888391501,893.8230331671087,ND4L,ND4,False,False,98.4,False,NC_024511.2,gene,1.0,143375.63,9545,9837,293,316.4434798066557,304.633670420779,312.6689419795222,301.0,-0.613478784904592,-0.6182487317375956,0.0036437429347772822,0.0950920245398773,DM_polya,gene-DM_10,274,200,2093.7942192417386,1386.5386328121838
9,ND4L_ND6,Drosophila_melanogaster,0.3519000329803218,1018.0604737495262,217.37486891421239,893.8230331671087,190.84786186778754,ND6,ND4L,False,True,95.6,True,NC_024511.2,tRNA,134.0,96724.51000000001,9838,10136,299,261.31089630422736,259.0904306568752,258.19397993311037,256.0,-0.6357466711574593,-0.6366435106183093,0.0005367792022993663,0.01486988847583643,DM_polya,gene-DM_11,91,333,417.6481750750711,276.5722267944778
10,ND6_CYTB,Drosophila_melanogaster,0.0037526355010859547,217.37486891421239,115634.46784338998,190.84786186778754,101523.19380967562,CYTB,ND6,True,True,96.0,False,NC_024511.2,gene,2.0,326925.92999999993,10498,10796,299,5564.006262687964,6170.602952011594,5497.638795986622,6097.0,1.5059961921537708,1.750998788098311,0.028027870957303712,0.7148451406194375,DM_polya,gene-DM_12,12819,201,97470.12418367957,64546.02438181133
11,CYTB_ND1,Drosophila_melanogaster,0.7940662770075134,115634.46784338998,76141.3580393902,101523.19380967562,66849.56478231236,ND1,CYTB,True,False,93.4,True,NC_024511.2,tRNA,84.0,781101.75,11638,11936,299,424.75206131648014,393.6960059590799,419.685618729097,389.0,-0.5697332714522092,-0.5822767197042003,0.004627636480309347,0.10025706940874037,DM_polya,gene-DM_13,2102,283,11351.668641113547,7517.227324988292
