,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_ND3,Tetranychus_urticae,0.0033968859144105634,100646.12963843356,171.23253875385538,121285.26655684377,206.34657468274662,ND3,COX1,True,True,1.0,False,NC_010526.1,gene,44.0,22897.6,1541,1839,299,52.657173420800255,51.245723242949936,17.468227424749163,17.0,-0.4700914656141035,-0.4703676765290088,0.0,0.0,TU_transcriptome,gene-TU_0,2,233,255.47828363832863,25.8751442781873
1,ND3_ND4L,Tetranychus_urticae,0.5872659176029963,171.23253875385538,71.18044028792292,206.34657468274662,85.77715511732416,ND4L,ND3,True,False,0.4,True,NC_010526.1,gene,1278.0,4945.05,1920,2218,299,55.500237350469995,48.23126893454113,18.411371237458194,16.0,-0.4695350979140802,-0.470957584125842,0.0,0.0,TU_transcriptome,gene-TU_1gene-TU_2,10,380,1566.4852654665945,158.65548991625369
2,ND4L_COX3,Tetranychus_urticae,0.00811771198110356,71.18044028792292,17465.8892299883,85.77715511732416,21047.55581284176,COX3,ND4L,False,False,0.5,False,NC_010526.1,gene,104.0,180838.15000000002,3443,3741,299,1808.3499678617832,1808.672585045292,599.8929765886288,600.0,-0.12651468149864162,-0.1264515475752349,0.0,0.0,TU_transcriptome,gene-TU_3,1,293,101.5809557811102,10.288239960439661
3,COX3_ATP6,Tetranychus_urticae,0.02106232620540971,17465.8892299883,185.89380620773963,21047.55581284176,224.0143750998477,ATP6,COX3,False,False,97.8,False,NC_010526.1,gene,1.0,107511.15,4333,4631,299,356.27018846338143,355.70560839224083,118.18729096989966,118.0,-0.41067652488288864,-0.4107870092488524,0.0,0.0,TU_transcriptome,gene-TU_4,2,190,313.2970530933189,31.731097983250738
4,ATP6_ATP8,Tetranychus_urticae,0.1876041824518866,185.89380620773963,19.242184956954986,224.0143750998477,23.188110064683233,ATP8,ATP6,False,False,99.5,False,NC_010526.1,gene,1.0,33844.56,4952,5081,130,331.35809282432353,331.58997392497025,109.92307692307692,110.0,-0.41555164753096757,-0.4155062700235183,0.0,0.0,TU_transcriptome,gene-TU_5,0,130,0.0,0.0
5,ATP8_COX2,Tetranychus_urticae,0.005005698976534245,19.242184956954986,7668.868924863422,23.188110064683233,9241.496072258024,COX2,ATP8,False,False,97.7,False,NC_010526.1,gene,68.0,25330.089999999997,5082,5380,299,1537.6842326850217,1383.6345275596484,510.10367892976586,459.0,-0.1794820703019252,-0.2096285187287205,0.0,0.0,TU_transcriptome,gene-TU_6,14,257,1621.3427261249576,164.21151874600574
6,COX2_ND1,Tetranychus_urticae,0.1771286665373082,7668.868924863422,745.1850833213292,9241.496072258024,897.9974867339361,ND1,COX2,False,False,0.4,False,NC_010526.1,gene,814.0,60692.78,5789,6087,299,346.601754745106,340.6333368501967,114.9799331103679,113.0,-0.41256856964999034,-0.41373654723301856,0.0,0.0,TU_transcriptome,gene-TU_7gene-TU_8,1,380,156.64852654665944,15.865548991625369
7,ND1_CYTB,Tetranychus_urticae,0.0389748694433365,745.1850833213292,37494.07493035063,897.9974867339361,45182.84894378403,CYTB,ND1,False,True,93.4,True,NC_010526.1,gene,163.0,22867.28,7458,7756,299,190.2231568262797,135.6504438783969,63.103678929765884,45.0,-0.4431707660863784,-0.4538502638176783,0.0,0.0,TU_transcriptome,gene-TU_9,4,352,338.2184095893784,34.25516259555478
8,CYTB_ND6,Tetranychus_urticae,0.004659294918368473,37494.07493035063,87.55194155414519,45182.84894378403,105.5059007943087,ND6,CYTB,True,True,96.0,False,NC_010526.1,gene,88.0,16772.079999999998,8683,8981,299,131.71854695438492,132.63598956998808,43.69565217391305,44.0,-0.4546197085092031,-0.4544401714145115,0.0,0.0,TU_transcriptome,gene-TU_10,5,277,537.2422390589402,54.41253264275849
9,ND6_ND4,Tetranychus_urticae,0.06207209214762688,87.55194155414519,2733.424072784776,105.5059007943087,3293.957437524716,ND4,ND6,True,True,0.9,False,NC_010526.1,gene,1.0,12142.86,9170,9468,299,106.82661488929749,105.50590079430872,35.438127090301,35.0,-0.4594908852870653,-0.4597493397860106,0.0,0.0,TU_transcriptome,gene-TU_11,0,190,0.0,0.0
10,ND4_ND5,Tetranychus_urticae,0.6164045673332044,2733.424072784776,6135.504606996381,3293.957437524716,7393.690292846922,ND5,ND4,True,True,97.0,False,NC_010526.1,gene,57.0,11117.33,10324,10622,299,103.88273308978096,102.49144648589987,34.46153846153846,34.0,-0.46006698233815313,-0.4603392473828438,0.0,0.0,TU_transcriptome,gene-TU_12,0,246,0.0,0.0
11,ND5_ND2,Tetranychus_urticae,0.013664369008931754,6135.504606996381,42.20726734090239,7393.690292846922,50.862558634569524,ND2,ND5,True,True,1.8,False,NC_010526.1,gene,64.0,6582.32,11947,12245,299,24.891932065088323,24.115634467270564,8.25752508361204,8.0,-0.4755249288973081,-0.4756768449005078,0.0,0.0,TU_transcriptome,gene-TU_13,1,253,117.64118594413158,11.914839163671227
