,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Aedes_aegypti,0.009425860070256253,1666.0734558281065,351845.1060885187,849.5315984468974,179405.97657054098,COX1,ND2,True,True,95.7,False,NC_010241.1,gene,202.0,3262.3899999999994,1097,1395,299,1401.5219625317802,19.550342130987293,1720.5083612040135,24.0,0.044658050313551065,-0.6369443822236422,0.0,0.0,AA_transc,gene-AA_0gene-AA_1,13101,400,230974.76883499237,53360.21505376344
1,COX1_COX2,Aedes_aegypti,0.3397372479675379,351845.1060885187,71997.5726173628,179405.97657054098,36711.594399374015,COX2,COX1,True,True,97.9,False,NC_010241.1,gene,68.0,771504.21,2836,3134,299,237.10783528455326,162.91951775822744,291.0735785953177,200.0,-0.5296428180228093,-0.5662332493640265,0.0,0.0,AA_transc,gene-AA_2,4705,267,62135.308158632666,14354.612941057305
2,COX2_ATP8,Aedes_aegypti,0.18901437460891324,71997.5726173628,7514.458409183589,36711.594399374015,3831.6256954249775,ATP8,COX2,True,True,97.7,False,NC_010241.1,gene,156.0,180183.26,3589,3887,299,137.38092980729724,31.769305962854354,168.64882943143812,39.0,-0.5788291402014023,-0.6309178652185614,0.0,0.0,AA_transc,gene-AA_3,1177,310,13387.665699923724,3092.843103248931
3,ATP8_ATP6,Aedes_aegypti,0.20009994933124176,7514.458409183589,67592.5911857595,3831.6256954249775,34465.49240211312,ATP6,ATP8,True,True,99.5,False,NC_010241.1,gene,1.0,82837.12000000001,3899,4197,299,565.7257655855128,518.8986640599544,694.4849498327759,637.0,-0.3675651187691068,-0.3906607206160032,0.0,0.0,AA_transc,gene-AA_4,1499,200,26427.843560312467,6105.4089279895725
4,ATP6_COX3,Aedes_aegypti,0.5163406115797379,67592.5911857595,194221.37296848663,34465.49240211312,99033.56472866869,COX3,ATP6,True,True,97.8,False,NC_010241.1,gene,3.0,396559.8,4581,4879,299,4257.626431539472,4227.761485826002,5226.662207357859,5190.0,1.453317768731946,1.4385880743262172,0.0,0.0,AA_transc,gene-AA_5,13267,202,231585.5458191041,53501.31787372285
5,COX3_ND3,Aedes_aegypti,0.07891314887164436,194221.37296848663,7978.098496752104,99033.56472866869,4068.0359829296003,ND3,COX3,True,True,96.7,False,NC_010241.1,gene,91.0,651022.1699999999,5372,5670,299,168.49637817379735,132.77940697295537,206.84615384615384,163.0,-0.5634826851924768,-0.5810986579765594,0.0,0.0,AA_transc,gene-AA_6,1588,290,19308.235639288807,4460.624037932159
6,ND3_ND5,Aedes_aegypti,0.4278720338168892,7978.098496752104,2171.3278455853106,4068.0359829296003,1107.1610372037887,ND5,ND3,True,False,92.2,True,NC_010241.1,,422.0,60826.5,5792,6090,299,50.13998001375294,52.13424568263278,61.551839464882946,64.0,-0.6218572622831626,-0.6208736702100932,0.0,0.0,AA_transc,gene-AA_7gene-AA_8,400,400,7052.126366994654,1629.1951775822743
7,ND5_ND4,Aedes_aegypti,0.2463568303591377,2171.3278455853106,15456.174849752668,1107.1610372037887,7881.110451674967,ND4,ND5,False,False,97.0,False,NC_010241.1,gene,71.0,16563.98,7957,8255,299,119.28542082819774,91.23492994460736,146.43478260869566,112.0,-0.5877540289299957,-0.6015888157938344,0.0,0.0,AA_transc,gene-AA_9,34,270,444.02277125521897,102.57895562555059
8,ND4_ND4L,Aedes_aegypti,0.269763259567702,15456.174849752668,2409.7905277840005,7881.110451674967,1228.7532652472373,ND4L,ND4,False,False,98.4,False,NC_010241.1,gene,1.0,37480.22,9364,9661,298,133.5748697190566,136.85239491691104,163.9765100671141,168.0,-0.5807063276748867,-0.5790898189748658,0.0,0.0,AA_transc,gene-AA_10,348,200,6135.349939285349,1417.3998044965788
9,ND4L_ND6,Aedes_aegypti,0.6989459980472172,2409.7905277840005,1294.5761228962767,1228.7532652472373,660.1049426410939,ND6,ND4L,False,True,95.6,True,NC_010241.1,gene,137.0,45498.48,9662,9960,299,99.4517404054571,75.75757575757575,122.08695652173913,93.0,-0.5975362014599821,-0.6092224040002702,0.0,0.0,AA_transc,gene-AA_11,53,336,556.1944902540425,128.49307204145913
10,ND6_CYTB,Aedes_aegypti,0.03358329579646935,1294.5761228962767,75801.85483742532,660.1049426410939,38651.399600667755,CYTB,ND6,True,True,96.0,False,NC_010241.1,gene,3.0,146620.64,10321,10619,299,2434.851263743269,2262.9521016617787,2989.0234113712377,2778.0,0.5543065517158052,0.4695241399092095,0.0,0.0,AA_transc,gene-AA_12,4714,202,82286.44478716039,19009.9655126803
11,CYTB_ND1,Aedes_aegypti,0.20255985641019847,75801.85483742532,8542.377828966339,38651.399600667755,4355.762266179361,ND1,CYTB,True,False,93.4,True,NC_010241.1,gene,89.0,362824.57999999996,11459,11757,299,149.9322712506443,127.07722385141741,184.05685618729098,156.0,-0.5726386911841421,-0.5839110325789304,0.0,0.0,AA_transc,gene-AA_13,405,288,4958.526351793116,1145.5278592375364
