,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Lepus_granatensis,0.24679155753906135,114266.52293004033,16084.803429815682,61080.51614047582,8598.039656048286,ND2,ND1,True,True,99.4,False,NC_024042.1,gene,216.0,750100.44,3701,3999,299,989.2786452163632,915.089831318441,583.7792642140469,540,-0.6672645676930692,-0.6861814803873926,0,0,popphyl,gene-LG_0gene-LG_1,676,192,107696.56406949581,11932.884374445719
1,ND2_COX1,Lepus_granatensis,0.45626426633360617,16084.803429815682,54421.719288117165,8598.039656048286,29090.81871166649,COX1,ND2,True,True,99.5,False,NC_024042.1,,390.0,192057.03,4961,5259,299,786.7131450234215,784.6047998156264,464.24414715719064,463,-0.7189153986027557,-0.7194529915379977,0,0,popphyl,gene-LG_2gene-LG_3,27,192,4301.489985024241,476.60928714502137
2,COX1_COX2,Lepus_granatensis,0.27278746413595223,54421.719288117165,344582.82779029524,29090.81871166649,184194.77931836728,COX2,COX1,True,True,99.5,False,NC_024042.1,gene,143.0,306481.03,6893,7191,299,6475.090859193405,8334.095908192765,3820.989966555184,4918,0.7315262372394172,1.2055415821755853,0,0,popphyl,gene-LG_4gene-LG_5,588,192,93676.8930071946,10379.491142269355
3,COX2_ATP8,Lepus_granatensis,0.08713030725654558,344582.82779029524,15695.58437492814,184194.77931836728,8389.984836888396,ATP8,COX2,True,True,99.5,False,NC_024042.1,gene,75.0,1403881.6099999999,7720,7954,235,1876.8715984744474,2165.7126007869774,1107.5531914893618,1278,-0.4409431383198622,-0.36729349039847575,0,0,popphyl,gene-LG_6,945,170,85017.68440989086,9420.042381219246
4,ATP8_ATP6,Lepus_granatensis,0.47289032995274616,15695.58437492814,50685.91417039645,8389.984836888396,27093.865457647207,ATP6,ATP8,True,True,99.6,False,NC_024042.1,gene,1.0,337257.42000000004,7955,8253,299,3016.2485291033313,3014.7126109546416,1779.9063545150502,1779,-0.15042098558279945,-0.15081261914583716,0,0,popphyl,gene-LG_7,69,96,10992.696628395282,1218.0015115928325
5,ATP6_COX3,Lepus_granatensis,0.8345457813491327,50685.91417039645,70783.54934652946,27093.865457647207,37836.941367227206,COX3,ATP6,True,True,99.5,False,NC_024042.1,gene,1.0,548124.4099999999,8635,8933,299,2765.7125078384233,2755.4371587477503,1632.0635451505016,1626,-0.21430350091149278,-0.21692354389963694,0,0,popphyl,gene-LG_8,201,96,32022.203221847125,3548.091359857381
6,COX3_ND3,Lepus_granatensis,0.05008337545309183,70783.54934652946,1818.0670051205032,37836.941367227206,971.8373168554264,ND3,COX3,True,True,99.5,False,NC_024042.1,gene,70.0,589105.23,9420,9718,299,1101.5706979099846,1096.4131867833914,650.0434782608696,647,-0.6386319633223543,-0.6399470428144737,0,0,popphyl,gene-LG_9,182,165,16869.95129480214,1869.2070628502386
7,ND3_ND4L,Lepus_granatensis,0.3215737269645743,1818.0670051205032,9489.243590690627,971.8373168554264,5072.420875683341,ND4L,ND3,True,True,99.4,False,NC_024042.1,gene,69.0,204971.52999999997,9837,10135,299,1375.7065832750407,1442.1137897259134,811.8127090301003,851,-0.5687318754604946,-0.5517991431427406,0,0,popphyl,gene-LG_10,28,164,2611.2025925350404,289.32379490646287
8,ND4L_ND4,Lepus_granatensis,0.4544215087946094,9489.243590690627,32274.816459466903,5072.420875683341,17252.3185018094,ND4,ND4L,True,True,99.6,False,NC_024042.1,gene,1.0,269358.86,10195,10493,299,1924.2447309534446,1909.8263701775613,1135.5083612040135,1127,-0.42886377804871856,-0.4325402200574547,0,0,popphyl,gene-LG_11,41,96,6531.8921994812545,723.7400286276251
9,ND4_ND5,Lepus_granatensis,0.6419453334411775,32274.816459466903,15256.136828662693,17252.3185018094,8155.080665007774,ND5,ND4,True,True,98.9,False,NC_024042.1,gene,198.0,340132.92,11574,11872,299,871.8120786122128,845.610788570189,514.4615384615385,499,-0.6972165869827978,-0.7038974798312212,0,0,popphyl,gene-LG_12gene-LG_13,110,192,17524.588827876538,1941.7415402204572
10,ND5_ND6,Lepus_granatensis,0.994729907773386,15256.136828662693,15096.177333735692,8155.080665007774,8069.575232085018,ND6,ND5,True,False,84.4,True,NC_024042.1,gene,1.0,203561.19,13579,13877,299,1375.7632592214845,1384.4970225688267,811.8461538461538,817,-0.5687174240375038,-0.5664904597546961,0,0,popphyl,gene-LG_14,82,96,13063.784398962507,1447.48005725525
11,ND6_CYTB,Lepus_granatensis,0.5269799886283266,15096.177333735692,42196.99379038784,8069.575232085018,22556.161631621224,CYTB,ND6,False,True,99.2,True,NC_024042.1,gene,71.0,200872.58000000002,14105,14403,299,1575.0868952777114,1753.922176693679,929.4682274247492,1035,-0.517893214522861,-0.4722931944192166,0,0,popphyl,gene-LG_15,164,166,15109.919304824109,1674.193801162699
