,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND5_ND6,Echinocardium_cordatum,0.8933109910729397,24520.07919210145,19792.42232243653,24957.6547187272,20145.62997535998,ND6,ND5,True,False,100.0,True,NC_013881.1,gene,1.0,213368.82,1992,2290,299,1872.7772580217384,1883.7429359639905,1498.227424749164,1507,-0.800409293722862,-0.7971924459541875,0,0,popphyl,gene-EC_0,4,96,633.4589494707967,52.08313802156575
1,ND6_CYTB,Echinocardium_cordatum,0.3662009689749587,19792.42232243653,88303.53590420574,20145.62997535998,89879.36548956226,CYTB,ND6,False,True,71.2,True,NC_013881.1,gene,22.0,292676.6,2482,2780,299,5890.161858381323,7318.72255479042,4712.147157190636,5855,0.37811471141654973,0.7971916087009414,0,0,popphyl,gene-EC_1,1,117,129.9402973273429,10.683720619808359
2,CYTB_12S rRNA,Echinocardium_cordatum,0.627405468429521,88303.53590420574,40363.0642798583,89879.36548956226,41083.367382067576,12S rRNA,CYTB,True,True,78.8,False,NC_013881.1,gene,77.0,526165.64,3647,3945,299,3272.508631102669,3926.235276617713,2618.016722408027,3141,-0.38978965233354346,-0.19801499763162989,0,0,popphyl,gene-EC_2,3,172,265.1688625691707,21.802243822981016
3,12S rRNA_ND1,Echinocardium_cordatum,0.9326878120975727,40363.0642798583,35271.908762440085,41083.367382067576,35901.35713945805,ND1,12S rRNA,True,True,60.0,False,NC_013881.1,gene,1269.0,304901.16000000003,4609,4907,299,267.4112045658424,268.7489921912793,213.9297658862876,215,-1.2713531089762848,-1.2709606609069075,0,0,popphyl,gene-EC_3gene-EC_4,2,192,316.72947473539836,26.041569010782876
4,ND1_ND2,Echinocardium_cordatum,0.7639580555786725,35271.908762440085,21800.440475600026,35901.35713945805,22189.48241739183,ND2,ND1,True,True,100.0,False,NC_013881.1,gene,77.0,322369.42999999993,6850,7148,299,1861.7028848349157,2186.241801593244,1489.3678929765886,1749,-0.8036580278971731,-0.7084525790667585,0,0,popphyl,gene-EC_5,47,172,4154.312180250341,341.5684865600358
5,ND2_16S rRNA,Echinocardium_cordatum,0.34746701247243805,21800.440475600026,103681.63231442803,22189.48241739183,105531.89325795782,16S rRNA,ND2,True,True,67.5,False,NC_013881.1,gene,1.0,340747.66,7985,8283,299,7469.892556464785,8743.717211060459,5975.936454849499,6995,0.8415382405405367,1.2152223866004002,0,0,popphyl,gene-EC_6,0,96,0.0,0.0
6,16S rRNA_COX1,Echinocardium_cordatum,0.7226699295227895,103681.63231442803,183258.85899090007,105531.89325795782,186529.2232953354,COX1,16S rRNA,True,True,50.0,False,NC_013881.1,gene,1.0,900657.0800000001,9549,9847,299,8031.303494652025,9046.216076689712,6425.066889632107,7237,1.0062315256550074,1.3039622534878292,0,0,popphyl,gene-EC_7,3,96,475.09421210309756,39.06235351617431
7,COX1_ND4L,Echinocardium_cordatum,0.1868832976277972,183258.85899090007,18889.03226301885,186529.2232953354,19226.11837824656,ND4L,COX1,True,True,97.5,False,NC_013881.1,gene,78.0,957328.99,11104,11402,299,1929.445105717976,2061.2422703414863,1543.561872909699,1649,-0.7837854387840971,-0.7451219455491672,0,0,popphyl,gene-EC_8,25,173,2196.9674548120115,180.63516076843612
8,ND4L_COX2,Echinocardium_cordatum,0.25076200731121967,18889.03226301885,131764.03089878426,19226.11837824656,134115.4390960889,COX2,ND4L,True,True,97.5,False,NC_013881.1,gene,1.0,455911.76999999996,11476,11774,299,7771.597110691437,9137.465734503496,6217.301003344482,7310,0.9300450913867727,1.3307308910199875,0,0,popphyl,gene-EC_9,2,96,316.72947473539836,26.04156901078288
9,COX2_ATP8,Echinocardium_cordatum,0.33579257138567664,131764.03089878426,26586.459110139145,134115.4390960889,27060.910426347808,ATP8,COX2,True,True,96.2,False,NC_013881.1,gene,72.0,881987.48,12167,12389,223,4246.021072936673,3407.4872219229183,3396.829596412556,2726,-0.10420390535264289,-0.35019286853362586,0,0,popphyl,gene-EC_10,11,167,1001.3961835945528,82.33502058499016
10,ATP8_ATP6,Echinocardium_cordatum,0.5560238597934013,26586.459110139145,69044.18206420804,27060.910426347808,70276.31692358166,ATP6,ATP8,True,True,96.2,False,NC_013881.1,gene,1.0,1102923.3799999997,12390,12688,299,8610.895802786225,8653.717548559192,6888.742474916388,6923,1.1762584253123527,1.188820442733066,0,0,popphyl,gene-EC_11,93,96,14727.920575196023,1210.9329590014038
11,ATP6_COX3,Echinocardium_cordatum,0.8027489998974254,69044.18206420804,102975.17161429033,70276.31692358166,104812.82534270958,COX3,ATP6,True,True,98.8,False,NC_013881.1,gene,3.0,1343403.6,13087,13385,299,7079.710073160803,8249.969062616014,5663.789297658863,6600,0.7270758555058819,1.070378388994886,0,0,popphyl,gene-EC_12,1,98,155.1328039520318,12.755054209363038
12,COX3_ND3,Echinocardium_cordatum,0.27064226224788246,102975.17161429033,16115.481946078533,104812.82534270958,16403.072391612437,ND3,COX3,True,True,100.0,False,NC_013881.1,gene,87.0,1058183.2100000002,13871,14169,299,1906.8866618840498,2108.742092217154,1525.515050167224,1687,-0.7904030943539665,-0.7311875862858519,0,0,popphyl,gene-EC_13,1235,182,103163.31462810117,8482.111049226423
13,ND3_ND4,Echinocardium_cordatum,0.9190837657241449,16115.481946078533,18953.099497923293,16403.072391612437,19291.328931401855,ND4,ND3,True,True,100.0,False,NC_013881.1,gene,1.0,226771.57,14295,14593,299,1133.645414381535,1077.4959593901524,906.9197324414715,862,-1.0172380784538428,-1.0337098597657235,0,0,popphyl,gene-EC_14,1,96,158.36473736769918,13.020784505391438
